location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
Buckland,Buckland River,2024-04-14,34,2024-05-16,05-15,0.35,0.00,0.00,0.05
Fairbanks,Chena River,2024-04-14,11,2024-04-23,04-24,0.48,0.04,0.21,0.24
Northway,Chisana River,2024-04-14,12,2024-04-24,04-23,0.63,0.00,0.10,0.28
Gakona,Gakona River,2024-04-14,19,2024-05-01,04-29,0.29,0.02,0.07,0.28
Gakona,Gulkana River,2024-04-14,17,2024-04-29,04-28,0.32,0.02,0.09,0.32
Kobuk,Kobuk River,2024-04-14,32,2024-05-14,05-13,0.41,0.00,0.00,0.05
Shungnak,Kobuk River,2024-04-14,33,2024-05-15,05-15,0.42,0.00,0.00,0.03
Ambler,Kobuk River,2024-04-14,35,2024-05-17,05-16,0.42,0.00,0.00,0.02
Bettles,Koyukuk River,2024-04-14,27,2024-05-09,05-07,0.43,0.00,0.00,0.16
Allakaket,Koyukuk River,2024-04-14,28,2024-05-10,05-08,0.43,0.00,0.00,0.12
Hughes,Koyukuk River,2024-04-14,27,2024-05-09,05-08,0.42,0.00,0.00,0.16
Nikolai,Kuskokwim River,2024-04-14,7,2024-04-19,04-20,0.60,0.09,0.41,0.06
Sleetmute,Kuskokwim River,2024-04-14,19,2024-05-01,05-02,0.46,0.00,0.02,0.45
Stony River,Kuskokwim River,2024-04-14,21,2024-05-03,05-02,0.47,0.00,0.01,0.40
Red Devil,Kuskokwim River,2024-04-14,21,2024-05-03,05-03,0.45,0.00,0.01,0.41
McGrath,Kuskokwim River,2024-04-14,21,2024-05-03,05-04,0.46,0.00,0.01,0.40
Crooked Creek,Kuskokwim River,2024-04-14,23,2024-05-05,05-04,0.44,0.00,0.00,0.32
Aniak,Kuskokwim River,2024-04-14,25,2024-05-07,05-05,0.42,0.00,0.00,0.26
Kalskag,Kuskokwim River,2024-04-14,23,2024-05-05,05-05,0.49,0.00,0.00,0.33
Tuluksak,Kuskokwim River,2024-04-14,25,2024-05-07,05-06,0.46,0.00,0.00,0.24
Akiak,Kuskokwim River,2024-04-14,27,2024-05-09,05-07,0.46,0.00,0.00,0.17
Bethel,Kuskokwim River,2024-04-14,27,2024-05-09,05-07,0.40,0.00,0.00,0.16
Sunshine,Susitna River,2024-04-14,19,2024-05-01,04-29,0.57,0.00,0.01,0.56
Nenana,Tanana River,2024-04-14,16,2024-04-28,04-29,0.52,0.00,0.03,0.50
Manley Hot Springs,Tanana River,2024-04-14,19,2024-05-01,05-01,0.47,0.00,0.02,0.46
Lake Creek,Yentna River,2024-04-14,18,2024-04-30,04-29,0.70,0.00,0.00,0.70
Dawson,Yukon River,2024-04-14,22,2024-05-04,05-03,0.60,0.00,0.00,0.39
Eagle,Yukon River,2024-04-14,22,2024-05-04,05-03,0.52,0.00,0.00,0.39
Circle,Yukon River,2024-04-14,26,2024-05-08,05-07,0.49,0.00,0.00,0.16
Tanana,Yukon River,2024-04-14,26,2024-05-08,05-07,0.50,0.00,0.00,0.18
Fort Yukon,Yukon River,2024-04-14,28,2024-05-10,05-08,0.49,0.00,0.00,0.12
Ruby,Yukon River,2024-04-14,28,2024-05-10,05-09,0.47,0.00,0.00,0.12
Galena,Yukon River,2024-04-14,29,2024-05-11,05-10,0.49,0.00,0.00,0.07
Kaltag,Yukon River,2024-04-14,30,2024-05-12,05-11,0.45,0.00,0.00,0.08
Holy Cross,Yukon River,2024-04-14,31,2024-05-13,05-12,0.47,0.00,0.00,0.05
Marshall,Yukon River,2024-04-14,33,2024-05-15,05-12,0.44,0.00,0.00,0.03
Russian Mission,Yukon River,2024-04-14,31,2024-05-13,05-12,0.45,0.00,0.00,0.05
Anvik,Yukon River,2024-04-14,30,2024-05-12,05-14,0.46,0.00,0.00,0.07
Mountain Village,Yukon River,2024-04-14,32,2024-05-14,05-14,0.41,0.00,0.00,0.04
Emmonak,Yukon River,2024-04-14,39,2024-05-21,05-18,0.38,0.00,0.00,0.01
Alakanuk,Yukon River,2024-04-14,39,2024-05-21,05-19,0.41,0.00,0.00,0.00
