,location,river,average breakup date,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-20,2024-04-21,2024-04-22,2024-04-23,2024-04-24
0,Buckland,Buckland River,05-15,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16
1,Fairbanks,Chena River,04-24,2024-04-21,2024-04-22,2024-04-22,2024-04-23,2024-04-23,2024-04-23,2024-04-23,2024-04-23,2024-04-23,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24
2,Northway,Chisana River,04-23,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24,2024-04-24
3,Gakona,Gakona River,04-29,2024-05-01,2024-05-01,2024-05-01,2024-05-01,2024-05-01,2024-05-01,2024-05-01,2024-05-01,2024-05-01,2024-05-02,2024-05-02,2024-05-02,2024-05-02,2024-05-02,2024-05-02,2024-05-02
4,Gakona,Gulkana River,04-28,2024-04-29,2024-04-29,2024-04-29,2024-04-29,2024-04-29,2024-04-29,2024-04-29,2024-04-29,2024-04-29,2024-04-29,2024-04-29,2024-04-29,2024-04-29,2024-04-29,2024-04-29,2024-04-29
5,Kobuk,Kobuk River,05-13,2024-05-13,2024-05-13,2024-05-13,2024-05-14,2024-05-14,2024-05-14,2024-05-14,2024-05-14,2024-05-14,2024-05-14,2024-05-14,2024-05-14,2024-05-14,2024-05-14,2024-05-14,2024-05-14
6,Shungnak,Kobuk River,05-15,2024-05-14,2024-05-14,2024-05-15,2024-05-15,2024-05-15,2024-05-15,2024-05-15,2024-05-15,2024-05-15,2024-05-15,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16,2024-05-16
7,Ambler,Kobuk River,05-16,2024-05-15,2024-05-15,2024-05-16,2024-05-16,2024-05-16,2024-05-17,2024-05-17,2024-05-17,2024-05-17,2024-05-17,2024-05-17,2024-05-17,2024-05-17,2024-05-17,2024-05-17,2024-05-17
8,Bettles,Koyukuk River,05-07,2024-05-09,2024-05-09,2024-05-09,2024-05-09,2024-05-09,2024-05-09,2024-05-09,2024-05-09,2024-05-09,2024-05-10,2024-05-10,2024-05-10,2024-05-10,2024-05-10,2024-05-10,2024-05-10
9,Allakaket,Koyukuk River,05-08,2024-05-10,2024-05-10,2024-05-10,2024-05-10,2024-05-10,2024-05-10,2024-05-10,2024-05-11,2024-05-11,2024-05-11,2024-05-11,2024-05-11,2024-05-11,2024-05-11,2024-05-11,2024-05-11
10,Hughes,Koyukuk River,05-08,2024-05-09,2024-05-09,2024-05-09,2024-05-09,2024-05-09,2024-05-09,2024-05-09,2024-05-09,2024-05-10,2024-05-10,2024-05-10,2024-05-10,2024-05-10,2024-05-10,2024-05-10,2024-05-10
11,Nikolai,Kuskokwim River,04-20,2024-04-18,2024-04-18,2024-04-18,2024-04-19,2024-04-19,2024-04-19,2024-04-19,2024-04-19,2024-04-20,2024-04-20,2024-04-20,2024-04-20,2024-04-20,,,
