location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now,probability of breakup within week 3 from now
Buckland,Buckland River,2026-04-10,40,2026-05-19,2026-05-17,0.35,0.00,0.00,0.00,0.01
Umiat,Colville River,2026-04-10,47,2026-05-26,2026-05-24,0.37,0.00,0.00,0.00,0.00
Colville Village,Colville River,2026-04-10,55,2026-06-03,2026-06-01,0.38,0.00,0.00,0.00,0.00
Kobuk,Kobuk River,2026-04-10,38,2026-05-17,2026-05-16,0.41,0.00,0.00,0.00,0.00
Shungnak,Kobuk River,2026-04-10,40,2026-05-19,2026-05-17,0.41,0.00,0.00,0.00,0.00
Ambler,Kobuk River,2026-04-10,41,2026-05-20,2026-05-18,0.42,0.00,0.00,0.00,0.00
Allakaket,Koyukuk River,2026-04-10,33,2026-05-12,2026-05-10,0.42,0.00,0.00,0.00,0.02
Bettles,Koyukuk River,2026-04-10,32,2026-05-11,2026-05-10,0.41,0.00,0.00,0.00,0.03
Hughes,Koyukuk River,2026-04-10,33,2026-05-12,2026-05-11,0.41,0.00,0.00,0.00,0.03
Nikolai,Kuskokwim River,2026-04-10,18,2026-04-27,2026-04-23,0.48,0.00,0.01,0.17,0.48
Sleetmute,Kuskokwim River,2026-04-10,28,2026-05-07,2026-05-04,0.42,0.00,0.00,0.01,0.10
Red Devil,Kuskokwim River,2026-04-10,28,2026-05-07,2026-05-05,0.41,0.00,0.00,0.01,0.10
Stony River,Kuskokwim River,2026-04-10,28,2026-05-07,2026-05-05,0.44,0.00,0.00,0.01,0.11
Crooked Creek,Kuskokwim River,2026-04-10,29,2026-05-08,2026-05-06,0.41,0.00,0.00,0.01,0.09
McGrath,Kuskokwim River,2026-04-10,30,2026-05-09,2026-05-06,0.43,0.00,0.00,0.00,0.06
Aniak,Kuskokwim River,2026-04-10,31,2026-05-10,2026-05-07,0.39,0.00,0.00,0.00,0.06
Kalskag,Kuskokwim River,2026-04-10,32,2026-05-11,2026-05-07,0.45,0.00,0.00,0.00,0.02
Tuluksak,Kuskokwim River,2026-04-10,33,2026-05-12,2026-05-08,0.42,0.00,0.00,0.00,0.03
Akiak,Kuskokwim River,2026-04-10,34,2026-05-13,2026-05-09,0.41,0.00,0.00,0.00,0.01
Bethel,Kuskokwim River,2026-04-10,35,2026-05-14,2026-05-10,0.36,0.00,0.00,0.00,0.03
Napakiak,Kuskokwim River,2026-04-10,37,2026-05-16,2026-05-10,0.39,0.00,0.00,0.00,0.01
Sunshine,Susitna River,2026-04-10,27,2026-05-06,2026-05-02,0.53,0.00,0.00,0.00,0.10
Fairbanks D-S of Chena R,Tanana River,2026-04-10,24,2026-05-03,2026-04-30,0.51,0.00,0.00,0.01,0.21
Nenana,Tanana River,2026-04-10,25,2026-05-04,2026-05-01,0.47,0.00,0.00,0.02,0.19
Manley Hot Springs,Tanana River,2026-04-10,27,2026-05-06,2026-05-04,0.43,0.00,0.00,0.01,0.12
Dawson,Yukon River,2026-04-10,28,2026-05-07,2026-05-05,0.58,0.00,0.00,0.00,0.05
Eagle,Yukon River,2026-04-10,28,2026-05-07,2026-05-05,0.49,0.00,0.00,0.00,0.07
Circle,Yukon River,2026-04-10,31,2026-05-10,2026-05-09,0.47,0.00,0.00,0.00,0.02
Fort Yukon,Yukon River,2026-04-10,32,2026-05-11,2026-05-10,0.46,0.00,0.00,0.00,0.01
Tanana,Yukon River,2026-04-10,32,2026-05-11,2026-05-10,0.47,0.00,0.00,0.00,0.01
Beaver,Yukon River,2026-04-10,33,2026-05-12,2026-05-11,0.56,0.00,0.00,0.00,0.00
Ruby,Yukon River,2026-04-10,33,2026-05-12,2026-05-11,0.45,0.00,0.00,0.00,0.01
Galena,Yukon River,2026-04-10,35,2026-05-14,2026-05-12,0.47,0.00,0.00,0.00,0.00
Rampart,Yukon River,2026-04-10,35,2026-05-14,2026-05-12,0.55,0.00,0.00,0.00,0.00
Stevens Village,Yukon River,2026-04-10,35,2026-05-14,2026-05-12,0.56,0.00,0.00,0.00,0.00
Nulato,Yukon River,2026-04-10,35,2026-05-14,2026-05-13,0.44,0.00,0.00,0.00,0.01
Holy Cross,Yukon River,2026-04-10,38,2026-05-17,2026-05-14,0.45,0.00,0.00,0.00,0.00
Kaltag,Yukon River,2026-04-10,36,2026-05-15,2026-05-14,0.43,0.00,0.00,0.00,0.00
Marshall,Yukon River,2026-04-10,38,2026-05-17,2026-05-15,0.41,0.00,0.00,0.00,0.00
Pilot Station,Yukon River,2026-04-10,39,2026-05-18,2026-05-15,0.37,0.00,0.00,0.00,0.00
Russian Mission,Yukon River,2026-04-10,39,2026-05-18,2026-05-15,0.42,0.00,0.00,0.00,0.00
Anvik,Yukon River,2026-04-10,39,2026-05-18,2026-05-16,0.43,0.00,0.00,0.00,0.00
Mountain Village,Yukon River,2026-04-10,42,2026-05-21,2026-05-17,0.39,0.00,0.00,0.00,0.00
Emmonak,Yukon River,2026-04-10,44,2026-05-23,2026-05-21,0.37,0.00,0.00,0.00,0.00
Alakanuk,Yukon River,2026-04-10,45,2026-05-24,2026-05-22,0.38,0.00,0.00,0.00,0.00
