id,siteID,year,icemoved,timemoved,breakup,Impact Based Flood Severity,firstboat,unsafeman,unsafeveh,typeveh,lastice,remarks,Initial Forecast Start Date,Initial Forecast End Date,qualityFlag,internalNotes
7184,Tanana River at Salcha,2023,2023-04-30,,2023-04-30,unknown,,,,,,,2023-04-30,2023-04-30,,Fresh eyes on ice facebook video\r\nhttps://www.facebook.com/1188082645/videos/745297407326658/\r\n
7185,Chena River at Fairbanks,2023,,,2023-04-30,none,,,,,,,2023-04-25,2023-05-01,,Based on a free flowing channel that formed in front of the Pro Music Web cam.
7186,Kuskokwim River at Nikolai,2023,,,2023-05-02,none,,,,,,,2023-05-04,2023-05-04,,Confirmed on KYUK RiverWatch Radio Show
7187,Skwentna River at Skwentna,2023,,,2023-05-07,none,,,,,,,2023-05-09,2023-05-09,,observer was out of town estimates 5/7 for breakup
7188,Gakona River at Gakona,2023,,,2023-05-05,none,,,,,,,2023-05-09,2023-05-09,,Observer report
7189,Gulkana River nr Gakona,2023,,,2023-05-02,none,,,,,,,2023-05-09,2023-05-09,,WFO forecaster observation
7190,Tanana River at Nenana,2023,,,2023-05-08,none,,,,,,,2023-05-10,2023-05-10,,Tripod tripped 5PM 5/8
7191,Yukon River at Dawson,2023,,,2023-05-09,none,,,,,,,2023-05-10,2023-05-10,,3PM reports of ice moving in town
7192,Yentna River at Lake Creek,2023,,,2023-05-09,none,,,,,,,2023-05-10,2023-05-10,,bu date per Jean at YSTA2 B-91 for May 2023
7193,Susitna River at Sunshine,2023,,,2023-05-10,none,,,,,,,2023-05-12,2023-05-12,,
7194,Fortymile River at Mosquito Fork,2023,,,2023-05-10,none,,,,,,,2023-05-12,2023-05-12,,Water covering the parking lot.  Unknown if there was bridge damage.  Ice jam held for ~2 days.
7195,Yukon River at Eagle,2023,,,2023-05-12,moderate,,,,,,,2023-05-13,2023-05-13,,
7196,Kuskokwim River at Stony River,2023,,,2023-05-12,none,,,,,,,2023-05-13,2023-05-13,,
7197,Kuskokwim River at Sleetmute,2023,,,2023-05-12,none,,,,,,,2023-05-12,2023-05-12,,
7198,Tanana River nr Manley Hot Springs,2023,,,2023-05-12,unknown,,,,,,,2023-05-14,2023-05-14,,
7199,Kuskokwim River at McGrath,2023,,,2023-05-13,none,,,,,,,2023-05-14,2023-05-14,,Water over the road at the south end of runway. 
7200,Kuskokwim River at Red Devil,2023,,,2023-05-13,moderate,,,,,,,2023-05-13,2023-05-13,,
7201,Kuskokwim River at Crooked Creek,2023,,,2023-05-13,catastrophic,,,,,,,2023-05-14,2023-05-14,,
7202,Porcupine at Old Crow,2023,,,2023-05-13,none,,,,,,,2023-05-14,2023-05-14,,
7203,Koyukuk River at Allakaket,2023,,,2023-05-13,none,,,,,,,2023-05-14,2023-05-14,,
7204,Yukon River at Tanana,2023,,,2023-05-14,none,,,,,,,2023-05-14,2023-05-14,,
7205,Yukon River at Fort Yukon,2023,,,2023-05-14,major,,,,,,,2023-05-15,2023-05-15,,preliminary flood impact
7206,Yukon River at Circle,2023,,,2023-05-13,catastrophic,,,,,,,2023-05-15,2023-05-15,,
7207,Koyukuk River at Bettles,2023,,,2023-05-13,none,,,,,,,2023-05-15,2023-05-15,,likely earlier than the 13th... based on satellite imagery
7208,Koyukuk River at Hughes,2023,,,2023-05-14,none,,,,,,,2023-05-15,2023-05-15,,
7209,Yukon River at Rampart,2023,,,2023-05-16,none,,,,,,,2023-05-15,2023-05-15,,
7210,Yukon River at Beaver,2023,,,2022-05-15,none,,,,,,,2023-05-16,2023-05-16,,
7211,Kuskokwim River at Aniak,2023,,,2022-05-15,minor,,,,,,,2023-05-17,2023-05-17,,
7212,Yukon River at Ruby,2023,,,2023-05-17,unknown,,,,,,,2023-05-17,2023-05-17,,
7213,Kuskokwim River at Kalskag,2023,,,2023-05-15,minor,,,,,,,2023-05-18,2023-05-18,,Riverwatch team update
7214,Kuskokwim River at Tuluksak,2023,,,2023-05-18,none,,,,,,,2023-05-19,2023-05-19,,
7215,Kuskokwim River at Akiak,2023,,,2023-05-18,minor,,,,,,,2023-05-19,2023-05-19,,
7216,Kuskokwim River at Kwethluk,2023,,,2023-05-20,moderate,,,,,,,2023-05-19,2023-05-19,,
7217,Yukon River at Stevens Village,2023,,,2023-05-16,unknown,,,,,,,2023-05-19,2023-05-19,,
7218,Yukon River at Galena,2023,,,2023-05-19,none,,,,,,8:20 pm on May 19th,2023-05-20,2023-05-20,,8:20 pm on May 19th
7219,Yukon River at Grayling,2023,,,2023-05-19,unknown,,,,,,around 9am on the 19th via FAA webcam,2023-05-20,2023-05-20,,
7220,Kuskokwim River at Bethel,2023,,,2023-05-20,minor,,,,,,Ice moved out between 2 and 3 am per Kuskokwim Ice Classic webcam,2023-05-20,2023-05-20,,
7221,Yukon River at Kaltag,2023,,,2023-05-18,unknown,,,,,,,2023-05-20,2023-05-20,,
7222,Yukon River at Nulato,2023,,,2023-05-18,unknown,,,,,,,2023-05-20,2023-05-20,,
7223,Yukon River at Holy Cross,2023,,,2023-05-19,unknown,,,,,,,2023-05-20,2023-05-20,,Via sentinel imagery and River Watch obs
7224,Yukon River at Anvik,2023,,,2023-05-19,unknown,,,,,,,2023-05-20,2023-05-20,,via sentinel and web cams
7225,Yukon River at Koyukuk,2023,,,2023-05-17,unknown,,,,,,,2023-05-21,2023-05-21,,
7226,Buckland River at Buckland,2023,,,2023-05-19,moderate,,,,,,,2023-05-21,2023-05-21,,
7227,Kuskokwim River at Napakiak,2023,,,2023-05-20,none,,,,,,,2023-05-21,2023-05-21,,
7228,Kuskokwim River at Napaskiak,2023,,,2023-05-20,none,,,,,,,2023-05-21,2023-05-21,,
7229,Kuskokwim River at Akiachak,2023,,,2023-05-20,minor,,,,,,,2023-05-21,2023-05-21,,
7230,Kobuk River at Kobuk,2023,,,2023-05-20,unknown,,,,,,,2023-05-24,2023-05-24,,
7231,Colville River at Umiat,2023,,,2023-05-22,none,,,,,,,2023-05-25,2023-05-25,,Based on USGS webcam
7232,Yukon River at Russian Mission,2023,,,2023-05-25,moderate,,,,,,,2023-05-25,2023-05-25,,Need to revisit flood severity after breakup.
7233,Yukon River at Mountain Village,2023,,,2023-05-23,none,,,,,,,2023-05-26,2023-05-26,,
7234,Yukon River at Pilot Station,2023,,,2023-05-25,none,,,,,,based on satellite\, riverwatch\, and FB Pilot Station SAR observations,,,,
7235,Yukon River at Alakanuk,2023,,,2023-05-27,moderate,,,,,,,2023-05-28,2023-05-28,,
7236,Yukon River nr Emmonak,2023,2023-05-27,,2023-05-27,moderate,,,,,,,2023-05-28,2023-05-28,,
7237,Noatak River at Noatak,2023,,,2023-05-21,unknown,,,,,,,2023-05-30,2023-05-30,,From Sentinel Imagery:\r\nhttps://apps.sentinel-hub.com/eo-browser/?zoom=12&lat=67.57054&lng=-162.98149&themeId=DEFAULT-THEME&visualizationUrl=https%3A%2F%2Fservices.sentinel-hub.com%2Fogc%2Fwms%2Fbd86bcc0-f318-402b-a145-015f85b9427e&datasetId=S2L2A&fromTime=2023-05-21T00%3A00%3A00.000Z&toTime=2023-05-21T23%3A59%3A59.999Z&layerId=6-SWIR&demSource3D=%22MAPZEN%22\r\n
7238,Yukon River at Marshall,2023,,,2023-05-25,none,,,,,,,,,,
7239,Innoko River at Shageluk,2023,,,2023-05-17,minor,,,,,,,,,,Some water over road to runway\, but passable.  Much less than last year.
7240,Kuskokwim River at Napaimute,2023,,,2023-05-13,moderate,,,,,,,,,,The airport is flooded\, with approximately 4 feet of water inundating the airport hanger. Houses in the community not currently inundated\, but water is up to the houses and or surrounding structures.  
7241,Selawik River at Selawik,2023,,,2023-05-26,none,,,,,,,2023-07-12,2023-07-12,,Selawik River\r\nLocation  66.598704°\, -160.011745°\r\n\r\nJune 1\r\nIce Depth       0 inches\r\nSnow depth    0 inches\r\n\r\nIce went out Friday 26 May. Ice started moving around 10:30 and the channel was ice free by mid afternoon.
7123,Anchor River at Anchor Point,2022,,,2022-04-01,none,,,,,,estimated based on Sentinel imagery,,,,
7124,Kuskokwim River at Nikolai,2022,,,2022-04-25,none,,,,,,,,,,breakup = open water in front of village & both US and DS but still a lot of ice in the river and only thalweg open. still ice covered at SF confluence DS.
7125,Chisana River at Northway,2022,,,2022-04-27,none,,,,,,,,,,From Lyle Cronk
7126,Nushagak River at New Stuyahok,2022,,,2022-04-25,none,,,,,,,,,,
7127,Nushagak River at Ekwok,2022,,,2022-04-25,none,,,,,,,,,,
7128,Chena River at Fairbanks,2022,,,2022-04-30,none,,,,,,,2022-05-01,2022-05-01,,collaboration with WFO AFG
7129,Tanana River at Nenana,2022,2022-05-02,,2022-05-02,unknown,,,,,,,2022-05-03,2022-05-03,,Tripod out 5/2
7130,Tanana River at Tanacross,2022,,,2022-05-02,unknown,,,,,,,2022-05-03,2022-05-03,,
7131,Fortymile River at Taylor Hwy Bridge,2022,,,2022-05-03,unknown,,,,,,,,,,Report from downriver that the Fortymile broke up today at  (12:30\, May 3)\, relayed from Sandy and Earl at the mouth of the Fortymile River.
7132,Kuskokwim River at Bethel,2022,,,2022-05-05,none,,,,,,,2022-05-06,2022-05-06,,Tripod went out
7133,Kuskokwim River at Stony River,2022,,,2022-05-05,unknown,,,,,,,2022-05-06,2022-05-06,,
7134,Kuskokwim River at Aniak,2022,,,2022-05-01,none,,,,,,,,,,
7135,Yukon River at Eagle,2022,2022-05-05,,2022-05-07,unknown,,,,,,,2022-05-03,2022-05-09,,Broke up between 2-3 am
7136,Yukon River at Dawson,2022,,,2022-05-07,none,,,,,,,,,,
7137,Susitna River at Sunshine,2022,,,2022-05-05,unknown,,,,,,,2022-05-09,2022-05-09,,Channel ice out for couple of days up and downriver from bridge
7138,Yukon River at Circle,2022,,,2022-05-09,unknown,,,,,,,2022-05-09,2022-05-09,,Observer reports ice began running 3AM- and still running
7139,Koyukuk River at Allakaket,2022,2022-05-05,,2022-05-06,unknown,,,,,,,2022-05-09,2022-05-09,,
7140,Koyukuk River at Hughes,2022,,,2022-05-08,unknown,,,,,,,2022-05-09,2022-05-09,,From Yukon community call
7142,Yukon River at Tanana,2022,2022-05-09,,2022-05-09,unknown,,,,,,,2022-05-09,2022-05-09,,
