# Data from NWS-APRFC_AK_BreakupDate.csv
# Only sites with more than 30 data points since 1980
# 
,id,siteID,year,breakup,JulianDay
0,7185,Chena River at Fairbanks,2023,2023-04-30,120
1,7186,Kuskokwim River at Nikolai,2023,2023-05-02,122
2,7188,Gakona River at Gakona,2023,2023-05-05,125
3,7189,Gulkana River nr Gakona,2023,2023-05-02,122
4,7190,Tanana River at Nenana,2023,2023-05-08,128
5,7191,Yukon River at Dawson,2023,2023-05-09,129
6,7192,Yentna River at Lake Creek,2023,2023-05-09,129
7,7193,Susitna River at Sunshine,2023,2023-05-10,130
8,7195,Yukon River at Eagle,2023,2023-05-12,132
9,7196,Kuskokwim River at Stony River,2023,2023-05-12,132
10,7197,Kuskokwim River at Sleetmute,2023,2023-05-12,132
11,7198,Tanana River nr Manley Hot Springs,2023,2023-05-12,132
12,7199,Kuskokwim River at McGrath,2023,2023-05-13,133
13,7200,Kuskokwim River at Red Devil,2023,2023-05-13,133
14,7201,Kuskokwim River at Crooked Creek,2023,2023-05-13,133
15,7203,Koyukuk River at Allakaket,2023,2023-05-13,133
16,7204,Yukon River at Tanana,2023,2023-05-14,134
17,7205,Yukon River at Fort Yukon,2023,2023-05-14,134
18,7206,Yukon River at Circle,2023,2023-05-13,133
19,7207,Koyukuk River at Bettles,2023,2023-05-13,133
20,7208,Koyukuk River at Hughes,2023,2023-05-14,134
21,7211,Kuskokwim River at Aniak,2023,2022-05-15,135
22,7212,Yukon River at Ruby,2023,2023-05-17,137
23,7213,Kuskokwim River at Kalskag,2023,2023-05-15,135
24,7214,Kuskokwim River at Tuluksak,2023,2023-05-18,138
25,7215,Kuskokwim River at Akiak,2023,2023-05-18,138
26,7218,Yukon River at Galena,2023,2023-05-19,139
27,7220,Kuskokwim River at Bethel,2023,2023-05-20,140
28,7221,Yukon River at Kaltag,2023,2023-05-18,138
29,7223,Yukon River at Holy Cross,2023,2023-05-19,139
30,7224,Yukon River at Anvik,2023,2023-05-19,139
31,7226,Buckland River at Buckland,2023,2023-05-19,139
32,7230,Kobuk River at Kobuk,2023,2023-05-20,140
33,7232,Yukon River at Russian Mission,2023,2023-05-25,145
34,7233,Yukon River at Mountain Village,2023,2023-05-23,143
35,7235,Yukon River at Alakanuk,2023,2023-05-27,147
36,7236,Yukon River nr Emmonak,2023,2023-05-27,147
37,7238,Yukon River at Marshall,2023,2023-05-25,145
38,7124,Kuskokwim River at Nikolai,2022,2022-04-25,115
39,7125,Chisana River at Northway,2022,2022-04-27,117
40,7128,Chena River at Fairbanks,2022,2022-04-30,120
41,7129,Tanana River at Nenana,2022,2022-05-02,122
42,7132,Kuskokwim River at Bethel,2022,2022-05-05,125
43,7133,Kuskokwim River at Stony River,2022,2022-05-05,125
44,7134,Kuskokwim River at Aniak,2022,2022-05-01,121
45,7135,Yukon River at Eagle,2022,2022-05-07,127
46,7136,Yukon River at Dawson,2022,2022-05-07,127
47,7137,Susitna River at Sunshine,2022,2022-05-05,125
48,7138,Yukon River at Circle,2022,2022-05-09,129
49,7139,Koyukuk River at Allakaket,2022,2022-05-06,126
50,7140,Koyukuk River at Hughes,2022,2022-05-08,128
51,7142,Yukon River at Tanana,2022,2022-05-09,129
52,7144,Yentna River at Lake Creek,2022,2022-05-05,125
53,7145,Kuskokwim River at McGrath,2022,2022-05-09,129
54,7146,Yukon River at Ruby,2022,2022-05-11,131
55,7147,Kuskokwim River at Akiak,2022,2022-05-05,125
56,7148,Kuskokwim River at Sleetmute,2022,2022-05-08,128
57,7149,Kuskokwim River at Red Devil,2022,2022-05-08,128
58,7150,Kuskokwim River at Crooked Creek,2022,2022-05-08,128
59,7151,Kuskokwim River at Kalskag,2022,2022-05-08,128
60,7152,Kuskokwim River at Tuluksak,2022,2022-05-04,124
61,7155,Yukon River at Fort Yukon,2022,2022-05-10,130
62,7156,Yukon River at Galena,2022,2022-05-11,131
63,7158,Yukon River at Kaltag,2022,2022-05-12,132
64,7160,Yukon River nr Emmonak,2022,2022-05-15,135
65,7161,Yukon River at Alakanuk,2022,2022-05-15,135
66,7162,Gulkana River nr Gakona,2022,2022-05-07,127
67,7164,Kobuk River at Kobuk,2022,2022-05-17,137
68,7166,Yukon River at Anvik,2022,2022-05-18,138
69,7167,Kobuk River at Ambler,2022,2022-05-20,140
70,7168,Yukon River at Holy Cross,2022,2022-05-18,138
71,7169,Yukon River at Russian Mission,2022,2022-05-18,138
72,7170,Yukon River at Marshall,2022,2022-05-15,135
73,7171,Yukon River at Mountain Village,2022,2022-05-10,130
74,7172,Buckland River at Buckland,2022,2022-05-21,141
75,7173,Kobuk River at Shungnak,2022,2022-05-20,140
76,7175,Koyukuk River at Bettles,2022,2022-05-05,125
77,7039,Kuskokwim River at Nikolai,2021,2021-04-23,113
78,7042,Chisana River at Northway,2021,2021-04-26,116
79,7043,Gulkana River nr Gakona,2021,2021-04-28,118
80,7045,Kuskokwim River at Sleetmute,2021,2021-04-29,119
81,7046,Chena River at Fairbanks,2021,2021-04-27,117
82,7047,Tanana River at Nenana,2021,2021-04-30,120
83,7049,Gakona River at Gakona,2021,2021-04-26,116
84,7050,Kuskokwim River at Stony River,2021,2021-04-30,120
85,7051,Kuskokwim River at Red Devil,2021,2021-04-30,120
86,7052,Kuskokwim River at Crooked Creek,2021,2021-05-03,123
87,7054,Kuskokwim River at Aniak,2021,2021-05-03,123
88,7055,Susitna River at Sunshine,2021,2021-04-29,119
89,7056,Kuskokwim River at McGrath,2021,2021-05-04,124
90,7057,Kuskokwim River at Akiak,2021,2021-05-05,125
91,7058,Yukon River at Dawson,2021,2021-05-06,126
92,7059,Tanana River nr Manley Hot Springs,2021,2021-05-05,125
93,7061,Kuskokwim River at Kalskag,2021,2021-05-06,126
94,7062,Kuskokwim River at Bethel,2021,2021-05-06,126
95,7063,Kuskokwim River at Tuluksak,2021,2021-05-06,126
96,7066,Yukon River at Galena,2021,2021-05-09,129
97,7067,Yukon River at Eagle,2021,2021-05-08,128
98,7068,Yukon River at Ruby,2021,2021-05-08,128
99,7069,Yukon River at Tanana,2021,2021-05-07,127
100,7070,Koyukuk River at Bettles,2021,2021-05-09,129
101,7071,Yukon River at Circle,2021,2021-05-10,130
102,7076,Buckland River at Buckland,2021,2021-05-12,132
103,7077,Yukon River at Fort Yukon,2021,2021-05-11,131
104,7078,Koyukuk River at Allakaket,2021,2021-05-11,131
105,7079,Koyukuk River at Hughes,2021,2021-05-09,129
106,7081,Yukon River nr Emmonak,2021,2021-05-13,133
107,7084,Yukon River at Alakanuk,2021,2021-05-16,136
108,7086,Yukon River at Holy Cross,2021,2021-05-12,132
109,7088,Yukon River at Marshall,2021,2021-05-13,133
110,7089,Kobuk River at Ambler,2021,2021-05-13,133
111,7091,Kobuk River at Kobuk,2021,2021-05-11,131
112,7092,Kobuk River at Shungnak,2021,2021-05-12,132
113,7093,Yukon River at Kaltag,2021,2021-05-11,131
114,7094,Yukon River at Mountain Village,2021,2021-05-12,132
115,6971,Kuskokwim River at Nikolai,2020,2020-04-21,112
116,6973,Chisana River at Northway,2020,2020-04-23,114
117,6976,Chena River at Fairbanks,2020,2020-04-21,112
118,6977,Tanana River at Nenana,2020,2020-04-27,118
119,6981,Gakona River at Gakona,2020,2020-04-26,117
120,6982,Gulkana River nr Gakona,2020,2020-04-24,115
121,6986,Kuskokwim River at Sleetmute,2020,2020-04-28,119
122,6987,Kuskokwim River at Red Devil,2020,2020-04-28,119
123,6988,Kuskokwim River at Crooked Creek,2020,2020-04-29,120
124,6990,Kuskokwim River at McGrath,2020,2020-05-02,123
125,6991,Yukon River at Dawson,2020,2020-05-03,124
126,6992,Kuskokwim River at Kalskag,2020,2020-05-04,125
127,6993,Kuskokwim River at Akiak,2020,2020-05-04,125
128,6994,Kuskokwim River at Tuluksak,2020,2020-05-04,125
129,6995,Kuskokwim River at Aniak,2020,2020-05-01,122
130,6999,Kuskokwim River at Bethel,2020,2020-05-03,124
131,7001,Yukon River at Eagle,2020,2020-05-05,126
132,7002,Yukon River at Ruby,2020,2020-05-06,127
133,7003,Tanana River nr Manley Hot Springs,2020,2020-05-01,122
134,7004,Yukon River at Circle,2020,2020-05-06,127
135,7005,Yukon River at Galena,2020,2020-05-07,128
136,7009,Yukon River at Tanana,2020,2020-05-07,128
137,7012,Koyukuk River at Bettles,2020,2020-05-09,130
138,7014,Koyukuk River at Allakaket,2020,2020-05-10,131
139,7015,Buckland River at Buckland,2020,2020-05-10,131
140,7016,Koyukuk River at Hughes,2020,2020-05-10,131
141,7017,Yukon River at Anvik,2020,2020-05-10,131
142,7018,Yukon River at Russian Mission,2020,2020-05-10,131
143,7019,Yukon River at Marshall,2020,2020-05-10,131
144,7021,Yukon River at Mountain Village,2020,2020-05-11,132
145,7022,Kobuk River at Kobuk,2020,2020-05-12,133
146,7024,Kobuk River at Shungnak,2020,2020-05-13,134
147,7025,Yukon River at Kaltag,2020,2020-05-07,128
148,7026,Yukon River at Holy Cross,2020,2020-05-06,127
149,7027,Yukon River at Fort Yukon,2020,2020-05-08,129
150,7028,Kobuk River at Ambler,2020,2020-05-15,136
151,7029,Yukon River nr Emmonak,2020,2020-05-14,135
152,7030,Yukon River at Alakanuk,2020,2020-05-14,135
153,7031,Kuskokwim River at Stony River,2020,2020-04-28,119
154,7036,Susitna River at Sunshine,2020,2020-05-01,122
155,7037,Yentna River at Lake Creek,2020,2020-04-30,121
156,6921,Kuskokwim River at Nikolai,2019,2019-03-31,90
157,6923,Chisana River at Northway,2019,2019-04-10,100
158,6926,Kuskokwim River at Bethel,2019,2019-04-12,102
159,6927,Tanana River at Nenana,2019,2019-04-14,104
160,6929,Yentna River at Lake Creek,2019,2019-04-15,105
161,6931,Susitna River at Sunshine,2019,2019-04-17,107
162,6932,Yukon River at Dawson,2019,2019-04-23,113
163,6933,Kuskokwim River at McGrath,2019,2019-04-28,118
164,6934,Kuskokwim River at Sleetmute,2019,2019-04-28,118
165,6935,Kuskokwim River at Crooked Creek,2019,2019-04-29,119
166,6936,Kuskokwim River at Red Devil,2019,2019-04-29,119
167,6937,Gakona River at Gakona,2019,2019-04-29,119
168,6938,Kuskokwim River at Aniak,2019,2019-04-29,119
169,6939,Kuskokwim River at Kalskag,2019,2019-04-29,119
170,6940,Kuskokwim River at Tuluksak,2019,2019-04-30,120
171,6941,Tanana River nr Manley Hot Springs,2019,2019-04-30,120
172,6942,Yukon River at Eagle,2019,2019-05-01,121
173,6943,Kuskokwim River at Akiak,2019,2019-04-26,116
174,6944,Kuskokwim River at Stony River,2019,2019-04-28,118
175,6945,Buckland River at Buckland,2019,2019-05-05,125
176,6946,Yukon River at Holy Cross,2019,2019-05-05,125
177,6947,Yukon River at Marshall,2019,2019-05-05,125
178,6948,Yukon River at Russian Mission,2019,2019-05-05,125
179,6949,Yukon River at Tanana,2019,2019-05-05,125
180,6950,Yukon River at Galena,2019,2019-05-09,129
181,6951,Yukon River at Kaltag,2019,2019-05-12,132
182,6952,Yukon River nr Emmonak,2019,2019-05-08,128
183,6953,Yukon River at Ruby,2019,2019-05-08,128
184,6959,Yukon River at Mountain Village,2019,2019-05-08,128
185,6957,Yukon River at Circle,2019,2019-05-09,129
186,6962,Koyukuk River at Hughes,2019,2019-05-12,132
187,6963,Yukon River at Fort Yukon,2019,2019-05-11,131
188,6967,Kobuk River at Kobuk,2019,2019-05-14,134
189,6968,Koyukuk River at Bettles,2019,2019-05-14,134
