# Mean and std of breakupdate in days since March 1, 1983-2022 
# For all selected sites
# 
,siteID,days_since_march1_mean,days_since_march1_std,mean_breakup_date
0,Buckland River at Buckland,77.0909090909091,8.326777724469848,05-17
1,Chena River at Fairbanks,55.93333333333333,7.5746097354040725,04-25
2,Chisana River at Northway,54.8125,5.991593573364861,04-24
3,Gakona River at Gakona,61.23529411764706,10.476695128711361,05-01
4,Gulkana River nr Gakona,60.484848484848484,9.421123911592277,04-30
5,Kobuk River at Ambler,77.52631578947368,6.828940173817736,05-17
6,Kobuk River at Kobuk,75.33333333333333,6.944643272007469,05-15
7,Kobuk River at Shungnak,76.8125,7.045646104670461,05-16
8,Koyukuk River at Allakaket,69.88888888888889,6.688060909573023,05-09
9,Koyukuk River at Bettles,69.4390243902439,6.580458876430294,05-09
10,Koyukuk River at Hughes,70.38888888888889,6.863059616642368,05-10
11,Kuskokwim River at Akiak,68.8108108108108,7.88401278903438,05-08
12,Kuskokwim River at Aniak,66.575,7.652341689530947,05-06
13,Kuskokwim River at Bethel,69.25581395348837,8.610881884087451,05-09
14,Kuskokwim River at Crooked Creek,65.62162162162163,7.080298767045825,05-05
15,Kuskokwim River at Kalskag,66.79411764705883,7.470261898636793,05-06
16,Kuskokwim River at McGrath,65.81395348837209,7.1122155611497995,05-05
17,Kuskokwim River at Nikolai,52.4054054054054,7.783384937228859,04-22
18,Kuskokwim River at Red Devil,64.72972972972973,7.225143784223445,05-04
19,Kuskokwim River at Sleetmute,63.6764705882353,7.3142475668250215,05-03
20,Kuskokwim River at Stony River,64.48571428571428,6.577016257935118,05-04
21,Kuskokwim River at Tuluksak,68.12903225806451,7.37898789574772,05-08
22,Susitna River at Sunshine,61.411764705882355,6.090815972896102,05-01
23,Tanana River at Nenana,60.76744186046512,6.7218095965663665,04-30
24,Tanana River nr Manley Hot Springs,63.32258064516129,7.422430405081585,05-03
25,Yentna River at Lake Creek,61.03225806451613,5.9748577163965,05-01
26,Yukon River at Alakanuk,81.37142857142857,7.7272844110818095,05-21
27,Yukon River at Anvik,75.6470588235294,6.9843216322776565,05-15
28,Yukon River at Circle,69.02564102564102,5.787860160384611,05-09
29,Yukon River at Dawson,64.65116279069767,5.079762465998136,05-04
30,Yukon River at Eagle,64.69767441860465,5.877863572522516,05-04
31,Yukon River at Fort Yukon,70.1025641025641,5.771047846999854,05-10
32,Yukon River at Galena,71.85714285714286,5.920495317822857,05-11
33,Yukon River at Holy Cross,74.19444444444444,7.070338219610329,05-14
34,Yukon River at Kaltag,73.24324324324324,6.705741343577678,05-13
35,Yukon River at Marshall,74.2258064516129,7.116692478107856,05-14
36,Yukon River at Mountain Village,76.47222222222223,7.96594936001662,05-16
37,Yukon River at Ruby,70.64864864864865,6.133769079703208,05-10
38,Yukon River at Russian Mission,74.11111111111111,7.257617782235151,05-14
39,Yukon River at Tanana,69.15789473684211,6.0158633349084525,05-09
40,Yukon River nr Emmonak,80.35135135135135,7.867712558355247,05-20
