# Correlation R2 between TDD anomalies and breakup day 
# For all selected sites and stations
# 
location,ALYESKA,ANCHORAGE_MERRILL_FIELD,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,AUKE_BAY,BARROW_AIRPORT,BETHEL_AIRPORT,BETTLES_AIRPORT,BIG_DELTA_AIRPORT,CHICKEN,COLD_BAY_AIRPORT,COLLEGE_OBSERVATORY,CORDOVA_AIRPORT,DUTCH_HARBOR,EAGLE,FAIRBANKS_INTL_AP,GULKANA_AIRPORT,HAINES_AIRPORT,HOMER_AIRPORT,ILIAMNA_AIRPORT,JUNEAU_AIRPORT,KENAI_AIRPORT,KETCHIKAN_AIRPORT,KING_SALMON_AIRPORT,KODIAK_AIRPORT,KOTZEBUE_AIRPORT,MCGRATH_AP,MCKINLEY_PARK,NENANA_MUN_AP,NOME_AIRPORT,NORTHWAY_AIRPORT,NORTH_POLE,SAINT_PAUL_ISLAND_AIRPORT,SITKA_AIRPORT,SKAGWAY_AIRPORT,TALKEETNA_AIRPORT,TANANA_AIRPORT,YAKUTAT_AIRPORT
Buckland River at Buckland,0.24459528886489473,0.07308607149154851,0.17428404136815218,0.1102548627155648,0.014466109802455808,0.4668766526104019,0.4365391764497027,0.3971352816213568,0.4457486832222527,0.20361265316621785,0.39384003812698154,0.1912915348523619,0.24096526632278792,0.37071508081325394,0.38774582578256356,0.3282194631371636,0.1631766863113587,0.27003844450934517,0.2705674735372463,0.1501374267338509,0.23159631717429152,0.18153939186441936,0.30645342176341606,0.18129313996718693,0.7002551642338481,0.4381588645330879,0.49490822984283994,0.5534458141653331,0.6501204658240494,0.4447941709673695,0.37743715214774615,0.11875597713010852,0.20693419577150501,0.19012348626058942,0.28254234561353386,0.3213626498718177,0.19585198253800695
Chena River at Fairbanks,0.27072112755349936,0.3675039279580118,0.25057296214710034,0.2067698879345788,0.08913378932671459,0.31885688815451124,0.2861556782224019,0.740717033292167,0.7338357303394925,0.1288983558096548,0.42003661324375124,0.2268189413316574,0.08540358391297043,0.36512181255857834,0.4050737389751741,0.33935402987799723,0.2717106918869308,0.22751399782703138,0.2252318892740524,0.19974235340441665,0.2812065688228731,0.07504450714922485,0.28863597740138996,0.16433826967261062,0.014675741524839175,0.41898779418097004,0.3732414175349061,0.8293086555402445,0.15926520909414116,0.30175696363601323,0.40947179301690423,0.11184690355874667,0.20830029054695187,0.25097264706224914,0.2916921949701098,0.3445136383430287,0.1775034481517241
Chisana River at Northway,0.6771130114712416,0.6808131488482905,0.5081043764426266,0.3142861279281683,0.008423825329615596,0.3583142330085905,0.3404413441945844,0.5684874199003941,0.7148462078376151,0.1232145122785718,0.6140570390131895,0.3725060302771802,0.09082726895020245,0.6373694967935742,0.5982139811483687,0.7389456025652027,0.40935339753570615,0.423993267804512,0.4024127308464044,0.3615185439858565,0.3976085232530413,0.4409858542353981,0.4347307090477474,0.2209816711025998,0.024662881479385307,0.5110473084277855,0.6610459731235588,0.6656690271280481,0.1401446204223997,0.6968715428797935,0.6329223297593035,0.12142908993961304,0.4089407112585748,0.6056406123422698,0.6406338200421322,0.42514413274016194,0.31976337637436947
Gakona River at Gakona,0.20622580338670649,0.12553548671379236,0.20154360024221185,0.11234713826757933,0.160931469741917,0.13269232290242422,0.16478416796252685,0.19476560957009656,0.15206948948123786,0.039752976807194126,0.2166006967300368,0.14859405237664627,0.04735730702336304,0.18360000952863537,0.21695035955755568,0.22654868140275894,0.1015011870426842,0.14036443243191146,0.10978636161366655,0.10530991354886801,0.20814907870185415,0.02992306114662257,0.12264193698859127,0.08042358620359001,0.000333897270640236,0.20191167337310445,0.20396317200974337,0.5727457405267237,0.08701343178117939,0.239335304553112,0.22631230680936495,0.030882366084878224,0.11551653374474587,0.10203556063750899,0.26161050624535354,0.17533517380794286,0.11510091722844804
Gulkana River nr Gakona,0.17133444172473922,0.12980456902239407,0.13865945540715047,0.07929406217688312,0.15849401848689454,0.07467434530235326,0.13513316785894086,0.22730209974892854,0.23069338830888414,0.016067669232910434,0.23228532418708306,0.08609587726333863,0.032533446988330585,0.13263791866583255,0.19040012901821418,0.24929531896549528,0.12239450974608079,0.0685254405233471,0.06792100962226771,0.08793097729964702,0.11082464734979798,0.02070758111195771,0.08604772673947321,0.04813584432663011,0.00025325385344281294,0.14907929986902035,0.20409814313637595,0.5294907136777638,0.03593599986808577,0.2897259072740501,0.2234062550091856,0.03813510363274597,0.04550766399834398,0.1760301929340625,0.20776436203124368,0.1359082797731681,0.05322222478983206
Kobuk River at Ambler,0.20928165556526518,0.11329548985133191,0.22355718063063776,0.08176660559297816,0.0019125493139146162,0.488271624625521,0.5504438941394958,0.4288035664089869,0.6470223346450565,0.143071999780129,0.4294953297342414,0.15470686329144367,0.2582729321223239,0.4419207221939401,0.502212045255658,0.37646479950395084,0.16935842169458704,0.24518764530223675,0.18958592781415867,0.186289219180888,0.248186616621504,0.15141174213753877,0.27111371371323933,0.15624699474726117,0.62668672110349,0.45566880504903057,0.5043053251313876,0.6446525939038757,0.6506410517278214,0.49203554103510233,0.4054976907906889,0.11577468368674053,0.19007343902097235,0.28792593501398633,0.3220974802305582,0.4099658936741818,0.1519315027725073
Kobuk River at Kobuk,0.2149959742454121,0.13239872424799232,0.18412415206754693,0.08485658323744377,0.0002344141859436299,0.5079880013835933,0.6870212476741214,0.5123541944519191,0.6681743200274,0.06300584643950141,0.5425578936520201,0.14935028456853802,0.07036684549067529,0.5283641882793664,0.5610010119877789,0.39697284568196667,0.1364196509072844,0.19442255293109464,0.18359906741444845,0.1518767677247048,0.31102626659834226,0.15176309060915227,0.22470010096900117,0.08520970752849655,0.6125413634143705,0.6595014683236552,0.6109915351943007,0.7031499950124842,0.6666362983238978,0.5446162758918823,0.5178285493352137,0.05433207820406375,0.1820184507865034,0.19276922725472825,0.36940967345598935,0.5791998660039664,0.15902284097796202
Kobuk River at Shungnak,0.2642209611866794,0.18875284659613362,0.20559591554303006,0.09700619850154464,0.0004238214495389922,0.5461249523172566,0.7521737432160807,0.7007015155866555,0.8367190284164183,0.12345649648323963,0.6428929644493645,0.19935169161738375,0.241228289805559,0.6078697579739389,0.6539685422114624,0.5304963495161445,0.21036130637218486,0.22510643913252137,0.21679664477093843,0.18611652841945048,0.3654015096028012,0.1910971246593932,0.25901303772918505,0.168124851285366,0.7539817633461682,0.6724162593477012,0.7429066045892403,0.806288210827339,0.7176496734243859,0.6958209433220943,0.6490353152942149,0.14634123986816863,0.1921200108049238,0.30918853157562953,0.43026807312627274,0.6860373225924522,0.17365323437312832
Koyukuk River at Allakaket,0.2958583196041241,0.18118840667784847,0.2674852734192074,0.15093790004070923,0.09820669553430461,0.43606819506035255,0.7664718522726646,0.5395856457410135,0.6259593363439881,0.04798595806923583,0.5625397425830072,0.22607254994711648,0.0494072063981912,0.68251257388506,0.6102875277351392,0.4438101456361315,0.16694024585634606,0.2182302190622216,0.19767275127593686,0.20267795359557586,0.41624939685495704,0.12621087881231766,0.21873841310670372,0.095365419874218,0.4690413202077481,0.5254145057379285,0.5944852832439232,0.7613211395659327,0.5322316290562689,0.5150698637932464,0.49494416122250856,0.07662194024814661,0.19180037722450322,0.2768251421722297,0.4132469839621772,0.6118914612079099,0.1696193517910244
Koyukuk River at Bettles,0.1678650884588706,0.1390572026250231,0.11619614104004111,0.07498286205305262,0.07554203718619637,0.30010404344708214,0.754753084159474,0.37123185206525205,0.44202517085472415,0.00878491392957877,0.45996809877952716,0.13020966876655093,0.011921143906434837,0.5017505015593008,0.5208677480280431,0.25193608861720146,0.11716635492011498,0.11237001472030048,0.11525209283798668,0.11174364668150807,0.29287782251206895,0.11871170144130276,0.13442745879293877,0.05081785247899017,0.41891617532385134,0.48073375565668613,0.45937301834113803,0.5480083433076325,0.4830630085565586,0.3554431953143085,0.39483849086321704,0.017506806619743465,0.13480489429634174,0.17027599091572,0.2388677818980238,0.549624787576979,0.1059247921399938
