# Correlations between TDD anomalies and breakup day 
# For all selected sites and stations
# 
location,ALYESKA,ANCHORAGE_MERRILL_FIELD,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,AUKE_BAY,BARROW_AIRPORT,BETHEL_AIRPORT,BETTLES_AIRPORT,BIG_DELTA_AIRPORT,CHICKEN,COLD_BAY_AIRPORT,COLLEGE_OBSERVATORY,CORDOVA_AIRPORT,DUTCH_HARBOR,EAGLE,FAIRBANKS_INTL_AP,GULKANA_AIRPORT,HAINES_AIRPORT,HOMER_AIRPORT,ILIAMNA_AIRPORT,JUNEAU_AIRPORT,KENAI_AIRPORT,KETCHIKAN_AIRPORT,KING_SALMON_AIRPORT,KODIAK_AIRPORT,KOTZEBUE_AIRPORT,MCGRATH_AP,MCKINLEY_PARK,NENANA_MUN_AP,NOME_AIRPORT,NORTHWAY_AIRPORT,NORTH_POLE,SAINT_PAUL_ISLAND_AIRPORT,SITKA_AIRPORT,SKAGWAY_AIRPORT,TALKEETNA_AIRPORT,TANANA_AIRPORT,YAKUTAT_AIRPORT
Buckland River at Buckland,0.004680839838935432,0.2359213638999799,0.0156373961253857,0.05904304151569792,0.5049549418760285,1.1749435872413355e-05,2.854165864732676e-05,0.000145032256761357,0.0009431658354285739,0.008395935185675349,0.00012077415218149681,0.010919276070487725,0.023848569878268843,0.0002782636983182389,0.00010891374846439763,0.0006103781872798756,0.033018449130694266,0.0019397499605489175,0.0019165111969712968,0.025887356924490384,0.0045783635668945315,0.021186819407732007,0.0008321398960192379,0.013492398880087828,2.4141816858244095e-09,2.7251611930094443e-05,4.9563320044990734e-06,7.218118706064789e-05,1.4796766618835793e-08,3.06813502868219e-05,0.00023630391855341716,0.05763346045585235,0.007818500389673735,0.022989142048928702,0.0014562192150039328,0.0007172115853465897,0.00990994312552659
Chena River at Fairbanks,0.004535279558368042,0.005933117750642456,0.004843288731145243,0.013202024986366388,0.10903405122617411,0.001150995151402144,0.00232145414249407,8.521289903012701e-09,2.840153066489227e-06,0.051365166274435436,0.00014379049175507454,0.007803271368614032,0.1986226925129841,0.0006609345196224008,0.00015629671350471158,0.0009139114360396662,0.007539501613718084,0.007696222826685526,0.008053068722056878,0.013285649432675848,0.0025757120566240648,0.1667537329894637,0.0022031644017831593,0.026253127666854073,0.5236748091099611,0.00011058859371147939,0.00033585700009302623,1.536689463892646e-07,0.02891421990703175,0.0020263211715426123,0.00024554113351397787,0.08195238674644201,0.011242413934771973,0.010744337303784239,0.002065255339467708,0.0008169103496427548,0.02041237268589431
Chisana River at Northway,7.682087963582492e-08,1.374102615436971e-05,4.705011685672744e-06,0.0010369087887750162,0.6173609323619521,0.00029562324945811325,0.0004562713715370292,2.325633289718459e-06,5.160277082494418e-06,0.048855315556836816,1.8580403662755145e-07,0.0002078648386853278,0.20988347611273414,2.1117709049712543e-07,2.1015910701629447e-07,2.9630761434273356e-10,0.0003260721100863814,5.4401007362683694e-05,9.663149416943381e-05,0.000273189860096404,0.00010953433970435378,0.0001587302457558691,4.0575414898276024e-05,0.006630571599574708,0.3988335145003896,4.288946063376049e-06,1.566898372855556e-08,3.659625309399515e-05,0.0347824141882712,5.285694047736961e-09,1.48720870635006e-07,0.05913788771092516,8.138026225571292e-05,7.557412973041191e-06,3.821111744834711e-08,5.273058616111447e-05,0.0007445597651954439
Gakona River at Gakona,0.009032412797366277,0.12534594715107242,0.00773916206162155,0.05264785016777064,0.018703166108646193,0.03417764200802633,0.01721702730244777,0.012944893174267384,0.08918362286384215,0.25826791224135615,0.007270726979455452,0.02435740621729289,0.33062245264070034,0.014414374551407384,0.005500487109952613,0.005113030418841733,0.10530823661806595,0.029030153636547654,0.05559068843364514,0.06113914989295575,0.006688657844540614,0.37871330696102257,0.04231163891185454,0.10409521980880196,0.9196057336166674,0.007676657518346966,0.007337108285714037,0.0001123180689712053,0.09034133939940728,0.0038613467133888266,0.005924443455835864,0.3360173646592069,0.04922143732235247,0.11168343846082401,0.0019902902463397078,0.015295804240370145,0.04965768389373908
Gulkana River nr Gakona,0.022971805647578145,0.10863720329954511,0.032839416450641465,0.11238440917815914,0.02175727234645795,0.12387262440806172,0.03532380683208217,0.007728708284635224,0.027541476722765624,0.4820947726886834,0.006042201527838018,0.09746090424740139,0.4101821663259702,0.04398906902602129,0.01112786089968112,0.0036233381476579404,0.07363607849836579,0.14113083162810963,0.1429610209713065,0.09379888281109774,0.05835220041893674,0.45643239853626527,0.09755896265875984,0.21991001634703602,0.9299568307269495,0.026462310312508504,0.008309040459686104,0.00012404718289603627,0.2906879565975233,0.0012328524412525837,0.0072512706613605945,0.29244094625055217,0.233265374944519,0.03681141912990274,0.007680272678203518,0.037872052594883784,0.19647026184796657
Kobuk River at Ambler,0.006522934221143659,0.10777589433657368,0.0027202598679026916,0.08621897331809118,0.7943195607365318,1.066278670793111e-06,9.808998076558576e-08,1.470173630318688e-05,2.168451202432088e-06,0.019204639408131396,1.439165492909162e-05,0.014565178951541205,0.00803127917800128,9.772885112261129e-06,6.403620865550834e-07,5.3863010139779176e-05,0.019277705765544106,0.0015739787134455552,0.0062908888170253975,0.006815994604264413,0.0014576675754101394,0.025211199942159316,0.0008041170727241298,0.014040142262063635,3.2583428313919263e-09,3.343678900048721e-06,5.924676291214912e-07,2.3378580163417814e-06,9.706253486715028e-10,1.3227605681099578e-06,2.9742687118639402e-05,0.0423029466710764,0.006216647063333501,0.0026922907385390376,0.00020243570593201203,1.9733919162951293e-05,0.015560304222187763
Kobuk River at Kobuk,0.005024698349201777,0.08048111563165028,0.006414827219301014,0.07599289025537005,0.9262935956871137,3.5753063779365175e-07,7.219458213207053e-11,1.3402820676633413e-06,1.0833358802186088e-06,0.12323202352212638,2.0232509194047976e-07,0.015092009183351364,0.21029450729332183,5.160047199795657e-07,4.146324307408446e-08,2.2464309228101767e-05,0.03439660876381027,0.004960351944756418,0.006499147129994478,0.01419029148928729,0.00022555995764737092,0.02276258654019735,0.0023002960381826067,0.07136505645835163,6.431265904188939e-09,3.4982377240562514e-10,4.258871460651017e-09,1.6593547935492883e-07,2.352555905134021e-10,8.278711954658399e-08,5.192674609627548e-07,0.16501757676127715,0.006759519903331558,0.01521079152969002,4.065587735357953e-05,2.9158571011438305e-08,0.011916132906684978
Kobuk River at Shungnak,0.0030963866929612045,0.03830707421003372,0.009151660014820156,0.08808598425031834,0.9109538161996346,1.3629957272643943e-06,1.3472324440052777e-10,8.150599505743629e-09,1.0152650130238465e-09,0.0486188523912905,1.0043172775424287e-07,0.01041887886367781,0.02027577480463766,6.200623050402028e-07,2.1468072085019086e-08,3.4021762426958734e-06,0.0123341081519825,0.006077567577568283,0.007240868381720854,0.013689035051149677,0.0002481583183340574,0.020011869969060223,0.0029336390463504504,0.019767169109799657,1.205763940607904e-10,9.319334407825653e-09,2.350032211066739e-10,1.1516506693044585e-09,9.73720925797826e-10,3.0178453891457853e-09,7.84356005935336e-08,0.03694568909898142,0.012098483780667472,0.002598605616367347,4.5862365084487065e-05,8.85830270682536e-09,0.017663944346391375
Koyukuk River at Allakaket,0.001068341957734119,0.04286153185184488,0.0012379709460683091,0.021088190334808153,0.06272891268470085,1.1738779316991826e-05,2.8113914205030506e-12,1.698356887351959e-06,6.9559085729726665e-06,0.1992772847760397,3.284460294724479e-07,0.0033820470908839397,0.28555689996763906,1.7814729084695717e-09,1.8857651068724237e-08,9.207862150332693e-06,0.024982622359895117,0.004073018177592857,0.006592248478291039,0.0058672896376700985,2.1557871268630055e-05,0.046006476448498396,0.004024401911753558,0.06686695710950352,4.080061888769564e-06,5.751547774535796e-07,3.751099531781906e-08,5.7039782114169873e-08,4.471247831458068e-07,1.2193950681554899e-06,3.4665836566919548e-06,0.11300745109461394,0.007553553484207612,0.00402919172411758,2.3597940024578222e-05,1.755968758882754e-08,0.01256880216890338
Koyukuk River at Bettles,0.010633522949339901,0.0663685334882569,0.029186810758207327,0.08730504285300313,0.08201062721283055,0.00020947091605755936,1.8138914976403306e-13,6.273077806017045e-05,0.0002883213441965443,0.5599761964363876,2.0943437892488447e-06,0.020460950672937947,0.5877384446760076,4.539082769735775e-07,1.0112711838174402e-07,0.0009671197724292922,0.04752728368990022,0.03215544333626153,0.029892844414775247,0.03266936801562784,0.00025864807037060723,0.039609196450640045,0.018382196949863216,0.15644742074363696,6.377907493854181e-06,5.03473359797191e-07,1.1280627529480186e-06,1.5367098063630716e-05,4.602020357399468e-07,4.9186947986436054e-05,1.8433269930023362e-05,0.4220026432557298,0.018206680920794614,0.018921305222434244,0.001185702856609633,4.452166558397364e-08,0.037854396970183404
