#  Anchorage, Alaska March Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
195303,19.1
195403,22.4
195503,23.1
195603,19.5
195703,28.7
195803,28.8
195903,14
196003,20.9
196103,16.3
196203,19.9
196303,24
196403,17.2
196503,36.5
196603,16.6
196703,23.1
196803,28.4
196903,28.5
197003,35.4
197103,14.1
197203,15.7
197303,24.2
197403,23.3
197503,22.5
197603,24.1
197703,24.7
197803,29.2
197903,31.6
198003,27.2
198103,34.3
198203,26.3
198303,28.7
198403,36.4
198503,26.7
198603,24.1
198703,26.8
198803,31.3
198903,23.6
199003,28.6
199103,23.7
199203,24.9
199303,28.7
199403,25.6
199503,18.6
199603,29.2
199703,24.5
199803,30.1
199903,24.1
200003,29.6
200103,28.8
200203,22
200303,26.8
200403,24.2
200503,32
200603,23.7
200703,14.3
200803,30.2
200903,21.8
201003,27
201103,25
201203,20.9
201303,24.7
201403,27.6
201503,29.8
201603,33.5
201703,19.4
201803,27.8
201903,35.8
202003,21.6
202103,19.3
202203,32.4
202303,25.1
202403,28.9
