,hucmask,t2m,year,month,objid,huc6
0,1,256.03604,1979,1,1,190201
1,1,246.09424,1979,2,1,190201
2,1,265.75183,1979,3,1,190201
3,1,271.83328,1979,4,1,190201
4,1,278.7226,1979,5,1,190201
5,1,282.7145,1979,6,1,190201
6,1,285.96243,1979,7,1,190201
7,1,285.49954,1979,8,1,190201
8,1,279.64053,1979,9,1,190201
9,1,273.1858,1979,10,1,190201
10,1,266.45538,1979,11,1,190201
11,1,252.94374,1979,12,1,190201
12,1,252.69247,1980,1,1,190201
13,1,263.22333,1980,2,1,190201
14,1,265.24933,1980,3,1,190201
15,1,273.43164,1980,4,1,190201
16,1,278.2965,1980,5,1,190201
17,1,283.18945,1980,6,1,190201
18,1,285.19952,1980,7,1,190201
19,1,282.7753,1980,8,1,190201
20,1,276.94388,1980,9,1,190201
21,1,270.84445,1980,10,1,190201
22,1,263.60718,1980,11,1,190201
23,1,245.28314,1980,12,1,190201
24,1,266.35983,1981,1,1,190201
25,1,262.35757,1981,2,1,190201
26,1,267.8286,1981,3,1,190201
27,1,269.1129,1981,4,1,190201
28,1,280.32974,1981,5,1,190201
29,1,282.99365,1981,6,1,190201
30,1,284.13287,1981,7,1,190201
31,1,282.99716,1981,8,1,190201
32,1,277.07513,1981,9,1,190201
33,1,270.12057,1981,10,1,190201
34,1,260.75626,1981,11,1,190201
35,1,255.51096,1981,12,1,190201
36,1,244.77534,1982,1,1,190201
37,1,254.88303,1982,2,1,190201
38,1,262.4213,1982,3,1,190201
39,1,269.16708,1982,4,1,190201
40,1,276.15936,1982,5,1,190201
41,1,282.65372,1982,6,1,190201
42,1,285.47937,1982,7,1,190201
43,1,283.69324,1982,8,1,190201
44,1,278.85367,1982,9,1,190201
45,1,264.9438,1982,10,1,190201
46,1,258.575,1982,11,1,190201
47,1,258.09894,1982,12,1,190201
48,1,252.87599,1983,1,1,190201
49,1,258.7989,1983,2,1,190201
50,1,263.09393,1983,3,1,190201
51,1,272.61743,1983,4,1,190201
52,1,278.9349,1983,5,1,190201
53,1,284.05515,1983,6,1,190201
54,1,285.5604,1983,7,1,190201
55,1,282.611,1983,8,1,190201
56,1,275.40732,1983,9,1,190201
57,1,268.92847,1983,10,1,190201
58,1,261.29156,1983,11,1,190201
59,1,255.78365,1983,12,1,190201
60,1,257.35672,1984,1,1,190201
61,1,257.69598,1984,2,1,190201
62,1,268.70032,1984,3,1,190201
63,1,272.04327,1984,4,1,190201
64,1,278.02435,1984,5,1,190201
65,1,283.36972,1984,6,1,190201
66,1,284.3979,1984,7,1,190201
67,1,283.285,1984,8,1,190201
68,1,278.1531,1984,9,1,190201
69,1,268.71762,1984,10,1,190201
