# Correlations between TDD anomalies 15 days before breakup, and breakup day 
# For all selected sites and stations
# 
location,ALYESKA,ANCHORAGE_MERRILL_FIELD,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,AUKE_BAY,BARROW_AIRPORT,BETHEL_AIRPORT,BETTLES_AIRPORT,BIG_DELTA_AIRPORT,CHICKEN,COLD_BAY_AIRPORT,COLLEGE_OBSERVATORY,CORDOVA_AIRPORT,DUTCH_HARBOR,EAGLE,FAIRBANKS_INTL_AP,GULKANA_AIRPORT,HAINES_AIRPORT,HOMER_AIRPORT,ILIAMNA_AIRPORT,JUNEAU_AIRPORT,KENAI_AIRPORT,KETCHIKAN_AIRPORT,KING_SALMON_AIRPORT,KODIAK_AIRPORT,KOTZEBUE_AIRPORT,MCGRATH_AP,MCKINLEY_PARK,NENANA_MUN_AP,NOME_AIRPORT,NORTHWAY_AIRPORT,NORTH_POLE,SAINT_PAUL_ISLAND_AIRPORT,SITKA_AIRPORT,SKAGWAY_AIRPORT,TALKEETNA_AIRPORT,TANANA_AIRPORT,YAKUTAT_AIRPORT
Buckland River at Buckland,0.00014549585785208512,0.15406616403547305,0.003961205920523824,0.11331574004649936,0.6255031046790218,8.171673891855176e-06,0.00037013422072352685,7.414141655995436e-05,0.0004837347912716771,0.0014265432355797607,0.0001096668753735821,0.006355656831705964,0.015912444059658512,0.0001947360599579871,0.0002671737754776813,3.350716192900529e-05,0.03883857035334316,0.0010450804178068517,0.0002019659170927433,0.038993253281725496,0.0003003630549745632,0.033324545070482645,0.00010556672074977346,0.010759562423609759,4.069129996278227e-05,4.342373169289997e-05,1.2790263855690829e-05,0.00014657887114433526,6.735096546404205e-06,4.19781471732166e-06,0.0003766304083753825,0.11267278093579983,0.023677421416795925,0.02658203053950364,9.034887761477965e-05,0.0022386167237528117,0.008675223324433105
Chena River at Fairbanks,0.01991545161841338,0.0015443469571661908,0.00750409537618444,0.010973976475963015,1.0,0.10311673368316623,0.09240782740786456,1.364184608439612e-06,0.0013596098011969366,0.1806996892145399,0.004427039977882802,0.0065626331700927645,0.3453684565457437,0.008253181036101072,0.002073194555493063,0.005055248469680502,0.00601377398802317,0.04601268962075594,0.12770975254204084,0.012079314931932972,0.014244279794036536,0.13352548429904051,0.03744488113277348,0.04092380298417825,0.6020100065650198,0.0017146759719519134,0.019843746851447006,6.787450699052012e-05,0.646081710661094,0.00794225880244118,0.002077288714129009,0.9207357688306231,0.012687819309020874,0.0074472218152114005,0.005805549633766531,0.006206836872938497,0.022323575505377106
Chisana River at Northway,3.674971618119509e-08,0.00011028229924484078,1.015590337005302e-06,0.0012082377404007956,1.0,0.10950402911042594,0.16573845904003048,0.00017854731736855262,1.568443477625548e-05,0.2731290816454429,3.927584202433443e-05,0.0003223243275939628,0.34604917417503767,0.0016613545827599285,7.425754389099397e-05,1.1135527675017653e-06,0.0002056135542097214,2.9307088099728544e-05,0.0018247418542609985,0.00013767486456456223,0.001976467647625283,0.0002513754356913984,0.0003909656752271283,0.009671467365240695,0.40303351506351903,0.0038632482364359152,0.00023939985815523898,0.003947926549565747,0.5130667010856174,2.7582186529594397e-06,1.728844955808534e-05,0.6739684001641065,0.0003167621311791375,1.235830437365357e-06,6.603365380682756e-07,0.0062726169040835346,0.0016063077514852746
Gakona River at Gakona,0.04453135385311399,0.20124835470109537,0.019084768087886065,0.05449530916141968,1.0,0.30307130445280817,0.6545242684928428,0.0399367842762308,0.22730809824360695,0.547959986315064,0.031178165872832692,0.04924654608680495,0.28079901383780026,0.08321182371076774,0.02399102508218781,0.011701600086832596,0.10246009287303769,0.06590132709753714,0.1346940324266114,0.0692204980016935,0.023539913216076506,0.3535825210606899,0.0724793861734487,0.1895638935539055,0.28455142235917075,0.04567030759610037,0.20484941422567657,0.0007129592158868467,0.5592621117466337,0.016599480675857013,0.025796736344631067,0.9466538834780611,0.04569015020215915,0.11803560312348212,0.014872224498620468,0.1305277183008118,0.08606490277751813
Gulkana River nr Gakona,0.10623360792380493,0.1853209180085161,0.05566363699033082,0.1668257977143845,1.0,0.5299012811185391,0.39163437784205346,0.022629336898526135,0.305368032813439,0.6102139268717035,0.0215848388958104,0.12950521859302755,0.2704641683754403,0.10603917742722277,0.021347574692729923,0.012989242483888,0.11373789362896058,0.23432298618386316,0.44405742055722974,0.11100220741511549,0.16632091916684624,0.4808064594499106,0.23355613998910835,0.3826653019071801,0.6362466668036889,0.048950819014303745,0.16773511393567528,0.004263209424943086,0.6700866644542081,0.004307764485663305,0.012130408326132613,0.9822915342673404,0.31475136671770954,0.0445356547525311,0.03381585137992054,0.20856945950451672,0.24125197803491688
Kobuk River at Ambler,0.0002545741984318361,0.039587407821181,0.0001642726817601634,0.12230232285135914,0.28454425240227427,2.0161439277651476e-06,8.566581548787524e-07,4.733826607447163e-06,6.378086907852365e-06,0.0024800757910940384,6.171534988896505e-06,0.003580305851634177,0.003912078366879921,1.8423675625056154e-06,1.3649163848969638e-06,3.938226984910634e-07,0.012588477567531267,0.0003925823593601807,0.000580730802525929,0.005894477398870299,0.00010397498829380731,0.01974307786418543,0.00010334031172505721,0.008089156341091613,1.1083513257886018e-05,7.910370052533235e-06,2.2833804614211532e-07,8.502432049854536e-06,4.589924524430438e-07,9.287924176343548e-08,3.010489021506729e-05,0.03343359719426963,0.007764081079388323,0.0015567285767565107,1.1227741598044051e-05,2.9773791365461342e-05,0.0075886966128636615
Kobuk River at Kobuk,8.00549309761686e-05,0.024504764713527014,0.0005790677071047679,0.19529574502923605,0.7384793039520737,3.540812984536362e-07,1.1960506084788612e-07,1.3066130857713398e-06,2.2711112137155993e-06,0.026073734525278974,1.0077903930428293e-06,0.004215539207124317,0.09840929927832838,5.501612566505132e-07,3.1432282775255903e-07,3.049193768965095e-06,0.042265131849895686,0.0005742886311553461,0.000538019431385615,0.024880553298666258,1.9487507920646406e-06,0.04598479225429038,0.00015089111331850565,0.02527015083336002,0.00042290029981425635,7.758325611274988e-09,4.239780786291846e-08,1.900645200605255e-07,3.10894661211397e-05,1.0992401553323935e-07,4.157186602666032e-06,0.1824608608598204,0.021926296032542557,0.01935185722763652,4.6665677356686565e-07,4.3765390132290317e-07,0.009499642133989277
Kobuk River at Shungnak,9.588907756561234e-05,0.012248229434308764,0.0005822603464298907,0.15613268672086275,0.20766317060066605,8.921536779109258e-07,4.815385692584067e-07,1.9202828585969084e-09,8.114118137962624e-08,0.007421602478414968,8.617904163062413e-08,0.002581320329572466,0.005176498231378353,2.56216419386065e-07,1.0368895138142071e-07,1.1322888678067095e-08,0.010305848049618042,0.001351994373331731,0.0006037191524789019,0.01810506850595402,3.4461533207060365e-06,0.024001413565972664,0.00021057594775021298,0.009194595495787949,2.3256342031211294e-06,3.305593660824911e-08,1.3791406511872859e-09,2.6888500298489927e-08,4.999574584902208e-06,3.139433807541801e-11,3.886710166934396e-07,0.023769977639852034,0.017607943623912832,0.0023117662693969126,2.9457900748632696e-07,6.429883752939646e-07,0.01215877906926069
Koyukuk River at Allakaket,0.0001934668744643926,0.033636242276012654,0.00024849654770491334,0.07758033187097585,1.0,1.9571752161234732e-06,9.730973883172148e-07,7.363962715491881e-06,0.0019535555834061494,0.061606812521805054,2.090855972969652e-06,0.0009385375329554073,0.08740767027316715,9.848687201499005e-08,5.802518636234974e-08,3.609541015853989e-06,0.04252626855544357,0.0009052420176275231,0.0006900412495818994,0.01358334513466298,1.7131185831843403e-06,0.07289450156678952,0.0007650733169325494,0.0289359531906041,0.000913263478569143,1.6325374954554094e-07,7.28020855236743e-07,2.6375762414818586e-07,0.00030115413936813426,3.126469842126854e-06,1.5567782419000688e-05,0.2287764310471789,0.017279880717358066,0.009252261596054355,4.6793383157966705e-06,5.486965723379244e-07,0.013317882166508593
Koyukuk River at Bettles,0.0029003321719250743,0.07805900025992712,0.01814614139690532,0.29950202614670607,1.0,0.0001496962523143863,3.9812477683579355e-06,0.0004887500181692324,0.016444929546439627,0.33884586926058946,2.0589808910940674e-05,0.015884953008995374,0.29812085448734443,2.6381396854604534e-05,8.446683769462974e-07,0.0007034795102453939,0.1086548170893947,0.013210191207498707,0.008526704719674205,0.10274299518319968,2.5029101974712624e-05,0.10177644040148956,0.0039575967673611285,0.07746294970201642,0.013815596086217874,8.546185751488503e-07,0.00015764971806531938,9.9114399902323e-05,0.0014857863706132372,0.00016111978896422914,0.00010870706295952392,0.9149975987280193,0.06545713269490055,0.05772632011611087,0.0005110081488165829,7.111336517301013e-06,0.05517747006816611
Koyukuk River at Hughes,0.00037280319856031343,0.04184282125890511,0.00034845577839390295,0.06683028119638473,1.0,3.445909149961468e-06,2.637014957224535e-07,1.5475506948612216e-05,0.012610597012210656,0.1472510444521651,7.054182833324818e-07,0.0014438954205729286,0.10686958288865378,3.435458467984878e-06,1.6770707101545653e-08,4.238850922385587e-05,0.0267258978362266,0.002440910416409817,0.002586107606856504,0.008624009074927106,1.8953492242605475e-05,0.0984757478524952,0.0004893022417352187,0.09890138276170199,0.039176344534302,1.052008398790119e-08,5.233168812771675e-06,3.107477070802585e-06,0.0006218763474957853,9.237304072113771e-06,3.6315061421213276e-06,0.5983855044473311,0.01324965537840171,0.014147051267573872,2.5349348801024207e-05,5.757497514065065e-07,0.01744166322343434
Kuskokwim River at Akiak,2.663167989018109e-09,5.394896925495144e-05,8.991738901280059e-09,0.007735354797211017,1.0,1.394931034799291e-12,0.002688766794385192,4.054870202931133e-08,0.007267285117669819,0.0001994868943596241,6.542316750335972e-08,1.0543227047380086e-06,0.013064818958968247,3.6116585760982327e-06,1.0454388009837772e-07,3.586569019231368e-08,0.002573244330743372,1.383410538825819e-06,3.5608292190147487e-09,0.0004212831603093343,1.0022335557929958e-07,0.002970494755384039,4.352083942501513e-10,0.00015123569324284616,0.04156639389607055,1.1944904072607102e-10,1.4405365508113677e-08,5.976860632082035e-06,0.0007149726064334932,3.004555287430943e-08,1.9380162128656884e-08,0.012239649784994564,0.00018161204002975487,0.00014052006079324155,5.402761178997492e-11,7.559599998812332e-06,7.356879847023138e-05
