# Correlations between TDD anomalies and breakup day 
# For all selected sites and stations
# 
location,ALYESKA,ANCHORAGE_MERRILL_FIELD,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,AUKE_BAY,BARROW_AIRPORT,BETHEL_AIRPORT,BETTLES_AIRPORT,BIG_DELTA_AIRPORT,CHICKEN,COLD_BAY_AIRPORT,COLLEGE_OBSERVATORY,CORDOVA_AIRPORT,DUTCH_HARBOR,EAGLE,FAIRBANKS_INTL_AP,GULKANA_AIRPORT,HAINES_AIRPORT,HOMER_AIRPORT,ILIAMNA_AIRPORT,JUNEAU_AIRPORT,KENAI_AIRPORT,KETCHIKAN_AIRPORT,KING_SALMON_AIRPORT,KODIAK_AIRPORT,KOTZEBUE_AIRPORT,MCGRATH_AP,MCKINLEY_PARK,NENANA_MUN_AP,NOME_AIRPORT,NORTHWAY_AIRPORT,NORTH_POLE,SAINT_PAUL_ISLAND_AIRPORT,SITKA_AIRPORT,SKAGWAY_AIRPORT,TALKEETNA_AIRPORT,TANANA_AIRPORT,YAKUTAT_AIRPORT
Buckland River at Buckland,0.00013484671546037784,0.0934913280722071,0.0018254708543328747,0.027980539461230632,0.15464652502653073,3.5277794831989383e-07,8.477810132828869e-06,3.6886865032822566e-06,2.8539894339089523e-05,0.0003206749365107521,4.0438420982286355e-06,0.0027922817542382536,0.009866165587758803,1.5136835429049912e-05,6.491345390482528e-06,5.3311291523154515e-06,0.018286969630578662,0.0007083206102654655,6.095312070284076e-05,0.006484427033845241,0.00022090073633821274,0.010395449161495282,2.218363213196702e-05,0.004926473372637034,1.2045181118370988e-05,2.9229177662605756e-06,5.0890831088889277e-08,1.0436596949657741e-05,2.1491034231184866e-07,3.4953968442576763e-07,2.047163482651339e-05,0.02236133450073975,0.0067792089340820965,0.01776768696569164,3.589852148955187e-05,0.0001425787394690972,0.002617600464997064
Chena River at Fairbanks,0.005241873759169962,0.0006723308569243245,0.0031856889551072276,0.010693442021600946,0.5939141869082114,0.014111079772933344,0.0896524951165702,2.225131798363914e-08,0.0002259978535034245,0.06070852308364025,0.000985200039649906,0.004617335178917304,0.17411807486646502,0.0044617160612105446,0.0013628398765383857,0.0043191750231423515,0.0057202112081907765,0.012093422367464305,0.013366897003454678,0.007615884797571026,0.0030347376982510126,0.1733826929738567,0.0031383096598616104,0.017648465488354127,0.8924164723805897,0.0003342762062410017,0.008063064378451702,1.5299330288219253e-07,0.3553345613408297,0.006560121214490586,0.0011680758959703263,0.5984164802166428,0.012313667526063584,0.009987609837311534,0.0022113876508697127,0.006346721415802738,0.01303495704825606
Chisana River at Northway,4.365957446689657e-10,2.7856444105713453e-06,5.125997540442693e-09,0.00028138045267853156,1.0,0.002808391244569584,0.23715221088044497,5.018988625018948e-06,0.006665611545864996,0.05402994434682076,2.0576908369939686e-06,3.889758609949516e-05,0.17569872069435294,6.592259119655862e-05,2.917193413904882e-06,4.1107207822738966e-09,4.4326674078857106e-05,2.01999178302118e-06,2.139670627817213e-06,2.8352453376185274e-05,3.015819179454825e-05,7.449216032550032e-05,9.656978747046417e-07,0.0036412476078017697,0.6418819996293476,0.00010661502216014691,1.6399275311125253e-05,0.0028036680482860033,0.6761368110766036,7.039373128668947e-07,2.732302410062444e-06,0.4507078151504715,5.2248726254140416e-05,3.6989350226433774e-07,4.701319167371547e-09,0.006630760833113894,0.0001968411870838027
Gakona River at Gakona,0.007233024928186377,0.09872156329053704,0.0034772864335094983,0.017665014871621185,0.023119521901927342,0.06151048027518663,0.10147001878109838,0.011198609679896691,0.1131832881101043,0.33994241071939263,0.007736683296665521,0.012405099605762748,0.3139852148448425,0.01777964713987551,0.007657266013163851,0.00217614640097934,0.03837639526867081,0.022846686422099055,0.02864713030176001,0.020511772569188166,0.005052127799018022,0.27009308848555125,0.020740037071086348,0.08457055144599682,0.6324298307135298,0.011380599309005595,0.019118286799646087,0.00013636249066829054,0.3722994630532413,0.0027616739598069514,0.006582826457478778,0.8842863091331127,0.01978157489103369,0.042902916184224725,0.002118632295273825,0.04202614709458004,0.024496327388773394
Gulkana River nr Gakona,0.010335989149577823,0.07279737136927963,0.00903533681659185,0.047779028400512964,0.011987582479670477,0.14747078544873496,0.17672997675466764,0.0079484506778431,0.051253914087579885,0.39039129817301615,0.006915731336382855,0.04614651787410579,0.3103551468366114,0.03762515234742366,0.01176012180123486,0.0028054630051184827,0.032615891927528055,0.08692693373834477,0.06566754487764447,0.04333750033527607,0.03944755646531914,0.30262773136852333,0.04525384743967093,0.17246381287667006,0.8705370783114322,0.02181259981999377,0.02511391624949162,0.00019972923118646632,0.4363848348965089,0.0013333841731997852,0.006718743422609712,0.7730195751480032,0.14766510438180158,0.020179616749488084,0.006204628767580738,0.08613962412806404,0.15035940574454223
Kobuk River at Ambler,0.00020925616262584576,0.021407207618160274,7.73553212639548e-05,0.03474326190970717,0.003940369996999717,2.5134763752768762e-08,8.994114982269032e-09,3.460918229966968e-07,1.3137143506200842e-08,0.0014137260474835754,1.380310788435829e-06,0.0019056954903304295,0.002742047059768667,2.0741721835587722e-07,1.4816218954823857e-08,1.8416321230942083e-07,0.00706841738670433,0.0003259658961298582,0.000425040715132583,0.001055656076887187,6.257586778186713e-05,0.012573020255915213,2.880387344418386e-05,0.005013592109346889,8.553112250457069e-07,1.7372302859974578e-07,2.709184310169947e-08,1.4064659870116683e-07,1.1056279317514227e-09,2.301796063927008e-08,4.012235565558518e-06,0.007883596773539503,0.004077351934403692,0.0011133360624091715,2.4987899255077394e-06,6.57543813113167e-07,0.003986918445446016
Kobuk River at Kobuk,3.106100359747589e-05,0.009900687503865437,0.00025098693730182353,0.03644807801902492,0.061811254407069735,9.459612569097818e-10,1.2507955262796269e-11,5.325294692575877e-09,3.5399280294721888e-09,0.012085047678232841,1.833654386739018e-09,0.0014613097712701823,0.07725263308717248,5.8055094102284365e-09,1.1590709309951747e-10,4.796690756112375e-08,0.014847883153769666,0.0004188350333243965,0.00018953005180205904,0.003436207105719919,5.409179995489165e-07,0.013751055767544715,4.0463922991888e-05,0.015156032074617121,1.244652696982967e-06,9.811876092281951e-14,3.76297035145028e-12,2.6783985510926627e-10,6.069898485898277e-09,7.483256828200924e-10,1.0135269454922805e-08,0.04818020361368719,0.0049864255674631685,0.00926618132593202,9.883440789812824e-09,9.085915431403665e-11,0.002431109786060105
Kobuk River at Shungnak,3.2275040777463896e-05,0.003726500534659976,0.0004516629447402653,0.037801951878200575,0.020739748448627065,2.6532420365509252e-08,5.547116810380058e-10,3.2812074579061665e-12,9.510475240050648e-12,0.0029823356292440037,3.6133508111255958e-09,0.0007677455683334759,0.0034253965082534864,1.586987856677405e-08,1.3902270754511036e-10,1.3349826494704755e-09,0.003706550098747605,0.001077647317094608,0.00035848578089034086,0.003006972804265045,2.4983747800867786e-06,0.009940524491881942,0.0001295769916528391,0.0037768222386602495,7.858318778086599e-08,2.2958607047350863e-10,3.2981720687076947e-12,2.471859557751383e-12,4.832160197220963e-09,2.914959565117129e-11,3.199769904224119e-09,0.004205448158079857,0.008061125045969697,0.0010293168012729104,4.4209151870929375e-08,9.419701832977646e-10,0.0037271923209351186
Koyukuk River at Allakaket,2.5852227388510503e-05,0.011446162819713805,0.00010430315880742372,0.009213858785515849,0.012931119966108994,4.0898085614540843e-07,7.573188274254692e-16,8.469078394704591e-09,1.5772921416833642e-07,0.05023627582530469,2.8078139237183073e-09,0.0002807274644943747,0.15777562841602558,1.1641290262936267e-12,3.5303522782046686e-11,2.3310055530638867e-08,0.009715963989985069,0.0006286694425919399,0.0005028669960567453,0.0013729099916219845,2.2779107005146553e-07,0.02879432858103361,0.0003007315033481364,0.02128306091872066,0.00010818649665237904,1.1455260880441654e-09,2.1852657014273182e-11,6.702294092915015e-10,1.2244011421200957e-06,1.4762087743284318e-08,1.0016231460547159e-07,0.06359270087544881,0.004978362045910638,0.0022357885700007266,3.518516319678248e-07,4.720896293765784e-12,0.004265897662863547
Koyukuk River at Bettles,0.0003973362052727173,0.018153157729233788,0.005441355759945149,0.050973849622185236,0.049844780764884127,6.753948732078788e-06,1.8195121560968358e-17,4.369496854656728e-07,8.00849253809638e-06,0.1976255702216449,7.115381167301191e-09,0.0032844747748828882,0.3718319844561374,9.48640974474059e-10,1.003843388370427e-10,4.546038967105079e-06,0.026764992684271075,0.006904842312917611,0.0030091962719311425,0.012811842055356296,2.1807566425832067e-06,0.026791829152425572,0.0012757985732289462,0.05547896694142586,7.244404527121382e-05,1.3365751326546932e-09,8.847005934586457e-10,2.0393085235603785e-07,1.5334891172282676e-06,4.1356807307488493e-07,2.314363101182759e-07,0.32291250368904295,0.015000623206936136,0.013436758412772585,2.36299696218641e-05,1.7468036318651252e-11,0.013941995377755312
