# Correlation R2 between TDD anomalies and breakup day 
# For all selected sites and stations
# 
location,ALYESKA,ANCHORAGE_MERRILL_FIELD,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,AUKE_BAY,BARROW_AIRPORT,BETHEL_AIRPORT,BETTLES_AIRPORT,BIG_DELTA_AIRPORT,CHICKEN,COLD_BAY_AIRPORT,COLLEGE_OBSERVATORY,CORDOVA_AIRPORT,DUTCH_HARBOR,EAGLE,FAIRBANKS_INTL_AP,GULKANA_AIRPORT,HAINES_AIRPORT,HOMER_AIRPORT,ILIAMNA_AIRPORT,JUNEAU_AIRPORT,KENAI_AIRPORT,KETCHIKAN_AIRPORT,KING_SALMON_AIRPORT,KODIAK_AIRPORT,KOTZEBUE_AIRPORT,MCGRATH_AP,MCKINLEY_PARK,NENANA_MUN_AP,NOME_AIRPORT,NORTHWAY_AIRPORT,NORTH_POLE,SAINT_PAUL_ISLAND_AIRPORT,SITKA_AIRPORT,SKAGWAY_AIRPORT,TALKEETNA_AIRPORT,TANANA_AIRPORT,YAKUTAT_AIRPORT
Buckland River at Buckland,0.400025282355002,0.14097556247129114,0.27270066614003174,0.14639023961533393,0.06424822665693859,0.5722838841902945,0.47764307494081354,0.5279410832070995,0.6110487605257293,0.34567017771759023,0.5129090651159736,0.25390914371788725,0.30198834682355646,0.4811410290637292,0.48629863057064643,0.5041066521088642,0.19607625061071707,0.3132148081134043,0.40934854034703444,0.2156141073160991,0.3604719052216814,0.21934920920508266,0.4453121847269021,0.22824984297696344,0.47726209305168044,0.5113662224516337,0.6215951776541258,0.6299021931181599,0.5854684476724744,0.5846402041776434,0.4705821519782869,0.16722462969855426,0.2135570510350714,0.2048356211946711,0.4284444616934307,0.38738853505708126,0.25678881370136886
Chena River at Fairbanks,0.2631994206359823,0.5030750886840473,0.271002996962537,0.21786806467080816,0.010282101516755047,0.19664042742088697,0.09941909284999793,0.72030610130205,0.5605668625258815,0.12003976242978487,0.3358809474505189,0.2529238662950783,0.09496879276898339,0.271567061245685,0.3110955823085636,0.264450410431014,0.2875883324878946,0.20456740751515282,0.19942890308428057,0.22804173013852966,0.273343153014215,0.0728366927836931,0.2717259580118703,0.1850723746370047,0.0006648244114216484,0.3734422884209287,0.22516936862978976,0.8294016048961081,0.030582013961012237,0.24321968657147885,0.3383263957119386,0.010816862199479778,0.20364251729291383,0.25528169574660253,0.2884595179444862,0.2449152820461458,0.20072129302021272
Chisana River at Northway,0.7819732770901127,0.734430867608967,0.685035812014032,0.37025467921815997,0.0,0.26100936548209713,0.04625694226719343,0.5438518124327331,0.35944135038882896,0.11819334438368993,0.5460937698516694,0.43626188712532904,0.10510373993521026,0.4513261498141044,0.5231194201380124,0.6895741308173262,0.4932569024680226,0.5343665717579879,0.5326220221043086,0.4476062689521127,0.44540794905208264,0.4725561792547301,0.5561902091995622,0.24906728660313843,0.007559129853517085,0.39864693254877853,0.46674786372650895,0.43730291340311883,0.005897142382791502,0.5777253856150744,0.5501136849342804,0.020469753186506946,0.425482498092091,0.6985175013670577,0.6868216504209115,0.22098031700308074,0.3746768256554874
Gakona River at Gakona,0.21684824646211684,0.14414541782522128,0.2373298758622039,0.1635896472215736,0.1510353059633623,0.10502515161866552,0.08160859776533727,0.201985656447488,0.13348493007914547,0.028490986613360927,0.21363911161549007,0.17995838046662488,0.050641562259977436,0.1733328430940795,0.2020264531152375,0.26497597364721454,0.16049487142575103,0.15159060918207196,0.14098800542030807,0.15662764718305283,0.2207566836571382,0.04656512321212168,0.1561110711790727,0.09009441892012454,0.007471849432427175,0.1839257296393863,0.15990871330121065,0.5637621218916189,0.024948537778824963,0.25440105498383037,0.22132451246259774,0.0007176466588750917,0.15831875982198126,0.15999026955222465,0.2589203116708083,0.12672317023039767,0.14832772719810486
Gulkana River nr Gakona,0.21258769676163994,0.15958325076338425,0.20018251522900288,0.12050797999299105,0.1868890764276524,0.06646645786732226,0.05806610734179058,0.22589074816748012,0.18554293623133122,0.023893509357166772,0.22571900868696385,0.12219233956913902,0.048944723281164094,0.1406580213447471,0.18779368313432,0.2610570473523811,0.1699444753995915,0.09158376558872668,0.10510988921453185,0.1252348540158996,0.12978951866754412,0.039294782432881196,0.12313870924586566,0.059191895644286625,0.0008703647253282326,0.15837212263716785,0.1515978426707489,0.5074310703639828,0.01966224166830802,0.2863512876331546,0.2271274034457517,0.002914244784317692,0.06640486436775014,0.2131123373299511,0.21765156533538565,0.09498586332350153,0.0655597536061919
Kobuk River at Ambler,0.3534327164995898,0.21809189024103243,0.3558233355238523,0.1211810761199419,0.20866022357048788,0.5825950065937999,0.605372761816839,0.5390696744448819,0.77646314502921,0.24937982166381276,0.5009672682020768,0.23767781769076812,0.31711431370885873,0.5524511925369616,0.5944645775490713,0.5449576115302747,0.21794378058166852,0.30483833874727373,0.29506279668851154,0.26069224082240555,0.36305422804445064,0.18463515741416425,0.38889656375174636,0.19887484649583073,0.49434405053459085,0.536246574288902,0.5808840279622394,0.7234950038200578,0.6481391028957123,0.5950142449392699,0.46954949716554123,0.18995020857496114,0.20727673622987017,0.3301943332795538,0.46415887185661564,0.5114365686734981,0.2081849519487403
Kobuk River at Kobuk,0.41343617015441525,0.26593570166481906,0.30723587099358196,0.11594680888472801,0.0911227020292027,0.6409476381890814,0.7150301734909088,0.6489040272961956,0.8013285536327025,0.15844792637631588,0.6487310523139442,0.2421972601318919,0.13508050769678256,0.6359756575477945,0.6790032198803101,0.5676230029039121,0.17674862600528474,0.28881908986713695,0.3171641853781916,0.20898405806296283,0.4971192870854048,0.17520432771996405,0.3695646538026401,0.1491765762811803,0.4839698222703705,0.7802401127131033,0.7327796151968401,0.8291745330600659,0.6035892531542892,0.645406071481982,0.6132527197932326,0.10695926857100796,0.19421337487406362,0.21813899401871664,0.5931801397867781,0.6932172775200057,0.22254721810651407
Kobuk River at Shungnak,0.45428065470191964,0.3362858805723821,0.34086426257588487,0.14041761274286432,0.16575966681450233,0.6491270723782666,0.7279265860350852,0.8278277721537128,0.8950422801722865,0.25825873699104895,0.7173800418832792,0.3184505149403365,0.3551369426076455,0.6996992215247665,0.7516593875016921,0.7239843547570852,0.2721107247359573,0.3037927456136314,0.35042681963567873,0.25788157603885126,0.5278933964985437,0.22929385976848507,0.3911128280350392,0.24737504231701885,0.6232516291100876,0.7433018235787149,0.8060630952647426,0.886041157123072,0.6862558811183032,0.7760027035782042,0.7197926463274529,0.2575061261523597,0.2116766153007874,0.3555380970157665,0.637183027635963,0.730467004230768,0.24798768850196634
Koyukuk River at Allakaket,0.43999966068588436,0.26776010945708995,0.3618408652299566,0.18824978674213833,0.16837223906918727,0.5346231693011514,0.8555653774086593,0.6744687316298625,0.7373994433874924,0.10810375723405592,0.6734800006393039,0.3254020746217629,0.08483307829177172,0.798329095041628,0.7293603439356307,0.6054819285288915,0.2157337527623564,0.29442265671314743,0.3031194835948482,0.2633014053037499,0.5500304948820498,0.14953256506690907,0.32280290476695417,0.1463752677049543,0.3605269170007238,0.6686715071439834,0.7368167810824078,0.8430005780581461,0.5043839538916333,0.6268821762592527,0.5932219986298608,0.1034599213876648,0.20970284014730356,0.30662673275556285,0.5386319324044492,0.7593039379121272,0.2162699926773448
Koyukuk River at Bettles,0.2975563442083072,0.2195490952156309,0.18178496244666958,0.09656976220528113,0.09506699080988565,0.40899747889978555,0.8466274978166465,0.5224508795750795,0.5870317342025859,0.042191062257063386,0.6002249960850906,0.20100598964939068,0.032019945875931155,0.6408934905162159,0.6620058093076837,0.4288629996188755,0.14417677952298436,0.17262077999721454,0.20430921651535067,0.1485931179798202,0.44130561343234104,0.13614505042081537,0.2361905450529468,0.09085012211839737,0.3427288798481678,0.6146984303244748,0.6226505133771283,0.6821541617294838,0.4510267224664362,0.4948447547719269,0.519162545976589,0.026411843440493098,0.14241425578419165,0.18702216022554924,0.3711927970470796,0.7001856367690027,0.14528345728091752
