# Correlation R2 between TDD anomalies 15 days before breakup, and breakup day 
# For all selected sites and stations
# 
location,ALYESKA,ANCHORAGE_MERRILL_FIELD,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,AUKE_BAY,BARROW_AIRPORT,BETHEL_AIRPORT,BETTLES_AIRPORT,BIG_DELTA_AIRPORT,CHICKEN,COLD_BAY_AIRPORT,COLLEGE_OBSERVATORY,CORDOVA_AIRPORT,DUTCH_HARBOR,EAGLE,FAIRBANKS_INTL_AP,GULKANA_AIRPORT,HAINES_AIRPORT,HOMER_AIRPORT,ILIAMNA_AIRPORT,JUNEAU_AIRPORT,KENAI_AIRPORT,KETCHIKAN_AIRPORT,KING_SALMON_AIRPORT,KODIAK_AIRPORT,KOTZEBUE_AIRPORT,MCGRATH_AP,MCKINLEY_PARK,NENANA_MUN_AP,NOME_AIRPORT,NORTHWAY_AIRPORT,NORTH_POLE,SAINT_PAUL_ISLAND_AIRPORT,SITKA_AIRPORT,SKAGWAY_AIRPORT,TALKEETNA_AIRPORT,TANANA_AIRPORT,YAKUTAT_AIRPORT
Buckland River at Buckland,0.3970083331586276,0.10393735371976758,0.2381787165834816,0.07890141810414804,0.007778568794558717,0.4788435224575238,0.3398949356678294,0.4232956209221445,0.48161113648572684,0.2834337206278682,0.39756200135583497,0.21654107569441555,0.2693749238219069,0.3853117219050969,0.35295594058632973,0.44164003624229736,0.1540469296943916,0.2967970833383335,0.3639867406319309,0.130350333677317,0.34829026502483607,0.1570355525249602,0.38892537887053574,0.19198529346745177,0.4346271645414267,0.4216460018285118,0.46404261918089107,0.5218676659362353,0.4851116414390536,0.5117275747077829,0.35809779841984873,0.08448378626710616,0.1544313200082228,0.18177231085410345,0.3947775335375087,0.2713187284172473,0.20208442070857421
Chena River at Fairbanks,0.19136431485511712,0.45467428846954994,0.22878499674625527,0.21650940996745147,0.0,0.0920590442864251,0.09782418342285089,0.6134706162155159,0.4623543254831109,0.06306499702828364,0.26320951664761083,0.23550143202459126,0.046968267912595146,0.2392577237774069,0.29151108099269557,0.25650770786879357,0.2847300980951075,0.1347292020103404,0.08088450145653829,0.20462720101430676,0.19615633412022676,0.0877537758722164,0.14563204093619575,0.14093415199670936,0.00983949026894315,0.3004294510427818,0.17897581310203,0.6395957027996885,0.007637545513358628,0.23336586285310756,0.3102780887403134,0.00038814918754436596,0.202107227013806,0.27242425259897196,0.241607798671418,0.24605648109076858,0.17283116665830958
Chisana River at Northway,0.69464614290006,0.5949430029271582,0.5547322779130941,0.30745731802211296,0.0,0.08314213885404945,0.06303165309208549,0.4110672157501983,0.6759250168088438,0.039885244285155365,0.4471083288904561,0.354787097254664,0.052359159824489056,0.311294442153197,0.4123950983988766,0.5520552582980617,0.4297954887499029,0.44642820641196335,0.28051740290528304,0.3887541020979287,0.2769340481926619,0.42096675985717386,0.3468513606067736,0.20293946268638274,0.024232244621705305,0.2463263069591258,0.3668480060388201,0.41429133772945653,0.014394961133379298,0.537066298611859,0.48866670093082365,0.0064144002246796766,0.35549847632975756,0.664257102283155,0.5670442375168864,0.22361192889454776,0.2862085084100543
Gakona River at Gakona,0.12783590957295643,0.08905456652556476,0.159990485563805,0.11072322899580422,0.0,0.03310472627147901,0.006335929696967937,0.1375993640872917,0.07987208109715611,0.01139281338021227,0.14558356840154182,0.1154925123673523,0.057882315628669634,0.09669993857158392,0.14930366298348097,0.18802916352673488,0.10309680404497153,0.10178411087895657,0.06855469096413144,0.09947641247824617,0.1501921477384292,0.033176228769206936,0.09731769690347578,0.05315911230180106,0.03684538332085747,0.11904379208073498,0.049740873033197734,0.4796767956784688,0.010764991732179562,0.1714393819959201,0.15498132678885695,0.00015172459962545622,0.11902332997712989,0.09870540643989427,0.17157783836428722,0.07220103734424156,0.08927625325669639
Gulkana River nr Gakona,0.09049709164483676,0.09042628931496252,0.11310871205719507,0.06072762345180338,0.0,0.012851812880573361,0.023769949033677233,0.17211998531105285,0.055180580103018774,0.008482689862463363,0.16901834966970525,0.0725722136336092,0.057494849549876235,0.08755968600584893,0.1594062036735356,0.18866994756244584,0.09702745027197052,0.04530701501769437,0.019019471026765194,0.07988313015466346,0.060867915864600906,0.01857736888752696,0.04545239512749543,0.024673892978445803,0.0073060432760794535,0.1193340730903248,0.06047611793810111,0.3418814413579175,0.00593233128158698,0.23437073705638545,0.198008022993072,1.7283737364645075e-05,0.03258677030915127,0.16412836467425132,0.13724304187757785,0.05218183450408818,0.044018021631709564
Kobuk River at Ambler,0.3458455387976132,0.17870339306263217,0.3295490586338595,0.06685283917243255,0.031741652145110835,0.47033480944048084,0.49430095297627386,0.46451587517696624,0.611526612716184,0.2272428750555351,0.4563501374827767,0.21253116736107527,0.29806812770372115,0.4926440929093557,0.4813883570544777,0.5252133379887293,0.19019291463544774,0.2980008575122923,0.28342074709742454,0.1922565560787713,0.3456158222202402,0.1631514281031717,0.3458285933477079,0.17922124503415052,0.4193943729912935,0.4298251228121397,0.5293049679476984,0.6015027199694153,0.5111199841770916,0.5620610773558995,0.4050898054035132,0.12627561518468147,0.1809172124212013,0.31439531004954185,0.41899103971207385,0.3964470622349252,0.1818611101163768
Kobuk River at Kobuk,0.3801809933231296,0.20951680273137235,0.2769598933699498,0.046139665638174954,0.00304895560107982,0.5082397738994773,0.5356592533038302,0.5130865467589572,0.6455669330703488,0.12681994220993853,0.4996698986615614,0.2008972163695057,0.11923467988805755,0.5266241892598286,0.511322990747872,0.45836976849729516,0.12644852013307184,0.277265285278778,0.27966566149391037,0.12875613896487742,0.46200920127763345,0.11872053031753756,0.32513361007887287,0.12811399675621551,0.2952498218465363,0.5983819661958119,0.5604818510781815,0.6996824413481721,0.3781408569840017,0.537728975604149,0.45866325515353407,0.05020786890949846,0.13397631479737226,0.18028289246660412,0.50102174896288,0.5123809466644412,0.16825451923153337
Kobuk River at Shungnak,0.4133913348229393,0.2634635681317571,0.33021326430782466,0.06812202046473435,0.052384647255619525,0.5584735157260478,0.5758664662661969,0.7297076682545007,0.753284913453118,0.21562224765492913,0.6467081582466172,0.26485543309249804,0.32993788284397046,0.6322382476897825,0.6163527745592999,0.6807545736104574,0.21980252331435357,0.2938448527775295,0.32868366843333024,0.1724424797991202,0.517935188469591,0.18100892408091904,0.37198881779555626,0.2053710560668536,0.5300849738326429,0.644032077918395,0.7111017847254537,0.7460134387793232,0.5061651093888128,0.7749019476454765,0.6073708761873373,0.16954698966679319,0.17380903909865006,0.31518930955310553,0.58925316615579,0.580296781492912,0.1918788441085581
Koyukuk River at Allakaket,0.36566693670769257,0.19747130757055656,0.3299861030245528,0.09137178716761064,0.0,0.490884964854372,0.5108703748890995,0.4936271062908281,0.37334193969010326,0.09901005354458632,0.5102369743004069,0.2785912087116716,0.1217117086296077,0.5936424578897962,0.5841407032003838,0.4727452392178301,0.13890148203291716,0.28002994692877914,0.29076819412823735,0.16621077162323636,0.4947530825682978,0.10327421815109009,0.28670037720861824,0.13271652316597632,0.27967876172633915,0.5585800526455132,0.51894748062299,0.7244278108007584,0.32274978614741523,0.4873657580124763,0.44681204180777695,0.044933239913681804,0.1556020225412509,0.23314724681428262,0.4648696915203721,0.5266966808639102,0.16707803363027704
Koyukuk River at Bettles,0.2209942091235277,0.1288355608758921,0.1349359140461915,0.028292848973370994,0.0,0.3114871648554917,0.4243136589413523,0.2968762297038126,0.2255321608515056,0.023478239965650502,0.3913387015942362,0.1401662579898935,0.043212996126209505,0.3834310427597553,0.46712753964726744,0.2636156596374672,0.07843776724126357,0.14739493775099954,0.16445729640178489,0.06680705004410953,0.3694045250696688,0.0767987685596069,0.1939409609650775,0.07776578631863135,0.14921695382213143,0.4668156974230306,0.30974364304726454,0.4747879525316871,0.2305978826053378,0.31577992597840304,0.33645390117782176,0.00031205329394105603,0.0843534888406997,0.11489351649897532,0.26911949218062853,0.4156843667684927,0.09106452632178301
Koyukuk River at Hughes,0.3396044933373562,0.18281046044995897,0.31721230097600706,0.0981745423931078,0.0,0.47414125164632076,0.5462232207482516,0.4470107350142489,0.26160857661399667,0.06076504032652257,0.5416230479280357,0.26125601336812426,0.11905031432568956,0.5063856311981609,0.6129220329549585,0.40269824888292116,0.15815209363655855,0.23969561043598334,0.237294436872166,0.18605878210392257,0.42050033553860894,0.09447782370005801,0.30417843932278926,0.07805657307768715,0.12263345813199619,0.623226799128561,0.46144185796101644,0.6529778716104064,0.2948478944303812,0.45364008912545717,0.49351584886284183,0.008767676050759426,0.16730365291261204,0.19650926194431637,0.4108596051954297,0.5361229968268401,0.15519016776653885
Kuskokwim River at Akiak,0.6631402928067918,0.5149400536866229,0.615846830969242,0.19077175986127365,0.0,0.7659357381326357,0.22970127086296638,0.6151769926121123,0.2738399138651165,0.33021951646913766,0.5922907363197143,0.49841039197038856,0.23045839367669377,0.48299068259224665,0.5591500663930649,0.5955346123257833,0.2728859605976835,0.49076648789516575,0.6353534823786358,0.3024985728820855,0.5601906996847891,0.2442433771645828,0.6760929217345188,0.3402444920593733,0.11655875707979696,0.6988971439303102,0.6055353138193871,0.5971437989909145,0.28230754246887857,0.5996513701088988,0.6207789828339888,0.175544070367967,0.33363285633010586,0.4209824908589366,0.7121006701602066,0.45002529317534345,0.3657178020916478
Kuskokwim River at Aniak,0.5804597591066415,0.39928657337643303,0.48110234113285044,0.14212003011165206,0.0,0.6227209407098514,0.20980139899536884,0.5517436368657358,0.23409949083347642,0.25488291567378313,0.5787328183317374,0.39015499017864386,0.21906914933590754,0.3947153328290203,0.5191265475292928,0.4942713481159009,0.20169602208647522,0.43505722187675966,0.5390015196283674,0.24522590552212173,0.4974275049977145,0.16765690596374375,0.5860166093468254,0.28673981444943775,0.014277059332843395,0.6465925507153923,0.5107388133730033,0.4912755621545436,0.20615202336222974,0.4702867325084834,0.5391263889028372,0.06436030575197624,0.2522320597634568,0.3222285891161724,0.6587604385601844,0.4305353843111321,0.31013090929845777
Kuskokwim River at Bethel,0.6415390392264965,0.4779205356366955,0.4984452453574424,0.1587857547339978,0.0,0.6794390417423901,0.13918530437140866,0.474887497401209,0.17436166210839255,0.31724334033322155,0.4289334516368537,0.4034734156111247,0.30885477094652236,0.33592409592414,0.3807354647848006,0.49423663595149064,0.23826492451883338,0.5061099772067399,0.5674315919450522,0.2464625694434558,0.45240854905175715,0.2015303092402767,0.5842370259023332,0.3012054245682903,0.10792830353155007,0.4813675974050161,0.4887392613322013,0.4608162689149659,0.24766870270572489,0.4407499035684301,0.4446306334781346,0.1553069361299599,0.3016583836838562,0.366374703570385,0.6131294652767867,0.25062487160534697,0.34221012665116257
Kuskokwim River at Crooked Creek,0.531304505282304,0.46310375754941485,0.4331896889926829,0.07226017021597621,0.0,0.5191195247872957,0.09031288505961901,0.5510871294303282,0.15542686983671233,0.28763699839567985,0.5692055689297747,0.3521202761513284,0.27903901506012174,0.3654751729185652,0.5249197700615336,0.5085532474970356,0.1896496352346093,0.43258108502901516,0.5346471361005046,0.15555356946603138,0.5507422303322564,0.18023842558432654,0.5711045419754603,0.31629434292113584,0.017711444914358568,0.669604940558715,0.46570449959650123,0.5059725492371335,0.09886576762842603,0.5687056367593383,0.5120211780576182,0.22392049889499882,0.225082075385401,0.25808453775014994,0.6510342679785179,0.31101089455941755,0.28206669611862834
Kuskokwim River at Kalskag,0.611530304539328,0.5288369264560194,0.5893080980236891,0.25055363918446466,0.0,0.6002232223950663,0.09764148919670286,0.6258554330972038,0.3044446142090108,0.22601119065174097,0.5511513181009525,0.5075217618197502,0.06617844248896305,0.39248427867347035,0.4842992929676137,0.562677490158265,0.3977452712506604,0.46991298984090046,0.656513089285026,0.4102114267715478,0.6188135110095746,0.3874172663033465,0.6961023281820656,0.46138344324674024,0.06078930820359975,0.6622629367340814,0.5351815597485706,0.5087388564126742,0.12939876662692934,0.5441277857397758,0.5362457814496006,0.03337991386401217,0.42394420859146664,0.520084504622954,0.6941790998560051,0.34425458819425997,0.4316432545936995
Kuskokwim River at McGrath,0.5465863204073014,0.44947941281353593,0.42016339122672663,0.1978428550860363,0.0,0.5561060231381291,0.42103592591623723,0.7679815644945003,0.39983176519305896,0.16903964347457429,0.7524036408854882,0.378880406540579,0.13094034651185782,0.5969975897587653,0.7487494557363188,0.5922068922999071,0.23206605189545942,0.3804601504247248,0.503548873556684,0.24237442756717045,0.6584752833194077,0.15680331915838916,0.50162825977202,0.2413278696680318,0.12151730289689264,0.8095076998711934,0.6828566283364027,0.7750579832596922,0.20889673397291547,0.6221406509035096,0.7345168398724585,0.0422703490124771,0.24096963307897568,0.3193469078764092,0.6879124760298053,0.611887199780981,0.34034451258509346
Kuskokwim River at Nikolai,0.4095454999916529,0.39650447329963456,0.24658809904575588,0.1654390462409951,0.0,0.1115188199430197,0.03430170597408792,0.4074612241538113,0.20555042501500695,0.02841578479756209,0.3121545965584109,0.3033959605741664,0.06760328198670355,0.17520702765956273,0.23540179873812717,0.2564752698385994,0.1777366675733972,0.325782323515621,0.2214613349849959,0.1941090525960282,0.4015629139140293,0.14987662810645822,0.1751181607468331,0.2657103723137239,0.07302701209126804,0.24722971503915073,0.17776870607016654,0.32070604727848046,1.5696518261365542e-05,0.18325035138194168,0.30812170516647375,8.576245229981504e-05,0.2315737413341472,0.2410388134081802,0.39171079387776414,0.18592144980330155,0.2977604096491819
Kuskokwim River at Red Devil,0.47972651313864273,0.36617711186433,0.4016460826528522,0.08728848789059458,0.0,0.4720199008953317,0.08362303552888456,0.4942100584088216,0.19257537309831152,0.23910662716856612,0.5404745380409067,0.3622975436747498,0.17261465211267393,0.39837118279012973,0.5099655678667996,0.5318097390596157,0.18042501673267836,0.40403561642453484,0.5180288986904796,0.18264672711129104,0.5581328004356451,0.20412414790829037,0.5493534915787615,0.3382187200772147,0.00917340414256161,0.6418660430451738,0.46501043164444933,0.46254822240101495,0.052508657279025456,0.539277085715584,0.4770526711755284,0.14892078369653963,0.24933396289054693,0.266166593252197,0.6475464245216601,0.29293617626967927,0.3111899881419929
Kuskokwim River at Sleetmute,0.4737933369527397,0.5245726473890063,0.3502502300361967,0.05852416611190031,0.0,0.3744726987973669,0.08739852145445513,0.5225556256334398,0.20629342708809964,0.2011678716031201,0.5643230420307789,0.2687691632751402,0.08168669801072918,0.34081431671008033,0.4716373179261507,0.45966553373886143,0.166610646371677,0.3381094435766691,0.4864566194791812,0.16952621304880167,0.5658137831649637,0.16427035045497576,0.5206448792956447,0.3658688429430843,0.0034589180541010466,0.6165084390191565,0.4393091273374318,0.4717080698446629,0.016199261861593657,0.5154910225960021,0.5210662642558175,0.06630959889834763,0.1705093796496666,0.3257794843734872,0.6107231050887542,0.292862030424492,0.2602804744937673
Kuskokwim River at Stony River,0.4694754346503754,0.42828333143403063,0.3499837618635825,0.05401598933071204,0.0,0.5486591656704316,0.21346085677207496,0.6160943284312845,0.4195057416901102,0.21665833431960407,0.6221271549980167,0.27985639578720656,0.22069077302665266,0.5860296862376156,0.5988448746794354,0.5995518845627763,0.14113527187274738,0.33163748558588385,0.47777255766079674,0.11410448377843971,0.6349089855692162,0.08244321775577117,0.4979049487359993,0.2904514427208778,0.06492813927946624,0.729078441165441,0.582877197656457,0.5941333190530083,0.08328537054482425,0.6304505977966496,0.5971038490263548,0.10009618237279495,0.13156993167256942,0.21310083626262366,0.6410167652286884,0.41414172201536864,0.25847268079413677
Kuskokwim River at Tuluksak,0.6081960090165284,0.5414001019646183,0.4406014737973984,0.08765197559405279,0.0,0.7116090249477764,0.12409022485062095,0.5548437288497736,0.26685789483764316,0.2770991994143491,0.4716690557838298,0.35561890114955186,0.12603698563944138,0.36992598072609745,0.4764399822646565,0.5097967810373936,0.24992599995192,0.4307502931806842,0.6003585611260251,0.23587554055352664,0.6281034778679049,0.30483257049799556,0.6247341105993354,0.502585862788909,0.14395135288270186,0.6471368511475998,0.4745181983214588,0.4937074030567291,0.1620088892451033,0.5763512372631772,0.4948259958427464,0.1505106024467277,0.3297098348144254,0.3114464696407222,0.6388888709185283,0.36828247405386516,0.358391997286031
Susitna River at Sunshine,0.5708295133625417,0.5672554936983847,0.43115463024384404,0.32499053426281477,0.0,0.10346930289078712,0.0008946776913244371,0.6056844168981703,0.0077937566434396685,0.01825933580613469,0.36484302701517324,0.40337418200202124,0.005932874499449127,0.13111957719393907,0.31822484885794083,0.43470571358516386,0.3881264232144708,0.31932129358037303,0.33951928121774955,0.3722574440297383,0.3695300973286416,0.3696867626695407,0.26999821686299175,0.149669285226876,0.0052257588344459364,0.22601225808978823,0.3862928913554057,0.23909207209455996,0.0017345957708499924,0.18545216474087098,0.4709995206713677,0.008967937760119388,0.3392249275529837,0.4962729226978282,0.6527688716056617,0.08417264370654032,0.41161348985656926
Tanana River at Nenana,0.512474141605596,0.38147165499842034,0.3888376205499765,0.19256272647211203,0.0,0.4113225397736542,0.27593310725798137,0.6878958799555784,0.37846040954813603,0.0981928337485284,0.7154956910105397,0.33878113186976955,0.09465291081146686,0.5568592359021449,0.6575001443310428,0.4830514099254349,0.21352792157886552,0.34255967248918007,0.35824391312207626,0.23914333796024878,0.5025331720571763,0.13643182762667502,0.3679570678229592,0.19212597735535383,0.05650870416615604,0.6351943479093337,0.5407664429407335,0.7193237980488437,0.05522293163977637,0.4845999977525179,0.7104491379340806,0.017966150695840382,0.21276845626869034,0.32453272045618387,0.6295479633972215,0.49650005681904624,0.29205413907984573
Tanana River nr Manley Hot Springs,0.353504412010479,0.4055109565073691,0.3780881496442928,0.28116961560866655,0.0,0.41723561540276416,0.2924913563269818,0.6579263569692245,0.23834312412444503,0.1014961962175276,0.6130493217083788,0.29264603579644854,0.17570240070092222,0.4608106370312436,0.594657936606266,0.4333771579727312,0.20754936570884316,0.2631890607017765,0.28878730090193566,0.2498735885936922,0.42871296461290104,0.12406587724654594,0.3829156873696331,0.14928211979895425,0.043868946437002815,0.6628885918467154,0.4069269787648496,0.7200512340312362,0.22923730204455686,0.35627825608411645,0.5666516001875066,0.019155072471691365,0.20080021984819316,0.3567301101159322,0.5316795256782877,0.5341716387085477,0.20566997275631646
Yentna River at Lake Creek,0.6391054020313993,0.4983373852149963,0.5516863992730143,0.34046723487760866,0.0,0.14358359381962726,0.00011445676615785202,0.5473243262239821,0.12757489666329827,0.030997969625427394,0.33459278541240334,0.5597999168093485,0.00441166043797805,0.2507680745478851,0.3099215113076476,0.5550812860249985,0.41993293691675077,0.4075541005872154,0.4562213519594993,0.48977120157614,0.502141203283188,0.3824120002066408,0.3231156933911203,0.3459904131673061,0.0006759214568193465,0.21442206241841602,0.41498853757220405,0.3481560687283007,0.006556311304102539,0.38762396515909864,0.3509081835940906,0.017402913880133875,0.4110977139748903,0.6953032117172884,0.6496058567916277,0.08011941675195884,0.5228916243812821
