# All climatologies for cumulative degree days > 20, 1991-2020
# Cumulative degree days starting March 1 from ACIS
#
d_since_march1,GULKANA_AIRPORT,TANANA_AIRPORT,KETCHIKAN_AIRPORT,COLLEGE_OBSERVATORY,AUKE_BAY,BETHEL_AIRPORT,ANCHORAGE_MERRILL_FIELD,SKAGWAY_AIRPORT,EAGLE,BIG_DELTA_AIRPORT,BARROW_AIRPORT,KOTZEBUE_AIRPORT,JUNEAU_AIRPORT,KODIAK_AIRPORT,ILIAMNA_AIRPORT,HAINES_AIRPORT,KING_SALMON_AIRPORT,CORDOVA_AIRPORT,SITKA_AIRPORT,MCGRATH_AP,COLD_BAY_AIRPORT,TALKEETNA_AIRPORT,SAINT_PAUL_ISLAND_AIRPORT,KENAI_AIRPORT,NORTH_POLE,NOME_AIRPORT,BETTLES_AIRPORT,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,YAKUTAT_AIRPORT,ALYESKA,NENANA_MUN_AP,HOMER_AIRPORT,NORTHWAY_AIRPORT,CHICKEN,FAIRBANKS_INTL_AP,DUTCH_HARBOR,MCKINLEY_PARK
0,0.00,0.00,16.30,0.00,12.10,0.00,0.46,10.31,0.00,0.00,0.00,0.00,11.32,10.75,0.11,10.09,0.00,9.33,16.92,0.00,9.18,0.00,5.33,0.00,0.00,0.00,0.00,2.05,10.87,6.11,0.00,5.97,0.00,0.00,0.00,13.86,0.00
1,0.00,0.00,32.65,0.00,24.24,0.00,2.44,20.66,0.00,0.00,0.00,0.00,22.39,22.00,1.18,20.08,1.73,17.15,33.64,0.00,19.78,0.00,11.88,0.00,0.00,0.00,0.00,4.03,20.47,11.34,0.00,12.81,0.00,0.00,0.00,28.21,0.00
2,0.00,0.00,49.33,0.00,35.65,0.00,5.18,31.14,0.00,0.00,0.00,0.00,32.66,33.18,2.64,29.13,2.46,25.03,49.21,0.00,30.16,0.00,19.22,0.00,0.00,0.00,0.00,5.61,28.95,16.36,0.00,19.50,0.00,0.00,0.00,43.46,0.00
3,0.00,0.00,63.84,0.00,45.70,0.00,7.01,40.49,0.00,0.00,0.00,0.00,41.58,44.63,3.78,37.24,3.53,32.26,63.96,0.00,40.96,0.00,26.86,0.00,0.00,0.00,0.00,7.43,36.90,21.41,0.00,25.71,0.00,0.00,0.00,58.73,0.00
4,0.00,0.00,78.42,0.00,55.60,0.00,9.79,49.07,0.00,0.00,0.00,0.00,50.41,57.41,5.74,43.72,7.40,40.96,79.09,0.00,52.41,0.00,33.19,0.40,0.00,0.00,0.00,10.08,45.42,26.46,0.00,33.42,0.00,0.00,0.00,74.14,0.00
5,0.00,0.00,93.50,0.00,65.46,0.00,11.44,58.65,0.00,0.00,0.00,0.00,59.91,70.38,8.26,51.55,12.03,49.84,94.62,0.00,64.51,0.13,40.14,2.63,0.00,0.00,0.00,12.83,54.04,32.50,0.00,41.26,0.00,0.00,0.00,89.64,0.00
6,0.00,0.00,108.45,0.00,75.55,0.00,13.57,68.50,0.00,0.00,0.00,0.00,69.63,82.48,12.10,59.72,17.23,58.44,110.34,0.00,76.01,1.88,46.30,5.33,0.00,0.00,0.00,16.28,63.16,38.11,0.00,50.29,0.00,0.00,0.00,105.53,0.00
7,0.00,0.00,123.27,0.00,86.33,0.00,16.87,78.19,0.00,0.00,0.00,0.00,80.31,94.53,15.49,68.33,21.33,66.89,125.82,0.00,86.81,4.46,51.39,8.15,0.00,0.00,0.00,20.50,73.03,44.73,0.00,59.41,0.00,0.00,0.00,119.93,0.00
8,0.00,0.00,138.34,0.00,98.45,0.00,19.91,89.02,0.00,0.00,0.00,0.00,91.78,106.00,16.49,78.85,23.10,76.01,141.70,0.00,97.03,5.94,56.20,10.28,0.00,0.00,0.00,24.78,82.88,50.91,0.00,66.96,0.00,0.00,0.00,134.12,0.00
9,0.00,0.00,154.51,0.00,110.71,0.00,23.00,99.90,0.00,0.00,0.00,0.00,103.53,117.88,17.74,89.18,24.95,84.68,158.05,0.00,105.68,7.57,60.54,11.90,0.00,0.00,0.00,28.63,93.23,55.68,0.00,74.68,0.00,0.00,0.00,147.57,0.00
10,0.00,0.00,172.21,0.00,122.80,0.00,25.35,110.88,0.00,0.00,0.00,0.00,115.06,130.00,19.10,99.11,25.90,93.33,174.74,0.00,113.45,9.32,64.33,13.88,0.00,0.00,0.00,32.85,103.70,61.34,0.00,82.52,0.00,0.00,0.00,160.07,0.00
11,0.00,0.00,190.24,0.00,134.25,0.00,28.61,121.63,0.00,0.00,0.00,0.00,126.63,141.48,19.46,108.63,26.82,102.13,191.89,0.00,121.57,11.25,67.74,15.20,0.00,0.00,0.00,37.32,114.15,66.78,0.00,89.80,0.00,0.00,0.00,173.01,0.00
12,0.00,0.00,209.16,0.00,146.34,0.00,31.54,132.69,0.00,0.00,0.00,0.00,139.10,152.66,21.87,118.26,27.84,110.80,209.45,0.00,130.64,12.70,72.33,16.98,0.00,0.00,0.00,41.00,125.20,72.85,0.00,97.09,0.00,0.00,0.00,186.33,0.00
13,0.00,0.00,227.31,0.00,158.94,0.00,35.58,143.57,0.00,0.00,0.00,0.00,150.97,163.31,23.53,127.61,27.84,120.58,226.06,0.00,139.62,14.37,75.52,18.85,0.00,0.00,0.00,44.98,135.70,78.49,0.00,104.61,0.00,0.00,0.00,199.53,0.00
14,0.00,0.00,244.29,0.00,171.60,0.00,38.69,155.88,0.00,0.00,0.00,0.00,163.27,173.66,24.32,137.46,28.29,130.90,242.80,0.00,148.02,16.17,79.18,20.68,0.00,0.00,0.00,48.73,146.98,83.67,0.00,112.40,0.00,0.00,0.00,212.67,0.00
15,0.00,0.00,260.91,0.00,184.86,0.00,45.17,168.76,0.00,0.00,0.00,0.00,175.84,185.19,25.99,148.59,30.29,142.45,259.75,0.00,157.22,18.77,82.35,23.80,0.00,0.00,0.00,54.40,158.80,89.41,0.00,120.71,0.00,0.00,0.00,225.60,0.00
16,0.00,0.00,278.26,0.00,198.65,0.00,50.41,182.78,0.00,0.00,0.00,0.00,188.96,197.79,28.04,160.63,32.36,152.77,277.27,0.00,166.24,21.89,85.47,26.58,0.00,0.00,0.00,59.18,170.25,96.77,0.00,129.37,0.00,0.00,0.00,238.78,0.00
17,0.00,0.00,295.78,0.00,212.62,0.00,55.89,196.01,0.00,0.00,0.00,0.00,201.71,210.16,29.47,171.89,32.59,164.09,294.32,0.00,175.49,25.27,90.09,30.01,0.00,0.00,0.00,64.56,181.33,104.34,0.00,138.58,0.00,0.00,0.00,251.85,0.00
