# AUKE_BAY
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# Excluded years (more than 5 days of missing data): 2016
#
d_since_march1,Tavg_F,dd
0,32.10,12.10
1,32.14,12.14
2,31.41,11.41
3,30.05,10.05
4,29.90,9.90
5,29.86,9.86
6,30.09,10.09
7,30.78,10.78
8,32.12,12.12
9,32.26,12.26
10,32.09,12.09
11,31.45,11.45
12,32.09,12.09
13,32.60,12.60
14,32.66,12.66
15,33.26,13.26
16,33.79,13.79
17,33.97,13.97
18,34.18,14.18
19,34.09,14.09
20,35.32,15.32
21,35.19,15.19
22,35.41,15.41
23,35.78,15.78
24,36.61,16.61
25,37.38,17.38
26,37.19,17.19
27,37.25,17.25
28,37.08,17.08
29,37.57,17.57
30,37.67,17.67
31,36.70,16.70
32,36.97,16.97
33,37.14,17.14
34,37.64,17.64
35,38.62,18.62
36,38.62,18.62
37,39.53,19.53
38,40.45,20.45
39,39.95,19.95
40,40.40,20.40
41,40.17,20.17
42,41.04,21.04
43,41.62,21.62
44,41.52,21.52
45,41.50,21.50
46,42.41,22.41
47,42.43,22.43
48,42.24,22.24
49,42.72,22.72
50,43.34,23.34
51,43.64,23.64
52,44.57,24.57
53,44.22,24.22
54,44.86,24.86
55,45.53,25.53
56,45.42,25.42
57,45.34,25.34
58,45.60,25.60
59,44.93,24.93
60,45.24,25.24
61,45.78,25.78
62,46.47,26.47
63,46.60,26.60
64,45.79,25.79
65,45.91,25.91
66,46.67,26.67
67,46.95,26.95
68,47.07,27.07
69,48.14,28.14
70,49.07,29.07
71,49.50,29.50
72,49.16,29.16
73,49.86,29.86
74,50.40,30.40
75,49.59,29.59
76,50.02,30.02
77,50.77,30.77
78,51.07,31.07
79,51.50,31.50
80,51.95,31.95
81,52.05,32.05
82,52.40,32.40
83,52.28,32.28
84,53.17,33.17
85,52.34,32.34
86,53.69,33.69
87,53.14,33.14
88,53.78,33.78
89,54.08,34.08
90,53.60,33.60
91,54.16,34.16
92,53.52,33.52
93,53.79,33.79
94,53.67,33.67
95,54.53,34.53
96,54.38,34.38
97,54.62,34.62
98,55.16,35.16
99,55.21,35.21
100,54.93,34.93
101,55.90,35.90
102,54.93,34.93
103,55.05,35.05
104,55.34,35.34
105,55.66,35.66
106,56.03,36.03
107,56.90,36.90
108,56.67,36.67
109,55.98,35.98
110,56.03,36.03
111,57.28,37.28
112,56.67,36.67
113,57.88,37.88
114,57.43,37.43
115,58.16,38.16
116,58.00,38.00
117,57.21,37.21
118,57.26,37.26
119,57.95,37.95
120,57.70,37.70
121,56.60,36.60
