# BIG_DELTA_AIRPORT
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# Excluded years (more than 5 days of missing data): 1992, 1993, 1997, 1991
#
d_since_march1,Tavg_F,dd
0,7.92,0.00
1,9.06,0.00
2,8.40,0.00
3,9.58,0.00
4,10.08,0.00
5,9.98,0.00
6,10.37,0.00
7,10.19,0.00
8,11.12,0.00
9,10.21,0.00
10,11.00,0.00
11,11.00,0.00
12,10.19,0.00
13,10.79,0.00
14,11.10,0.00
15,13.00,0.00
16,12.06,0.00
17,13.12,0.00
18,12.56,0.00
19,14.92,0.00
20,15.31,0.00
21,15.98,0.00
22,19.31,0.00
23,20.48,0.48
24,21.15,1.15
25,19.81,0.00
26,17.56,0.00
27,20.44,0.44
28,21.37,1.37
29,21.90,1.90
30,22.56,2.56
31,24.90,4.90
32,24.40,4.40
33,25.37,5.37
34,26.44,6.44
35,28.63,8.63
36,27.62,7.62
37,27.06,7.06
38,27.17,7.17
39,28.85,8.85
40,29.92,9.92
41,30.63,10.63
42,30.85,10.85
43,31.08,11.08
44,32.42,12.42
45,33.10,13.10
46,32.33,12.33
47,33.54,13.54
48,36.77,16.77
49,37.04,17.04
50,38.96,18.96
51,38.50,18.50
52,39.77,19.77
53,40.13,20.13
54,39.71,19.71
55,39.15,19.15
56,40.19,20.19
57,41.31,21.31
58,40.35,20.35
59,41.62,21.62
60,41.58,21.58
61,41.37,21.37
62,40.67,20.67
63,41.69,21.69
64,41.60,21.60
65,41.71,21.71
66,43.29,23.29
67,44.38,24.38
68,45.52,25.52
69,45.92,25.92
70,47.15,27.15
71,47.02,27.02
72,47.56,27.56
73,47.17,27.17
74,47.67,27.67
75,48.10,28.10
76,48.44,28.44
77,47.69,27.69
78,48.65,28.65
79,50.50,30.50
80,51.27,31.27
81,51.79,31.79
82,52.37,32.37
83,52.38,32.38
84,54.06,34.06
85,53.71,33.71
86,54.58,34.58
87,53.38,33.38
88,53.25,33.25
89,54.75,34.75
90,55.37,35.37
91,54.63,34.63
92,53.62,33.62
93,53.69,33.69
94,54.15,34.15
95,54.42,34.42
96,55.54,35.54
97,56.15,36.15
98,57.10,37.10
99,57.94,37.94
100,58.27,38.27
101,58.35,38.35
102,57.17,37.17
103,55.92,35.92
104,56.56,36.56
105,58.13,38.13
106,59.38,39.38
107,59.52,39.52
108,60.27,40.27
109,59.98,39.98
110,59.92,39.92
111,60.42,40.42
112,60.06,40.06
113,59.56,39.56
114,59.10,39.10
115,60.75,40.75
116,60.81,40.81
117,59.08,39.08
118,59.21,39.21
119,60.12,40.12
120,61.06,41.06
121,60.83,40.83
