# CHICKEN
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# Excluded years (more than 5 days of missing data): 1991, 1992, 1993, 1994, 1995, 1996, 1997, 2002, 2003
#
d_since_march1,Tavg_F,dd
0,-7.17,0.00
1,-7.14,0.00
2,-7.52,0.00
3,-7.62,0.00
4,-6.07,0.00
5,-5.50,0.00
6,-3.36,0.00
7,-0.79,0.00
8,0.62,0.00
9,0.43,0.00
10,-0.71,0.00
11,0.62,0.00
12,2.79,0.00
13,0.79,0.00
14,0.88,0.00
15,1.79,0.00
16,4.62,0.00
17,2.12,0.00
18,3.26,0.00
19,4.07,0.00
20,5.07,0.00
21,7.07,0.00
22,9.07,0.00
23,10.67,0.00
24,12.19,0.00
25,12.93,0.00
26,11.90,0.00
27,12.95,0.00
28,14.50,0.00
29,16.10,0.00
30,16.95,0.00
31,17.10,0.00
32,18.52,0.00
33,17.71,0.00
34,17.12,0.00
35,19.45,0.00
36,21.95,1.95
37,22.21,2.21
38,21.74,1.74
39,22.64,2.64
40,22.14,2.14
41,23.33,3.33
42,25.64,5.64
43,25.74,5.74
44,25.19,5.19
45,26.71,6.71
46,26.36,6.36
47,26.74,6.74
48,28.67,8.67
49,29.45,9.45
50,31.60,11.60
51,31.71,11.71
52,33.48,13.48
53,34.17,14.17
54,34.52,14.52
55,34.10,14.10
56,33.50,13.50
57,34.33,14.33
58,35.98,15.98
59,37.04,17.04
60,36.90,16.90
61,37.19,17.19
62,37.95,17.95
63,37.36,17.36
64,38.13,18.13
65,37.69,17.69
66,38.95,18.95
67,39.57,19.57
68,40.29,20.29
69,40.79,20.79
70,41.50,21.50
71,42.14,22.14
72,42.14,22.14
73,42.17,22.17
74,41.55,21.55
75,42.76,22.76
76,44.38,24.38
77,44.06,24.06
78,43.21,23.21
79,44.93,24.93
80,45.36,25.36
81,46.19,26.19
82,48.64,28.64
83,47.45,27.45
84,48.81,28.81
85,49.90,29.90
86,48.26,28.26
87,49.48,29.48
88,48.36,28.36
89,48.86,28.86
90,50.19,30.19
91,51.88,31.88
92,49.25,29.25
93,49.31,29.31
94,51.71,31.71
95,49.93,29.93
96,50.60,30.60
97,51.88,31.88
98,52.79,32.79
99,52.19,32.19
100,53.67,33.67
101,54.17,34.17
102,53.67,33.67
103,52.79,32.79
104,51.07,31.07
105,52.75,32.75
106,52.93,32.93
107,54.52,34.52
108,54.55,34.55
109,55.48,35.48
110,54.69,34.69
111,55.88,35.88
112,57.76,37.76
113,55.55,35.55
114,55.57,35.57
115,54.52,34.52
116,55.17,35.17
117,55.31,35.31
118,55.00,35.00
119,54.74,34.74
120,53.13,33.13
121,52.42,32.42
