# COLD_BAY_AIRPORT
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,29.18,9.18
1,30.60,10.60
2,30.38,10.38
3,30.80,10.80
4,31.45,11.45
5,32.10,12.10
6,31.50,11.50
7,30.80,10.80
8,30.22,10.22
9,28.65,8.65
10,27.77,7.77
11,28.12,8.12
12,29.07,9.07
13,28.98,8.98
14,28.40,8.40
15,29.20,9.20
16,29.02,9.02
17,29.25,9.25
18,29.12,9.12
19,28.46,8.46
20,28.13,8.13
21,29.43,9.43
22,30.80,10.80
23,30.20,10.20
24,30.37,10.37
25,31.12,11.12
26,31.50,11.50
27,30.75,10.75
28,29.68,9.68
29,30.13,10.13
30,31.35,11.35
31,32.12,12.12
32,33.53,13.53
33,33.48,13.48
34,33.80,13.80
35,33.07,13.07
36,33.18,13.18
37,32.53,12.53
38,32.68,12.68
39,33.22,13.22
40,33.43,13.43
41,33.28,13.28
42,34.02,14.02
43,34.75,14.75
44,34.95,14.95
45,34.70,14.70
46,35.63,15.63
47,35.62,15.62
48,35.02,15.02
49,34.80,14.80
50,35.20,15.20
51,35.53,15.53
52,37.07,17.07
53,36.80,16.80
54,36.87,16.87
55,37.25,17.25
56,36.75,16.75
57,37.27,17.27
58,36.72,16.72
59,37.90,17.90
60,37.67,17.67
61,37.92,17.92
62,38.30,18.30
63,37.63,17.63
64,37.45,17.45
65,37.78,17.78
66,38.30,18.30
67,38.80,18.80
68,39.12,19.12
69,38.77,18.77
70,39.22,19.22
71,39.55,19.55
72,40.70,20.70
73,40.92,20.92
74,40.83,20.83
75,41.08,21.08
76,41.42,21.42
77,41.55,21.55
78,41.33,21.33
79,41.17,21.17
80,41.67,21.67
81,41.92,21.92
82,42.63,22.63
83,42.67,22.67
84,41.88,21.88
85,42.93,22.93
86,43.48,23.48
87,43.97,23.97
88,44.38,24.38
89,44.57,24.57
90,44.92,24.92
91,44.40,24.40
92,44.88,24.88
93,45.18,25.18
94,45.58,25.58
95,45.17,25.17
96,45.68,25.68
97,46.07,26.07
98,45.40,25.40
99,45.90,25.90
100,45.43,25.43
101,45.28,25.28
102,45.52,25.52
103,46.65,26.65
104,46.47,26.47
105,46.83,26.83
106,47.45,27.45
107,47.65,27.65
108,47.62,27.62
109,47.40,27.40
110,47.58,27.58
111,47.07,27.07
112,48.15,28.15
113,47.93,27.93
114,48.35,28.35
115,48.53,28.53
116,48.60,28.60
117,48.80,28.80
118,48.70,28.70
119,49.08,29.08
120,49.17,29.17
121,49.77,29.77
