# COLLEGE_OBSERVATORY
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# Excluded years (more than 5 days of missing data): 2000, 2002, 2004, 2007
#
d_since_march1,Tavg_F,dd
0,7.33,0.00
1,4.54,0.00
2,5.13,0.00
3,6.68,0.00
4,8.46,0.00
5,9.94,0.00
6,11.24,0.00
7,11.79,0.00
8,12.42,0.00
9,9.13,0.00
10,8.25,0.00
11,9.17,0.00
12,8.17,0.00
13,9.90,0.00
14,11.08,0.00
15,10.04,0.00
16,9.38,0.00
17,10.98,0.00
18,12.90,0.00
19,13.63,0.00
20,13.94,0.00
21,14.19,0.00
22,16.40,0.00
23,18.00,0.00
24,20.69,0.69
25,21.35,1.35
26,18.17,0.00
27,18.58,0.00
28,21.16,1.16
29,22.52,2.52
30,22.31,2.31
31,24.58,4.58
32,25.08,5.08
33,23.65,3.65
34,25.37,5.37
35,27.92,7.92
36,28.40,8.40
37,28.09,8.09
38,26.35,6.35
39,26.96,6.96
40,29.19,9.19
41,30.13,10.13
42,30.88,10.88
43,30.65,10.65
44,30.64,10.64
45,32.54,12.54
46,31.81,11.81
47,32.27,12.27
48,34.56,14.56
49,36.04,16.04
50,37.08,17.08
51,37.87,17.87
52,39.24,19.24
53,41.62,21.62
54,41.00,21.00
55,39.87,19.87
56,40.04,20.04
57,41.85,21.85
58,40.98,20.98
59,41.31,21.31
60,42.46,22.46
61,41.60,21.60
62,41.63,21.63
63,42.19,22.19
64,41.00,21.00
65,41.65,21.65
66,41.92,21.92
67,44.30,24.30
68,44.38,24.38
69,46.31,26.31
70,47.81,27.81
71,47.88,27.88
72,48.75,28.75
73,48.75,28.75
74,47.21,27.21
75,48.25,28.25
76,48.69,28.69
77,47.96,27.96
78,48.50,28.50
79,49.08,29.08
80,50.81,30.81
81,51.08,31.08
82,51.77,31.77
83,52.27,32.27
84,53.25,33.25
85,53.81,33.81
86,54.46,34.46
87,55.17,35.17
88,54.13,34.13
89,55.81,35.81
90,56.48,36.48
91,55.86,35.86
92,55.50,35.50
93,54.42,34.42
94,55.13,35.13
95,55.45,35.45
96,56.77,36.77
97,56.87,36.87
98,56.60,36.60
99,58.12,38.12
100,58.71,38.71
101,58.08,38.08
102,58.10,38.10
103,57.77,37.77
104,56.88,36.88
105,59.37,39.37
106,59.69,39.69
107,60.33,40.33
108,59.25,39.25
109,60.13,40.13
110,60.90,40.90
111,61.36,41.36
112,61.66,41.66
113,60.94,40.94
114,60.81,40.81
115,60.81,40.81
116,60.33,40.33
117,61.28,41.28
118,60.83,40.83
119,60.87,40.87
120,61.19,41.19
121,63.12,43.12
