# DUTCH_HARBOR
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# Excluded years (more than 5 days of missing data): 2018, 2019, 2020, 2001, 2002, 2008, 2009, 2010
#
d_since_march1,Tavg_F,dd
0,33.86,13.86
1,34.35,14.35
2,35.25,15.25
3,35.27,15.27
4,35.41,15.41
5,35.50,15.50
6,35.89,15.89
7,34.40,14.40
8,34.19,14.19
9,33.45,13.45
10,32.50,12.50
11,32.94,12.94
12,33.32,13.32
13,33.20,13.20
14,33.14,13.14
15,32.93,12.93
16,33.18,13.18
17,33.07,13.07
18,34.18,14.18
19,34.31,14.31
20,32.57,12.57
21,33.05,13.05
22,35.00,15.00
23,35.51,15.51
24,34.27,14.27
25,33.86,13.86
26,34.25,14.25
27,35.23,15.23
28,34.46,14.46
29,34.39,14.39
30,33.95,13.95
31,34.11,14.11
32,34.67,14.67
33,35.23,15.23
34,36.25,16.25
35,35.64,15.64
36,35.05,15.05
37,35.61,15.61
38,35.41,15.41
39,35.20,15.20
40,36.25,16.25
41,36.66,16.66
42,36.18,16.18
43,35.59,15.59
44,36.95,16.95
45,36.98,16.98
46,37.11,17.11
47,37.48,17.48
48,36.84,16.84
49,36.55,16.55
50,37.05,17.05
51,37.34,17.34
52,37.27,17.27
53,38.02,18.02
54,37.73,17.73
55,37.52,17.52
56,38.43,18.43
57,39.02,19.02
58,38.64,18.64
59,39.68,19.68
60,40.25,20.25
61,39.89,19.89
62,39.61,19.61
63,39.55,19.55
64,39.50,19.50
65,39.55,19.55
66,39.68,19.68
67,40.24,20.24
68,40.93,20.93
69,40.70,20.70
70,40.64,20.64
71,41.39,21.39
72,41.48,21.48
73,41.67,21.67
74,42.09,22.09
75,41.67,21.67
76,42.30,22.30
77,42.39,22.39
78,42.00,22.00
79,42.59,22.59
80,42.45,22.45
81,42.36,22.36
82,43.02,23.02
83,43.27,23.27
84,43.50,23.50
85,43.77,23.77
86,44.18,24.18
87,44.41,24.41
88,44.20,24.20
89,44.20,24.20
90,44.43,24.43
91,44.88,24.88
92,44.23,24.23
93,45.18,25.18
94,44.95,24.95
95,45.55,25.55
96,45.30,25.30
97,45.99,25.99
98,46.61,26.61
99,46.23,26.23
100,46.50,26.50
101,46.05,26.05
102,45.89,25.89
103,46.49,26.49
104,47.09,27.09
105,47.66,27.66
106,47.30,27.30
107,47.39,27.39
108,47.34,27.34
109,47.80,27.80
110,47.34,27.34
111,47.57,27.57
112,47.70,27.70
113,49.14,29.14
114,48.25,28.25
115,48.70,28.70
116,49.27,29.27
117,48.55,28.55
118,48.32,28.32
119,49.05,29.05
120,50.25,30.25
121,49.58,29.58
