# EAGLE
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# Excluded years (more than 5 days of missing data): 2009, 2002
#
d_since_march1,Tavg_F,dd
0,0.82,0.00
1,-0.61,0.00
2,-0.89,0.00
3,0.43,0.00
4,1.15,0.00
5,-0.12,0.00
6,3.62,0.00
7,5.54,0.00
8,4.93,0.00
9,3.89,0.00
10,1.98,0.00
11,1.97,0.00
12,4.25,0.00
13,4.80,0.00
14,5.09,0.00
15,5.95,0.00
16,7.46,0.00
17,7.62,0.00
18,8.61,0.00
19,9.14,0.00
20,8.62,0.00
21,10.50,0.00
22,13.18,0.00
23,14.07,0.00
24,14.27,0.00
25,14.82,0.00
26,14.02,0.00
27,15.00,0.00
28,16.23,0.00
29,18.75,0.00
30,19.04,0.00
31,20.30,0.30
32,20.75,0.75
33,18.43,0.00
34,19.54,0.00
35,23.14,3.14
36,24.89,4.89
37,25.11,5.11
38,25.46,5.46
39,24.86,4.86
40,25.41,5.41
41,27.32,7.32
42,26.98,6.98
43,26.24,6.24
44,27.24,7.24
45,27.69,7.69
46,29.79,9.79
47,28.66,8.66
48,30.96,10.96
49,31.88,11.88
50,34.60,14.60
51,35.34,15.34
52,36.84,16.84
53,38.29,18.29
54,38.23,18.23
55,36.96,16.96
56,37.79,17.79
57,38.52,18.52
58,38.20,18.20
59,38.01,18.01
60,38.70,18.70
61,40.82,20.82
62,39.75,19.75
63,39.23,19.23
64,39.88,19.88
65,39.46,19.46
66,40.70,20.70
67,42.12,22.12
68,42.20,22.20
69,44.39,24.39
70,45.81,25.81
71,46.79,26.79
72,45.79,25.79
73,46.73,26.73
74,46.11,26.11
75,45.59,25.59
76,46.55,26.55
77,47.36,27.36
78,46.89,26.89
79,47.73,27.73
80,48.80,28.80
81,48.96,28.96
82,51.30,31.30
83,50.50,30.50
84,52.02,32.02
85,54.27,34.27
86,53.41,33.41
87,52.71,32.71
88,53.79,33.79
89,52.96,32.96
90,54.36,34.36
91,55.29,35.29
92,53.84,33.84
93,53.39,33.39
94,53.88,33.88
95,53.98,33.98
96,55.53,35.53
97,56.38,36.38
98,56.50,36.50
99,56.70,36.70
100,57.60,37.60
101,58.20,38.20
102,58.02,38.02
103,57.77,37.77
104,56.98,36.98
105,58.05,38.05
106,58.84,38.84
107,60.34,40.34
108,59.96,39.96
109,59.84,39.84
110,59.79,39.79
111,61.34,41.34
112,61.82,41.82
113,61.32,41.32
114,59.86,39.86
115,59.88,39.88
116,60.84,40.84
117,61.00,41.00
118,60.46,40.46
119,61.11,41.11
120,60.54,40.54
121,62.70,42.70
