# HAINES_AIRPORT
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# Excluded years (more than 5 days of missing data): 1991, 1993, 1994, 1995, 1996, 1997, 1998
#
d_since_march1,Tavg_F,dd
0,30.09,10.09
1,29.99,9.99
2,29.05,9.05
3,28.11,8.11
4,26.48,6.48
5,27.83,7.83
6,28.17,8.17
7,28.61,8.61
8,30.52,10.52
9,30.33,10.33
10,29.93,9.93
11,29.52,9.52
12,29.63,9.63
13,29.35,9.35
14,29.85,9.85
15,31.13,11.13
16,32.04,12.04
17,31.26,11.26
18,32.15,12.15
19,32.54,12.54
20,33.09,13.09
21,33.54,13.54
22,35.04,15.04
23,35.02,15.02
24,36.17,16.17
25,36.41,16.41
26,36.02,16.02
27,35.98,15.98
28,36.74,16.74
29,36.89,16.89
30,36.52,16.52
31,36.57,16.57
32,36.20,16.20
33,36.26,16.26
34,36.37,16.37
35,36.30,16.30
36,38.00,18.00
37,39.11,19.11
38,39.57,19.57
39,38.98,18.98
40,39.41,19.41
41,40.43,20.43
42,40.57,20.57
43,41.50,21.50
44,40.89,20.89
45,40.89,20.89
46,41.63,21.63
47,41.85,21.85
48,41.59,21.59
49,42.26,22.26
50,43.13,23.13
51,43.02,23.02
52,43.04,23.04
53,43.63,23.63
54,44.07,24.07
55,45.00,25.00
56,44.85,24.85
57,45.33,25.33
58,44.41,24.41
59,45.00,25.00
60,45.39,25.39
61,45.85,25.85
62,46.24,26.24
63,45.71,25.71
64,45.53,25.53
65,46.35,26.35
66,46.43,26.43
67,47.04,27.04
68,48.17,28.17
69,48.96,28.96
70,49.91,29.91
71,50.22,30.22
72,49.67,29.67
73,50.35,30.35
74,49.59,29.59
75,50.33,30.33
76,50.09,30.09
77,50.52,30.52
78,51.04,31.04
79,51.63,31.63
80,52.04,32.04
81,51.47,31.47
82,51.96,31.96
83,52.11,32.11
84,52.61,32.61
85,52.52,32.52
86,52.37,32.37
87,53.13,33.13
88,54.54,34.54
89,54.09,34.09
90,53.33,33.33
91,52.98,32.98
92,53.04,33.04
93,53.80,33.80
94,53.24,33.24
95,53.67,33.67
96,54.24,34.24
97,55.87,35.87
98,53.96,33.96
99,55.21,35.21
100,56.00,36.00
101,55.02,35.02
102,55.65,35.65
103,56.00,36.00
104,55.46,35.46
105,56.48,36.48
106,58.17,38.17
107,57.41,37.41
108,56.59,36.59
109,56.00,36.00
110,56.98,36.98
111,56.98,36.98
112,56.80,36.80
113,56.59,36.59
114,57.02,37.02
115,57.78,37.78
116,56.85,36.85
117,57.41,37.41
118,58.37,38.37
119,57.70,37.70
120,57.22,37.22
121,57.24,37.24
