# KENAI_AIRPORT
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,19.98,0.00
1,19.77,0.00
2,19.68,0.00
3,18.48,0.00
4,20.40,0.40
5,22.23,2.23
6,22.70,2.70
7,22.82,2.82
8,22.13,2.13
9,21.62,1.62
10,21.98,1.98
11,21.32,1.32
12,21.78,1.78
13,21.87,1.87
14,21.83,1.83
15,23.12,3.12
16,22.78,2.78
17,23.43,3.43
18,24.55,4.55
19,23.17,3.17
20,23.88,3.88
21,24.70,4.70
22,26.18,6.18
23,27.72,7.72
24,28.60,8.60
25,28.38,8.38
26,27.98,7.98
27,27.78,7.78
28,29.00,9.00
29,28.15,8.15
30,29.40,9.40
31,29.95,9.95
32,31.88,11.88
33,30.83,10.83
34,32.10,12.10
35,33.82,13.82
36,32.57,12.57
37,32.53,12.53
38,32.15,12.15
39,33.55,13.55
40,33.42,13.42
41,33.68,13.68
42,33.78,13.78
43,33.93,13.93
44,35.48,15.48
45,36.27,16.27
46,35.92,15.92
47,36.70,16.70
48,37.85,17.85
49,38.30,18.30
50,38.20,18.20
51,38.47,18.47
52,39.80,19.80
53,40.16,20.16
54,39.88,19.88
55,41.03,21.03
56,41.43,21.43
57,41.07,21.07
58,41.60,21.60
59,41.92,21.92
60,41.85,21.85
61,41.97,21.97
62,41.37,21.37
63,41.56,21.56
64,41.80,21.80
65,42.40,22.40
66,42.75,22.75
67,43.20,23.20
68,43.17,23.17
69,44.33,24.33
70,44.08,24.08
71,44.82,24.82
72,45.31,25.31
73,44.50,24.50
74,44.93,24.93
75,45.45,25.45
76,45.40,25.40
77,45.13,25.13
78,46.18,26.18
79,45.92,25.92
80,47.05,27.05
81,47.12,27.12
82,47.55,27.55
83,48.33,28.33
84,48.22,28.22
85,48.03,28.03
86,48.12,28.12
87,49.38,29.38
88,49.98,29.98
89,50.28,30.28
90,49.85,29.85
91,49.55,29.55
92,49.93,29.93
93,49.58,29.58
94,50.37,30.37
95,51.45,31.45
96,51.07,31.07
97,50.88,30.88
98,50.95,30.95
99,50.42,30.42
100,51.12,31.12
101,51.67,31.67
102,51.32,31.32
103,51.52,31.52
104,51.22,31.22
105,52.22,32.22
106,52.23,32.23
107,52.83,32.83
108,53.33,33.33
109,53.38,33.38
110,53.22,33.22
111,53.12,33.12
112,52.98,32.98
113,53.18,33.18
114,52.98,32.98
115,53.53,33.53
116,54.40,34.40
117,54.15,34.15
118,54.23,34.23
119,55.17,35.17
120,54.83,34.83
121,54.65,34.65
