# KING_SALMON_AIRPORT
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,18.67,0.00
1,21.73,1.73
2,20.73,0.73
3,21.07,1.07
4,23.87,3.87
5,24.63,4.63
6,25.20,5.20
7,24.10,4.10
8,21.77,1.77
9,21.85,1.85
10,20.95,0.95
11,20.92,0.92
12,21.02,1.02
13,19.25,0.00
14,20.45,0.45
15,22.00,2.00
16,22.07,2.07
17,20.23,0.23
18,19.72,0.00
19,20.75,0.75
20,23.05,3.05
21,24.18,4.18
22,24.37,4.37
23,25.73,5.73
24,25.68,5.68
25,24.48,4.48
26,25.43,5.43
27,27.15,7.15
28,27.37,7.37
29,25.17,5.17
30,27.07,7.07
31,28.23,8.23
32,30.83,10.83
33,31.38,11.38
34,32.00,12.00
35,31.43,11.43
36,30.50,10.50
37,30.57,10.57
38,31.13,11.13
39,33.05,13.05
40,33.60,13.60
41,32.43,12.43
42,32.03,12.03
43,33.05,13.05
44,35.23,15.23
45,35.23,15.23
46,34.88,14.88
47,36.17,16.17
48,37.53,17.53
49,36.68,16.68
50,37.97,17.97
51,37.95,17.95
52,39.22,19.22
53,39.78,19.78
54,39.72,19.72
55,40.47,20.47
56,40.25,20.25
57,39.75,19.75
58,40.43,20.43
59,40.52,20.52
60,40.77,20.77
61,40.37,20.37
62,40.50,20.50
63,40.90,20.90
64,39.65,19.65
65,41.07,21.07
66,42.02,22.02
67,41.77,21.77
68,41.82,21.82
69,41.85,21.85
70,43.10,23.10
71,43.87,23.87
72,44.35,24.35
73,43.92,23.92
74,44.62,24.62
75,44.65,24.65
76,45.68,25.68
77,45.25,25.25
78,44.60,24.60
79,45.40,25.40
80,46.50,26.50
81,46.82,26.82
82,46.73,26.73
83,47.97,27.97
84,47.80,27.80
85,47.57,27.57
86,47.98,27.98
87,48.68,28.68
88,50.15,30.15
89,50.45,30.45
90,50.03,30.03
91,50.05,30.05
92,50.52,30.52
93,50.23,30.23
94,50.70,30.70
95,50.48,30.48
96,50.63,30.63
97,50.85,30.85
98,50.73,30.73
99,49.55,29.55
100,50.08,30.08
101,50.93,30.93
102,50.07,30.07
103,51.40,31.40
104,52.27,32.27
105,51.43,31.43
106,53.53,33.53
107,53.10,33.10
108,53.00,33.00
109,52.72,32.72
110,52.85,32.85
111,53.30,33.30
112,52.93,32.93
113,53.13,33.13
114,53.28,33.28
115,53.13,33.13
116,53.95,33.95
117,54.33,34.33
118,53.87,33.87
119,55.10,35.10
120,54.87,34.87
121,54.00,34.00
