# NOME_AIRPORT
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,7.13,0.00
1,8.87,0.00
2,10.53,0.00
3,10.23,0.00
4,11.42,0.00
5,10.97,0.00
6,9.77,0.00
7,9.40,0.00
8,9.03,0.00
9,7.50,0.00
10,8.28,0.00
11,8.13,0.00
12,7.27,0.00
13,6.52,0.00
14,5.65,0.00
15,6.82,0.00
16,9.08,0.00
17,8.48,0.00
18,10.67,0.00
19,11.10,0.00
20,10.22,0.00
21,9.78,0.00
22,11.92,0.00
23,11.38,0.00
24,10.70,0.00
25,8.47,0.00
26,9.83,0.00
27,10.75,0.00
28,11.28,0.00
29,11.58,0.00
30,13.53,0.00
31,15.47,0.00
32,15.05,0.00
33,18.23,0.00
34,19.15,0.00
35,16.33,0.00
36,15.22,0.00
37,17.35,0.00
38,17.68,0.00
39,18.68,0.00
40,19.65,0.00
41,19.13,0.00
42,20.77,0.77
43,21.62,1.62
44,20.35,0.35
45,20.62,0.62
46,22.25,2.25
47,23.23,3.23
48,23.68,3.68
49,24.05,4.05
50,25.07,5.07
51,25.93,5.93
52,27.97,7.97
53,28.13,8.13
54,28.38,8.38
55,28.62,8.62
56,28.78,8.78
57,28.97,8.97
58,28.67,8.67
59,29.67,9.67
60,29.92,9.92
61,29.13,9.13
62,29.15,9.15
63,28.78,8.78
64,29.13,9.13
65,31.77,11.77
66,32.13,12.13
67,32.47,12.47
68,33.17,13.17
69,34.92,14.92
70,35.55,15.55
71,35.78,15.78
72,36.15,16.15
73,36.40,16.40
74,36.47,16.47
75,37.97,17.97
76,38.20,18.20
77,38.05,18.05
78,38.03,18.03
79,39.38,19.38
80,40.47,20.47
81,39.58,19.58
82,40.02,20.02
83,39.87,19.87
84,40.28,20.28
85,41.83,21.83
86,41.95,21.95
87,41.72,21.72
88,41.92,21.92
89,44.03,24.03
90,44.65,24.65
91,45.92,25.92
92,44.57,24.57
93,44.62,24.62
94,44.17,24.17
95,45.70,25.70
96,47.53,27.53
97,47.37,27.37
98,47.85,27.85
99,47.47,27.47
100,45.13,25.13
101,45.70,25.70
102,46.17,26.17
103,47.47,27.47
104,47.28,27.28
105,46.82,26.82
106,47.43,27.43
107,49.43,29.43
108,51.97,31.97
109,52.02,32.02
110,51.37,31.37
111,50.12,30.12
112,50.73,30.73
113,50.32,30.32
114,48.47,28.47
115,49.00,29.00
116,50.67,30.67
117,50.22,30.22
118,49.93,29.93
119,49.90,29.90
120,49.35,29.35
121,49.18,29.18
