# SKAGWAY_AIRPORT
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# Excluded years (more than 5 days of missing data): 1992, 1993, 1994, 1995, 1996, 1997
#
d_since_march1,Tavg_F,dd
0,30.31,10.31
1,30.35,10.35
2,30.48,10.48
3,29.35,9.35
4,28.58,8.58
5,29.58,9.58
6,29.85,9.85
7,29.69,9.69
8,30.83,10.83
9,30.88,10.88
10,30.98,10.98
11,30.75,10.75
12,31.06,11.06
13,30.88,10.88
14,32.31,12.31
15,32.88,12.88
16,34.02,14.02
17,33.23,13.23
18,33.04,13.04
19,34.27,14.27
20,34.85,14.85
21,35.25,15.25
22,36.42,16.42
23,35.73,15.73
24,37.31,17.31
25,37.58,17.58
26,37.42,17.42
27,37.65,17.65
28,37.58,17.58
29,38.08,18.08
30,37.23,17.23
31,37.29,17.29
32,37.54,17.54
33,37.85,17.85
34,37.79,17.79
35,37.77,17.77
36,39.17,19.17
37,40.02,20.02
38,39.79,19.79
39,39.31,19.31
40,39.94,19.94
41,40.69,20.69
42,40.40,20.40
43,42.25,22.25
44,41.88,21.88
45,41.12,21.12
46,41.35,21.35
47,41.29,21.29
48,41.81,21.81
49,42.52,22.52
50,43.48,23.48
51,43.23,23.23
52,43.83,23.83
53,44.65,24.65
54,44.33,24.33
55,45.52,25.52
56,45.67,25.67
57,45.29,25.29
58,45.00,25.00
59,45.44,25.44
60,45.83,25.83
61,46.69,26.69
62,47.35,27.35
63,46.67,26.67
64,46.23,26.23
65,46.50,26.50
66,46.58,26.58
67,46.75,26.75
68,48.42,28.42
69,49.05,29.05
70,49.40,29.40
71,49.83,29.83
72,50.03,30.03
73,49.92,29.92
74,49.48,29.48
75,49.94,29.94
76,49.77,29.77
77,51.08,31.08
78,51.29,31.29
79,50.98,30.98
80,51.44,31.44
81,51.56,31.56
82,51.08,31.08
83,51.94,31.94
84,52.69,32.69
85,52.46,32.46
86,53.00,33.00
87,53.35,33.35
88,54.81,34.81
89,54.02,34.02
90,53.06,33.06
91,52.94,32.94
92,53.08,33.08
93,53.54,33.54
94,53.46,33.46
95,53.12,33.12
96,53.81,33.81
97,55.25,35.25
98,54.29,34.29
99,54.65,34.65
100,54.94,34.94
101,54.27,34.27
102,55.08,35.08
103,55.27,35.27
104,55.04,35.04
105,55.67,35.67
106,56.92,36.92
107,56.96,36.96
108,56.35,36.35
109,56.83,36.83
110,56.60,36.60
111,57.17,37.17
112,56.92,36.92
113,56.92,36.92
114,57.15,37.15
115,57.90,37.90
116,57.06,37.06
117,57.33,37.33
118,58.48,38.48
119,57.42,37.42
120,56.98,36.98
121,56.92,36.92
