# TALKEETNA_AIRPORT
# 1991-2020 climatology of T_avg and DD20 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,19.53,0.00
1,19.72,0.00
2,18.17,0.00
3,17.33,0.00
4,19.77,0.00
5,20.13,0.13
6,21.75,1.75
7,22.58,2.58
8,21.48,1.48
9,21.63,1.63
10,21.75,1.75
11,21.93,1.93
12,21.45,1.45
13,21.67,1.67
14,21.80,1.80
15,22.60,2.60
16,23.12,3.12
17,23.38,3.38
18,24.85,4.85
19,24.28,4.28
20,24.53,4.53
21,25.75,5.75
22,26.10,6.10
23,27.60,7.60
24,28.03,8.03
25,27.62,7.62
26,27.58,7.58
27,28.32,8.32
28,29.62,9.62
29,29.07,9.07
30,29.90,9.90
31,30.67,10.67
32,30.20,10.20
33,31.02,11.02
34,32.50,12.50
35,33.98,13.98
36,33.03,13.03
37,32.45,12.45
38,32.12,12.12
39,33.08,13.08
40,33.08,13.08
41,33.00,13.00
42,33.87,13.87
43,34.13,14.13
44,35.42,15.42
45,36.10,16.10
46,35.78,15.78
47,36.50,16.50
48,37.90,17.90
49,38.80,18.80
50,38.28,18.28
51,39.32,19.32
52,39.63,19.63
53,39.83,19.83
54,40.53,20.53
55,40.73,20.73
56,41.60,21.60
57,41.35,21.35
58,41.22,21.22
59,40.95,20.95
60,42.10,22.10
61,42.45,22.45
62,41.58,21.58
63,42.40,22.40
64,42.58,22.58
65,42.57,22.57
66,43.22,23.22
67,44.45,24.45
68,43.92,23.92
69,45.48,25.48
70,45.90,25.90
71,45.78,25.78
72,47.18,27.18
73,47.02,27.02
74,47.33,27.33
75,47.15,27.15
76,47.48,27.48
77,47.42,27.42
78,47.63,27.63
79,48.78,28.78
80,49.00,29.00
81,50.70,30.70
82,51.43,31.43
83,51.10,31.10
84,51.28,31.28
85,51.60,31.60
86,51.62,31.62
87,52.22,32.22
88,53.47,33.47
89,53.98,33.98
90,52.67,32.67
91,52.35,32.35
92,52.68,32.68
93,53.62,33.62
94,54.48,34.48
95,54.13,34.13
96,54.65,34.65
97,53.93,33.93
98,54.73,34.73
99,54.25,34.25
100,55.90,35.90
101,55.53,35.53
102,55.78,35.78
103,55.72,35.72
104,57.25,37.25
105,57.95,37.95
106,58.67,38.67
107,58.32,38.32
108,59.07,39.07
109,59.07,39.07
110,58.03,38.03
111,57.60,37.60
112,58.35,38.35
113,58.25,38.25
114,59.23,39.23
115,59.05,39.05
116,58.82,38.82
117,58.98,38.98
118,58.98,38.98
119,60.22,40.22
120,60.13,40.13
121,60.78,40.78
