# ALYESKA
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1989, 2012
#
d_since_march1,1982,1983,1984,1985,1986,1987,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,0.00,11.00,10.00,0.50,0.00,0.00,17.50,0.00,14.50,0.00,15.50,4.50,6.50,13.00,11.50,1.50,0.00,15.00,8.00,12.00,16.00,13.00,6.00,0.00,0.00,3.50,4.00,10.00,0.00,13.00,14.00,15.00,17.00,0.00,0.00,3.00,0.50,2.50,12.50
1,0.00,17.50,22.00,2.50,0.00,0.00,34.00,10.50,25.50,0.00,27.50,11.00,14.50,18.50,12.00,1.50,2.50,26.00,17.50,23.00,33.00,28.50,13.50,0.00,0.00,10.00,4.00,26.50,0.00,27.00,27.50,25.00,33.00,0.00,0.00,8.50,8.00,5.00,28.00
2,0.00,19.50,32.00,4.00,0.00,0.00,46.50,25.50,33.00,0.00,35.00,11.00,20.00,22.00,12.00,1.50,8.00,37.00,24.50,30.50,49.00,44.00,20.50,0.00,0.00,24.50,4.00,41.50,0.00,41.00,37.50,41.50,44.50,0.00,0.00,20.00,8.00,5.00,43.00
3,0.00,24.55,48.00,6.00,0.00,0.00,60.00,39.50,41.00,0.00,38.50,11.00,22.00,26.00,12.00,1.50,8.00,49.00,34.50,33.00,66.00,59.50,32.50,3.50,0.00,39.50,4.00,56.00,0.00,55.50,48.50,57.50,55.00,0.00,7.50,32.50,8.00,5.00,58.50
4,4.00,37.05,66.50,11.50,0.00,0.00,68.50,39.50,47.00,0.00,51.00,11.00,26.50,31.50,18.00,1.50,8.00,64.50,49.00,33.00,78.00,71.00,47.00,7.00,0.00,55.50,6.00,65.50,0.00,69.00,61.50,76.00,62.50,0.00,8.00,41.50,8.00,5.00,75.00
5,11.50,47.55,86.50,20.00,0.00,0.00,79.50,41.50,54.50,0.00,64.50,11.00,27.50,41.00,31.50,5.00,8.00,76.50,63.50,33.00,86.00,75.50,63.00,19.50,0.00,72.50,16.00,79.00,0.00,80.50,71.50,96.00,76.50,0.00,8.50,54.00,8.00,13.50,89.50
6,23.50,57.05,105.50,30.00,0.00,0.00,94.50,42.00,67.00,0.00,77.00,17.00,27.50,48.00,42.50,14.50,8.00,88.00,77.50,33.00,92.50,80.50,80.00,26.00,0.00,89.00,17.50,81.50,4.50,92.50,73.50,114.50,91.50,0.00,11.50,68.00,8.00,14.50,98.00
7,33.00,62.05,124.50,36.00,0.00,8.50,109.50,47.50,76.00,15.00,90.50,34.00,27.50,54.50,52.00,27.00,8.00,98.00,94.50,33.00,100.00,80.50,99.00,29.00,0.00,104.50,18.00,81.50,12.00,108.50,74.00,129.50,108.50,0.00,16.00,81.00,12.50,15.00,108.50
8,39.50,63.05,147.50,50.50,0.00,20.00,124.00,53.50,78.00,32.00,103.50,52.50,28.00,55.00,58.00,37.50,8.00,108.00,109.50,33.00,106.50,80.50,117.00,32.50,0.00,121.00,21.00,88.50,18.00,124.00,74.00,134.00,123.00,0.00,26.50,96.00,23.00,17.50,124.00
9,48.50,68.55,169.00,65.00,2.50,28.50,138.50,54.50,78.00,49.00,110.00,68.50,28.00,55.00,59.50,45.00,8.00,114.50,125.00,33.50,109.00,83.50,136.00,32.50,0.00,137.50,32.00,88.50,20.50,138.50,76.00,134.00,141.00,0.00,37.00,111.50,26.00,30.00,138.00
10,55.50,75.55,189.00,80.50,13.00,38.50,156.00,54.50,78.00,66.50,121.50,82.50,28.00,62.00,60.50,53.50,8.00,124.00,143.50,33.50,111.50,97.50,155.50,32.50,2.50,151.00,45.00,88.50,20.50,150.00,92.00,134.00,156.50,0.00,47.00,128.50,26.00,37.00,153.00
11,59.50,88.05,205.50,88.00,20.00,47.50,171.50,65.00,78.00,83.50,137.00,97.50,28.00,74.50,63.50,65.00,13.44,138.50,160.50,33.50,111.50,113.00,172.50,32.50,2.50,160.50,61.00,88.50,21.50,155.00,109.50,134.00,172.50,0.00,51.00,142.50,26.00,37.00,169.50
12,59.50,103.05,220.00,100.50,38.00,57.00,188.50,78.50,81.50,96.50,151.50,113.50,28.00,88.00,67.00,82.50,30.44,155.00,175.50,33.50,111.50,124.00,189.00,35.50,2.50,167.50,74.50,88.50,21.50,157.00,125.00,134.00,188.50,0.00,63.00,157.00,26.00,37.00,185.50
13,63.00,108.69,234.50,106.50,53.00,63.00,202.50,84.14,87.50,107.50,161.50,129.00,28.00,103.50,72.50,99.50,45.44,170.50,191.50,33.50,111.50,136.50,203.00,35.50,2.50,174.50,82.00,88.50,21.50,158.00,142.00,134.00,205.50,0.00,79.50,174.00,26.00,37.00,196.00
