# AUKE_BAY
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 2016
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2017,2018,2019,2020,2021,2022
0,16.00,17.50,0.00,15.00,17.00,15.50,13.00,0.50,17.00,3.50,12.50,11.00,14.00,18.50,17.50,8.00,9.00,11.00,17.00,13.50,18.00,18.00,16.00,16.00,14.50,18.50,6.00,0.00,10.00,8.50,23.00,0.00,11.50,17.50,11.00,19.00,9.50,7.00,15.00,13.50,17.50,17.00
1,29.00,36.50,4.00,27.50,37.50,29.00,28.50,0.50,33.00,9.00,29.00,17.00,27.00,35.00,34.50,18.50,23.00,15.50,32.50,28.50,35.00,34.00,31.50,34.00,26.00,38.50,15.00,0.00,26.50,19.50,43.00,0.00,25.50,34.00,20.00,35.00,18.50,8.50,31.00,30.00,33.00,33.50
2,37.50,53.50,6.50,38.00,55.00,46.00,44.50,0.50,49.50,20.00,46.00,23.50,39.50,50.50,52.00,33.00,35.50,18.50,45.50,44.50,52.50,51.00,46.00,53.50,39.50,57.00,24.00,0.00,45.00,28.00,60.50,0.00,39.50,47.50,24.00,51.50,20.00,12.00,37.00,45.00,47.50,47.50
3,40.50,69.00,10.00,49.50,75.00,58.00,61.00,0.50,65.00,28.50,64.50,30.00,49.00,68.00,67.00,41.50,42.50,18.50,57.00,55.50,69.50,63.50,56.50,71.00,52.50,75.00,37.50,0.00,62.50,36.50,76.00,2.50,51.00,61.50,24.00,69.50,20.00,20.00,43.00,57.50,63.00,59.50
4,49.00,83.00,20.00,58.00,95.00,62.50,72.50,0.50,88.00,33.50,84.50,44.50,59.50,86.00,77.00,50.00,50.00,22.50,67.00,64.00,86.00,73.40,62.50,81.50,67.00,99.00,53.50,1.00,79.00,38.50,88.00,12.50,56.50,72.00,24.00,87.50,20.00,28.00,49.00,69.50,80.00,75.00
5,61.00,98.00,33.00,68.00,114.50,65.50,80.00,0.50,104.00,33.50,100.50,58.50,68.50,105.50,87.50,63.50,54.50,32.50,77.00,64.50,100.50,89.90,64.00,86.50,81.00,116.50,67.00,7.50,97.00,50.00,104.00,22.50,66.00,82.50,25.00,102.00,20.00,33.50,58.86,76.00,96.50,92.50
6,74.50,111.50,48.50,80.00,135.00,80.00,87.00,5.50,120.50,35.50,115.00,72.50,81.50,124.00,103.00,70.50,56.50,45.50,84.50,64.50,114.50,109.90,64.00,86.50,99.00,135.00,81.50,20.50,118.00,57.50,117.00,28.00,80.50,93.00,29.50,121.50,20.00,40.00,67.86,79.50,113.50,108.50
7,89.50,127.50,64.00,92.00,156.00,93.50,95.00,11.50,139.50,35.50,124.50,87.00,100.50,139.50,120.50,77.00,56.50,60.00,89.50,67.00,126.50,128.90,64.00,86.50,119.50,157.00,95.50,36.50,136.50,57.50,127.50,34.50,95.50,108.50,39.50,142.00,20.00,51.50,78.86,88.50,130.00,122.50
8,106.50,148.50,77.50,108.00,174.50,108.50,109.00,23.50,157.00,35.50,138.00,101.00,119.00,156.50,142.50,81.50,70.00,74.00,91.00,76.50,137.50,146.90,64.00,86.50,135.50,177.50,110.00,47.00,156.50,57.50,143.50,45.00,112.50,125.00,55.50,159.00,20.00,65.00,93.86,102.00,140.50,137.00
