# BETHEL_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,0.00,12.50,0.00,0.00,0.00,4.00,0.00,0.00,4.50,3.50,0.00,1.50,0.00,0.00,0.00,13.00,14.00,0.00,0.00,0.00,6.00,0.00,6.00,15.50,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,5.00,11.50,0.00,0.00,13.50,0.00,0.00,0.00
1,3.50,17.00,0.00,0.00,0.00,7.00,0.00,0.00,7.00,3.50,0.00,5.00,0.00,0.00,0.00,24.50,25.00,0.00,0.00,0.00,6.00,0.00,6.00,34.00,31.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.50,19.50,23.50,0.00,9.50,22.00,0.00,0.00,5.50
2,17.00,17.00,0.00,0.00,0.00,14.50,0.00,0.00,7.50,3.50,0.00,12.00,0.00,0.00,0.00,35.00,38.00,0.00,0.00,0.00,9.50,0.00,6.00,43.50,39.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,1.50,16.50,29.00,29.50,0.00,14.00,28.50,0.00,0.00,17.00
3,28.50,17.00,6.00,0.00,0.00,25.50,0.00,0.00,7.50,3.50,0.00,15.50,0.00,0.00,0.00,35.00,48.50,0.00,4.50,0.00,20.00,13.00,6.00,44.00,45.50,0.00,2.50,0.00,10.50,7.00,0.00,0.00,0.00,12.00,16.50,34.50,29.50,0.00,23.50,45.00,0.00,0.00,29.50
4,38.00,21.00,14.50,1.50,10.00,37.00,0.00,0.00,7.50,3.50,0.00,18.50,0.00,0.00,0.00,35.00,57.00,0.00,17.50,0.00,34.00,23.50,6.00,44.00,46.50,1.50,2.50,0.00,23.50,14.50,0.00,0.00,0.00,25.00,16.50,40.50,29.50,0.00,33.50,56.50,0.00,0.00,33.00
5,47.00,28.50,24.50,8.50,24.50,38.00,0.00,0.00,7.50,6.00,0.00,29.50,0.00,0.00,0.00,35.00,62.50,0.00,29.50,0.00,48.00,36.00,6.00,47.50,46.50,10.50,2.50,0.00,33.50,15.00,0.00,0.00,1.50,35.00,16.50,51.00,31.00,0.00,44.50,66.00,0.00,0.50,33.00
6,53.00,32.50,39.00,8.50,38.50,38.00,0.00,0.00,7.50,12.00,0.00,29.50,0.00,0.00,0.00,35.00,71.00,0.00,43.50,0.00,62.00,40.50,6.00,52.50,46.50,17.00,2.50,0.00,38.50,16.00,0.00,0.00,1.50,52.00,16.50,57.00,31.00,0.00,52.50,79.50,0.00,12.50,40.50
7,60.00,32.50,48.50,8.50,47.50,48.50,0.00,12.00,7.50,19.00,0.00,29.50,0.00,0.00,0.00,35.00,78.50,0.00,56.00,0.00,77.50,49.00,6.00,58.00,46.50,17.50,2.50,0.00,44.50,30.50,0.00,0.00,1.50,60.00,16.50,57.00,31.00,0.00,52.50,94.00,0.00,18.50,56.50
8,66.50,41.00,59.50,8.50,63.50,49.00,0.00,27.50,7.50,29.00,0.00,29.50,4.50,0.00,2.50,35.00,78.50,0.00,62.00,0.00,91.00,55.50,6.00,61.50,46.50,28.00,2.50,0.00,45.50,42.50,0.00,0.00,1.50,60.00,16.50,57.00,33.00,0.00,52.50,109.00,0.00,20.00,69.50
9,66.50,46.50,66.50,8.50,76.00,49.00,0.00,38.50,15.00,31.50,0.00,29.50,5.00,0.00,14.50,35.00,78.50,0.00,64.00,0.00,94.00,60.50,6.00,62.00,54.00,32.00,2.50,0.00,45.50,53.00,0.00,0.00,1.50,60.00,16.50,57.00,38.00,0.00,52.50,125.00,0.00,20.00,78.50
10,66.50,46.50,66.50,8.50,86.50,49.00,0.00,43.50,15.00,32.50,0.00,37.00,5.00,0.00,27.00,35.00,78.50,0.00,64.00,0.00,94.00,67.00,6.00,62.00,65.00,41.00,3.00,0.00,45.50,58.00,0.00,0.00,1.50,60.00,16.50,57.00,42.00,0.00,52.50,135.00,0.00,20.00,78.50
11,66.50,55.00,66.50,8.50,98.50,54.00,0.00,44.50,15.00,32.50,0.00,46.50,5.00,0.00,27.00,35.00,85.50,0.00,72.50,0.00,102.50,67.00,6.00,62.00,68.50,52.50,5.50,0.00,45.50,59.50,0.00,0.00,1.50,60.00,16.50,57.00,46.50,0.00,52.50,145.50,0.00,20.00,78.50
12,66.50,71.00,69.00,8.50,111.50,54.00,0.00,44.50,15.00,32.50,0.00,51.50,5.00,0.00,27.00,35.00,101.50,0.00,87.00,0.00,103.50,67.50,6.00,62.00,70.00,66.50,5.50,0.00,45.50,59.50,0.00,0.00,1.50,60.00,16.50,57.00,47.00,0.00,52.50,161.00,0.00,20.00,78.50
13,66.50,85.00,69.00,8.50,123.00,54.00,6.00,44.50,15.00,32.50,0.00,51.50,5.00,0.00,27.00,35.00,114.50,0.00,97.00,0.00,110.00,74.50,15.00,62.00,74.00,80.50,5.50,0.00,45.50,59.50,0.00,0.00,1.50,60.00,16.50,57.00,47.00,0.00,52.50,166.50,8.00,25.00,78.50
14,66.50,99.50,69.00,8.50,134.00,54.00,16.00,51.00,15.00,32.50,6.00,51.50,13.00,0.00,27.00,35.00,116.00,0.50,109.00,0.00,114.50,74.50,30.00,62.00,80.00,92.00,5.50,0.00,50.00,59.50,0.00,0.00,1.50,60.00,16.50,57.00,47.00,0.00,52.50,168.50,19.50,28.50,78.50
15,66.50,114.50,74.00,12.50,146.00,54.00,32.00,52.50,15.00,32.50,11.50,51.50,21.00,7.50,27.00,35.00,116.00,0.50,126.50,0.00,122.50,74.50,44.00,62.00,80.00,101.00,5.50,0.00,51.00,59.50,0.00,0.00,1.50,60.00,16.50,57.00,47.00,0.00,53.00,169.00,28.00,28.50,78.50
16,66.50,130.00,83.50,21.50,154.00,54.00,48.50,52.50,15.00,32.50,12.50,51.50,29.00,20.00,27.00,35.00,116.00,0.50,145.50,0.00,131.00,74.50,58.00,62.00,80.00,111.50,9.00,0.00,51.00,59.50,0.00,0.00,1.50,65.50,16.50,64.00,47.00,0.00,64.00,169.00,38.50,28.50,78.50
17,66.50,145.00,98.00,29.00,156.00,58.00,56.50,52.50,15.00,32.50,13.00,51.50,39.50,32.50,27.00,35.00,116.00,0.50,161.00,0.00,137.00,74.50,71.50,62.00,80.00,120.00,9.00,0.00,51.00,59.50,1.00,0.00,1.50,65.50,16.50,73.00,47.00,0.00,73.50,169.00,44.00,28.50,78.50
18,74.50,161.50,112.50,37.50,156.00,65.50,58.00,52.50,15.00,32.50,13.00,51.50,51.00,47.50,27.00,35.00,116.00,0.50,181.50,7.50,145.00,74.50,83.00,62.00,80.00,128.00,9.00,0.00,51.00,59.50,10.50,14.00,1.50,65.50,16.50,82.50,47.00,0.00,77.50,169.00,56.00,28.50,78.50
19,86.50,177.50,124.00,49.00,161.00,65.50,58.00,52.50,15.00,35.50,13.00,51.50,51.00,63.50,27.00,35.00,122.50,0.50,198.00,15.50,158.50,74.50,96.50,62.00,80.00,128.50,9.00,0.00,51.00,59.50,15.00,28.50,1.50,65.50,16.50,95.50,47.00,0.00,79.50,169.00,68.00,28.50,78.50
20,95.00,189.00,138.50,62.50,164.50,66.00,58.00,57.50,15.00,35.50,13.00,54.50,51.00,71.50,27.00,35.00,136.50,0.50,206.50,20.50,167.50,74.50,110.00,62.00,80.00,128.50,9.00,0.00,51.00,59.50,15.00,40.00,1.50,66.00,16.50,102.00,47.00,0.00,86.50,182.50,69.50,28.50,78.50
21,104.00,197.00,138.50,76.50,164.50,66.00,58.00,69.50,15.00,35.50,22.00,65.00,51.00,71.50,27.00,35.00,147.50,0.50,214.00,32.00,175.00,74.50,118.00,62.00,80.00,128.50,9.00,0.00,51.00,59.50,15.00,48.50,1.50,66.00,16.50,105.00,60.50,0.00,90.50,202.50,69.50,28.50,78.50
22,113.00,201.50,138.50,86.00,164.50,66.00,61.00,78.00,15.00,37.50,30.50,78.50,63.00,71.50,27.00,35.00,158.00,0.50,224.00,40.00,177.00,74.50,127.50,62.00,81.00,133.00,9.00,0.00,51.00,59.50,15.00,55.00,1.50,66.00,16.50,113.50,73.00,0.00,91.50,222.00,76.00,28.50,78.50
23,128.00,210.50,138.50,93.50,164.50,66.00,61.00,92.00,15.00,47.50,34.50,93.00,75.50,71.50,27.00,35.00,167.00,0.50,240.50,54.50,177.00,74.50,141.00,62.00,81.00,133.00,9.00,0.00,51.00,59.50,15.00,55.00,1.50,66.00,19.50,126.50,86.00,0.00,96.50,237.50,88.00,39.00,78.50
24,138.00,219.00,138.50,98.00,164.50,66.00,61.00,103.00,15.00,55.50,46.50,106.00,75.50,71.50,27.00,35.00,181.00,0.50,248.00,69.00,177.00,74.50,154.00,62.00,81.00,133.00,9.00,0.00,51.00,59.50,22.00,55.00,1.50,66.00,19.50,142.00,99.00,0.00,102.50,257.00,101.00,39.50,78.50
25,145.50,231.50,138.50,100.00,165.00,66.00,61.00,111.00,15.00,62.50,62.50,120.00,75.50,79.50,27.00,35.00,191.00,0.50,248.00,76.50,177.00,74.50,163.50,62.00,81.00,133.00,9.00,0.00,51.00,59.50,22.00,55.00,1.50,66.00,19.50,155.00,103.00,0.00,116.50,272.00,109.50,41.00,82.50
26,153.50,245.00,143.50,100.00,170.50,66.00,61.00,122.50,15.00,62.50,78.50,130.50,75.50,96.00,36.00,35.00,202.00,0.50,248.00,81.00,177.00,74.50,167.50,62.00,81.00,133.00,9.00,0.00,51.00,59.50,22.00,55.00,11.00,66.00,23.50,174.00,103.00,0.00,129.50,284.50,119.50,41.00,92.00
27,161.50,258.00,153.00,104.50,183.50,66.00,61.00,133.00,15.00,62.50,93.50,138.50,75.50,112.50,51.00,38.00,216.00,0.50,253.50,81.00,177.00,74.50,167.50,62.00,81.00,133.00,9.00,0.00,51.00,59.50,22.00,55.00,20.00,73.00,23.50,190.50,105.50,0.00,135.50,299.50,119.50,43.00,103.00
28,167.50,275.00,153.00,104.50,194.00,66.00,61.00,145.00,15.00,62.50,106.50,138.50,75.50,128.00,59.00,50.50,228.50,0.50,253.50,81.00,177.00,74.50,167.50,66.50,81.00,133.00,9.00,0.00,52.50,66.50,22.00,55.00,25.00,77.00,25.00,204.00,105.50,0.00,137.00,314.00,119.50,55.00,114.50
29,180.50,286.50,153.00,104.50,204.50,66.00,61.00,154.50,15.00,62.50,113.00,138.50,75.50,142.00,61.50,61.50,240.00,0.50,257.00,81.00,177.00,74.50,167.50,66.50,81.00,133.00,21.00,5.50,64.50,66.50,22.00,55.00,26.50,77.00,25.00,204.00,108.50,0.00,143.00,332.00,119.50,55.00,132.50
30,195.00,298.00,153.00,104.50,218.50,66.00,61.00,166.00,15.00,62.50,113.00,140.00,75.50,158.50,70.00,70.50,249.00,0.50,267.00,82.50,177.00,74.50,167.50,66.50,81.00,133.00,25.00,14.50,79.50,66.50,22.00,55.00,26.50,77.00,25.00,204.00,118.00,1.00,149.00,350.50,121.50,55.00,148.00
31,207.00,310.00,153.00,104.50,232.00,66.00,61.00,177.50,15.00,67.50,113.00,149.00,75.50,177.50,88.50,78.00,254.50,0.50,272.00,82.50,177.00,74.50,167.50,79.00,81.00,133.00,26.00,27.50,90.00,66.50,22.00,55.00,26.50,78.00,29.00,204.00,138.00,7.50,161.00,369.50,126.50,55.00,153.50
32,221.00,322.00,153.00,112.50,245.50,66.00,61.00,195.00,15.00,67.50,125.50,156.00,75.50,192.50,102.50,82.50,257.00,0.50,282.00,82.50,177.00,86.00,168.50,88.00,81.00,133.00,26.00,43.00,97.50,66.50,22.00,55.00,26.50,81.00,38.00,204.00,153.00,12.00,168.50,386.00,129.00,55.00,161.50
33,237.00,331.00,153.00,123.50,262.00,66.00,61.00,211.00,15.00,67.50,140.50,160.00,79.50,208.50,113.50,86.00,257.00,11.50,294.50,90.50,177.00,98.00,173.00,96.00,81.00,133.00,26.00,56.50,111.50,66.50,22.00,66.50,26.50,91.00,55.00,209.50,171.00,18.00,171.00,400.00,140.50,67.50,169.00
34,254.50,337.50,162.00,138.50,273.50,66.00,61.00,220.00,15.00,74.50,147.50,160.00,87.50,221.50,130.50,91.50,257.00,25.50,300.00,96.00,186.50,102.50,177.00,106.50,81.00,133.00,26.00,68.00,114.00,66.50,22.00,66.50,26.50,96.00,70.00,222.00,190.00,26.00,171.00,407.50,152.00,67.50,173.50
