# COLD_BAY_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,15.50,15.00,11.50,15.00,0.00,18.50,0.00,9.00,5.00,11.00,13.50,19.00,0.00,7.00,0.00,18.00,19.00,5.00,11.50,0.00,7.50,8.00,6.00,20.00,15.50,8.50,6.00,3.00,6.00,7.00,0.00,12.50,6.50,5.00,21.50,20.50,16.50,2.00,16.50,14.00,15.50,15.00,12.00
1,29.00,25.50,24.00,29.00,0.00,33.50,0.00,17.00,11.00,17.00,22.00,33.50,0.00,19.50,0.00,37.00,38.00,20.50,19.00,0.00,22.00,15.50,16.50,41.50,30.00,25.50,17.00,5.00,18.50,26.00,7.00,20.50,6.50,17.00,40.50,41.50,35.00,6.00,30.50,24.50,22.00,21.50,24.50
2,44.00,38.00,37.00,41.00,3.00,50.50,0.00,23.50,17.50,18.50,29.50,48.50,3.50,33.50,0.00,53.50,54.50,37.50,36.50,0.00,38.50,29.50,23.50,59.50,41.50,41.50,27.50,10.50,33.50,42.50,8.00,23.00,6.50,28.00,59.00,56.00,48.50,12.50,43.50,40.50,23.00,21.50,38.00
3,60.00,50.00,52.00,54.50,17.00,68.00,5.50,33.50,19.50,23.00,31.00,63.50,15.00,44.00,0.00,69.50,67.50,49.00,54.50,0.00,53.50,45.00,34.50,73.50,50.00,59.50,43.00,14.50,42.50,64.50,10.50,30.00,6.50,40.50,75.50,67.50,61.50,24.00,60.50,59.00,26.50,26.50,52.00
4,75.50,59.50,68.00,70.50,36.00,86.00,20.50,39.00,23.50,30.50,33.50,81.00,25.50,53.00,0.00,82.00,81.00,64.00,74.50,0.00,68.00,62.50,48.50,84.50,62.50,77.00,52.50,16.50,55.00,80.00,11.50,35.50,22.50,55.00,91.00,82.00,67.00,40.00,76.50,75.00,37.00,36.50,64.00
5,93.00,69.50,85.00,87.50,53.50,99.00,34.00,41.50,25.50,43.00,37.50,99.50,41.50,62.00,11.00,94.00,90.00,80.00,94.00,13.00,82.50,80.00,63.00,92.50,69.00,93.50,57.50,18.50,64.50,91.50,13.00,48.50,33.00,70.50,108.50,98.50,72.50,48.50,95.00,86.00,52.50,53.00,74.50
6,106.50,83.00,101.50,103.50,70.50,117.00,43.00,51.00,27.50,57.00,52.50,110.50,51.50,67.00,27.50,108.50,107.50,92.50,113.00,23.00,98.00,96.00,78.00,100.00,71.00,111.00,61.00,18.50,69.00,107.50,16.50,59.50,38.00,88.00,126.00,114.50,76.50,51.50,118.00,101.00,70.00,67.50,91.50
7,119.00,98.50,124.00,120.00,83.00,134.50,47.00,68.00,30.00,71.00,65.50,123.50,62.50,73.00,43.00,117.00,125.50,99.00,130.00,37.00,114.00,116.00,94.00,112.50,73.50,131.00,67.50,18.50,75.50,127.00,16.50,71.00,42.50,98.50,137.50,125.50,88.00,59.00,132.00,115.00,87.00,82.50,108.00
8,135.00,112.50,139.50,131.50,97.00,147.00,47.00,86.00,39.00,85.00,71.00,138.00,73.50,83.00,58.00,128.50,138.50,100.00,145.50,42.50,127.00,134.50,106.50,125.50,89.00,148.50,80.50,18.50,84.50,145.00,16.50,84.50,43.00,108.50,151.50,130.50,100.50,63.50,139.50,134.50,95.50,94.50,125.00
9,147.50,126.50,155.50,138.00,109.00,161.00,47.00,105.50,47.50,101.00,77.50,153.50,77.50,90.50,74.00,136.50,147.50,102.50,161.00,42.50,142.00,151.50,112.00,135.50,105.50,165.50,96.50,18.50,92.50,159.50,16.50,94.00,43.00,123.00,163.50,132.50,114.50,67.50,144.00,152.00,96.00,106.00,144.50
