# ILIAMNA_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,4.50,14.00,0.00,5.00,0.00,0.00,0.00,0.00,16.50,2.50,0.11,17.50,0.00,9.00,0.00,16.00,16.00,0.50,0.00,0.00,13.50,2.00,6.00,17.00,16.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,11.00,18.00,0.00,0.00,8.50,4.50,0.00,8.00
1,20.00,23.50,0.00,10.50,0.00,0.00,0.00,0.00,29.50,2.50,14.11,28.50,0.00,12.50,0.00,27.00,28.50,0.50,0.00,0.00,28.00,5.50,9.00,36.50,31.50,11.00,4.50,0.00,13.50,0.00,2.00,0.00,0.50,0.00,29.50,34.00,32.00,0.00,4.50,18.00,4.50,3.50,15.00
2,36.00,30.50,1.00,13.00,3.00,0.00,0.00,0.00,40.00,2.50,25.61,32.50,0.00,22.50,0.00,37.50,38.50,0.50,0.00,0.00,42.50,18.50,12.00,48.50,45.00,20.50,11.00,0.00,27.00,1.50,3.00,0.00,0.50,18.00,37.50,51.50,43.00,0.00,9.50,28.50,4.50,3.50,29.00
3,53.00,40.50,6.50,25.00,12.50,1.00,0.00,0.00,54.00,2.50,25.61,32.50,0.00,26.50,0.00,49.00,50.00,0.50,4.00,0.00,58.50,32.00,12.00,56.00,52.50,37.00,17.50,0.00,44.50,7.00,3.00,0.00,0.50,35.50,41.50,67.50,49.00,0.00,9.50,38.50,4.50,3.50,42.50
4,69.50,53.50,14.50,40.00,30.50,11.50,0.00,0.00,63.00,2.50,25.61,33.50,0.00,28.00,0.00,59.00,56.50,10.50,18.00,0.00,74.00,47.00,12.00,60.50,55.00,52.50,24.50,0.00,61.50,17.00,4.00,0.00,0.50,51.00,42.00,79.50,60.50,0.00,12.50,54.50,4.50,6.50,54.50
5,84.50,66.00,26.00,54.00,49.50,23.00,0.00,0.00,67.00,2.50,25.61,39.50,0.00,36.50,0.00,64.00,61.50,21.50,33.50,0.00,90.50,59.00,13.00,64.50,55.00,71.50,24.50,0.00,78.50,20.00,4.00,0.00,0.50,67.50,48.50,90.00,77.00,0.00,17.00,67.50,4.50,6.50,64.00
6,98.00,80.50,29.50,63.00,71.50,24.50,0.00,0.00,77.50,2.50,25.61,54.00,3.84,47.00,12.00,67.50,67.00,30.00,49.50,0.00,104.50,67.50,13.00,72.50,55.00,91.00,24.50,0.00,92.50,20.50,4.00,6.50,2.50,83.50,54.50,99.50,89.50,0.00,25.00,80.50,8.50,8.50,76.50
7,109.00,95.50,36.50,67.50,90.00,25.50,0.00,5.50,86.00,2.50,25.61,56.00,7.23,55.50,30.50,69.50,78.00,34.50,63.50,0.00,119.50,83.50,18.50,82.50,55.00,112.50,24.50,0.00,106.50,29.00,4.00,10.50,2.50,100.00,54.50,101.00,104.00,0.00,33.00,96.00,9.50,11.50,92.50
8,115.50,112.00,47.00,67.50,111.50,37.00,0.00,20.00,91.00,2.50,32.61,56.00,22.23,57.50,51.50,75.00,87.00,39.50,77.50,0.00,134.50,100.50,18.50,88.50,55.00,128.50,24.50,0.00,123.50,42.50,4.00,11.50,2.50,108.50,54.50,101.00,119.00,0.00,36.00,111.50,9.50,23.50,109.50
9,120.00,129.50,50.50,67.50,131.50,49.50,0.00,33.50,105.00,2.50,32.61,56.00,38.73,61.00,68.50,80.00,93.00,39.50,90.00,0.00,146.50,117.50,18.50,93.00,69.00,149.00,24.50,0.00,132.50,56.50,4.00,11.50,2.50,116.00,67.00,101.00,135.50,0.00,36.00,127.50,9.50,23.50,126.50
