# SITKA_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,22.00,21.00,14.00,13.50,19.50,17.50,19.00,3.50,24.00,14.00,14.50,13.50,15.50,18.50,22.50,14.00,17.00,16.50,19.00,19.00,22.50,18.50,18.50,22.50,18.00,25.50,17.00,6.50,15.50,14.50,23.50,0.00,14.00,19.50,15.00,21.50,23.00,13.50,11.00,17.00,18.00,17.50,21.50
1,42.00,40.00,30.00,27.50,37.50,38.00,34.50,9.00,41.50,29.00,35.50,26.50,29.00,38.00,43.00,31.50,37.50,26.50,37.00,32.50,44.00,36.50,37.50,45.50,33.50,49.50,33.00,14.50,36.50,33.00,43.50,3.50,29.00,40.00,26.00,40.50,44.00,27.50,24.00,33.50,35.50,34.50,39.00
2,59.00,55.50,43.50,39.00,57.00,57.50,55.00,11.50,58.00,40.50,58.50,38.50,41.50,62.50,64.50,51.50,52.50,34.00,52.50,47.00,61.50,53.50,52.50,69.50,50.50,70.50,48.50,21.50,54.50,46.00,60.50,11.50,42.00,57.00,32.00,63.50,66.50,36.50,37.00,49.50,50.00,51.00,56.00
3,73.50,72.50,55.50,53.00,81.00,71.00,70.50,13.50,80.00,56.00,80.50,47.00,55.50,87.00,81.00,66.50,65.50,46.00,66.50,59.50,76.00,68.00,63.50,89.00,67.50,93.00,65.00,35.50,72.50,61.50,76.00,26.00,49.00,72.50,39.00,85.00,91.50,39.00,50.50,63.50,63.50,69.00,73.50
4,93.00,89.50,73.00,64.00,105.00,83.00,85.00,18.50,99.50,70.00,100.00,64.50,70.00,111.00,93.50,83.00,78.00,63.00,79.50,71.50,91.00,85.00,69.50,104.00,85.00,113.50,83.50,56.50,94.00,75.50,91.50,44.50,55.00,87.00,47.00,105.50,115.50,39.00,62.50,78.00,78.50,88.50,95.00
5,112.50,108.00,92.00,77.00,130.50,94.00,104.00,32.50,118.50,81.50,115.50,81.00,84.50,130.50,111.50,98.00,90.00,80.00,93.50,83.50,104.50,107.50,76.00,111.00,103.50,132.50,100.50,79.50,117.00,92.50,107.50,61.50,69.50,101.00,56.00,127.50,140.50,39.50,77.50,92.50,91.50,107.50,114.00
6,132.50,133.00,110.50,95.00,154.00,111.00,124.50,50.00,139.00,92.00,129.50,99.50,108.50,150.00,134.50,111.50,103.00,95.50,108.00,93.50,121.00,129.00,79.50,111.00,124.50,157.50,116.50,96.50,139.00,100.50,119.50,76.50,84.00,116.00,73.00,151.00,166.00,42.50,93.50,107.50,105.00,130.00,133.50
7,152.00,156.50,127.00,118.00,177.00,127.50,146.50,70.00,157.50,98.50,142.00,116.00,132.00,167.00,158.50,122.50,120.00,111.50,123.00,102.00,135.50,148.00,82.50,111.00,145.50,182.00,131.00,111.00,158.50,106.50,133.50,93.00,101.00,134.00,95.00,171.00,189.00,46.00,109.50,122.50,121.50,145.00,152.00
8,171.00,180.50,143.50,140.50,204.00,146.50,166.00,92.00,175.00,99.50,161.50,132.50,153.00,183.00,181.50,134.00,146.50,126.50,138.50,118.50,149.50,166.50,85.00,112.00,161.50,207.50,146.00,121.50,177.00,111.50,150.00,111.00,116.50,152.00,114.00,188.00,211.00,51.50,127.00,143.50,140.00,159.50,168.50
9,187.00,201.50,157.00,163.00,232.50,164.00,188.00,114.00,197.00,102.00,179.50,145.50,176.00,201.00,201.00,149.00,170.50,142.00,159.50,138.50,167.00,187.50,99.00,113.50,181.50,231.50,159.00,135.50,193.50,123.50,165.00,122.00,131.50,169.00,132.50,202.00,230.50,55.00,145.50,163.00,156.50,177.50,190.00
10,201.50,228.50,169.00,187.50,256.50,183.50,214.00,135.00,218.50,112.50,197.50,157.00,196.50,223.50,221.00,166.50,189.00,156.50,179.50,160.00,190.00,209.50,115.50,117.50,200.00,254.00,171.00,148.50,210.00,138.00,182.50,131.00,145.50,184.00,154.50,219.00,247.19,61.00,164.50,182.00,170.00,194.00,208.50
