# TALKEETNA_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,2.00,10.00,2.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,0.00,10.00,0.00,8.50,1.50,0.00,3.00,0.00,0.00,0.00,6.00,8.00,1.50,18.50,13.50,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,2.00,9.50,3.00,9.50,0.00,0.00,0.00,1.50,0.00,8.50
1,8.50,16.50,2.00,0.00,3.00,0.00,0.00,0.00,21.00,0.00,9.50,12.50,0.00,17.50,1.50,0.00,3.50,0.00,0.00,1.00,9.50,9.50,6.00,35.50,29.50,0.00,0.00,0.00,6.50,0.00,25.00,0.00,0.50,4.50,17.50,8.50,19.50,0.00,0.00,0.00,1.50,0.00,18.00
2,17.50,23.00,2.00,0.00,15.50,0.00,0.00,0.00,30.00,0.00,24.00,12.50,0.00,19.00,1.50,0.00,3.50,0.00,0.00,1.00,23.00,9.50,6.00,51.00,45.50,8.50,0.00,0.00,14.00,0.00,38.50,0.00,0.50,4.50,18.50,21.00,24.50,0.00,0.00,0.00,1.50,0.00,28.50
3,29.00,28.00,2.00,0.00,30.50,0.00,0.00,0.00,37.50,0.00,24.00,12.50,0.00,25.50,1.50,0.00,3.50,0.00,0.00,1.00,34.00,15.50,6.00,64.50,47.50,23.50,0.50,0.00,25.50,0.00,40.50,0.00,0.50,9.00,23.00,37.00,33.50,0.00,0.00,0.00,1.50,0.00,42.00
4,39.50,33.50,6.50,5.00,50.00,2.50,0.00,0.00,41.50,0.00,24.50,14.50,0.00,31.00,1.50,0.00,11.00,4.50,0.00,1.00,44.50,27.50,6.00,78.00,47.50,38.50,8.50,0.00,40.50,3.00,46.50,0.00,0.50,15.00,24.00,54.00,41.00,0.00,0.00,0.50,1.50,4.50,54.50
5,47.00,39.50,14.50,9.50,68.50,8.50,0.00,0.00,52.00,0.00,24.50,23.50,0.00,32.00,1.50,0.00,16.00,11.00,0.00,1.00,48.50,42.00,6.00,89.50,47.50,49.50,10.50,0.00,58.00,4.50,53.00,4.00,0.50,18.00,24.00,68.00,50.50,0.00,0.00,8.00,1.50,4.50,65.00
6,56.00,46.00,23.00,10.00,86.50,8.50,0.00,0.00,63.50,0.00,24.50,28.50,3.50,40.50,10.00,0.00,16.00,19.50,0.00,1.00,48.50,52.50,11.50,99.50,47.50,61.00,13.50,0.00,77.50,4.50,53.00,6.50,0.50,31.50,24.00,82.00,61.00,0.00,0.00,19.50,1.50,4.50,73.50
7,68.00,50.50,27.50,10.00,109.00,11.00,0.00,7.00,72.50,0.00,28.00,28.50,17.50,41.00,27.00,0.00,16.50,19.50,0.00,1.00,48.50,64.50,12.00,107.50,47.50,78.50,15.50,0.00,94.00,4.50,53.00,17.00,0.50,44.00,24.00,85.50,75.00,0.00,1.00,33.00,5.00,4.50,79.50
8,74.50,61.00,29.50,11.00,125.50,21.00,1.50,8.50,83.50,0.00,28.00,28.50,33.00,44.00,40.00,0.00,16.50,19.50,0.00,1.00,48.50,79.50,12.00,111.50,47.50,91.50,15.50,0.00,113.00,6.50,54.50,21.00,0.50,58.50,24.00,85.50,85.50,0.00,10.50,47.50,8.50,11.00,89.00
9,74.50,70.00,29.50,11.00,145.00,31.50,12.00,15.50,103.50,1.00,28.00,28.50,50.00,44.00,52.00,0.00,27.50,21.00,1.50,1.00,48.50,94.00,12.00,114.00,60.50,113.00,15.50,0.00,126.50,15.00,54.50,27.50,0.50,65.50,30.50,85.50,99.50,0.50,11.00,64.00,8.50,20.50,102.00
10,74.50,86.50,29.50,20.00,163.00,41.00,17.50,17.00,117.00,1.00,28.00,28.50,64.50,55.00,65.00,0.00,36.00,23.50,6.50,13.00,52.00,108.50,12.00,115.00,75.50,131.00,15.50,0.00,131.00,25.50,54.50,27.50,0.50,68.50,47.00,85.50,113.50,6.50,12.00,78.00,8.50,20.50,117.00
11,74.50,101.00,29.50,34.00,177.50,50.50,26.00,17.00,130.50,1.00,38.50,28.50,77.50,67.00,74.50,0.00,43.50,34.00,18.50,23.50,64.50,124.00,12.00,115.00,91.00,144.50,15.50,0.00,140.50,31.00,54.50,27.50,0.50,74.50,57.00,85.50,128.00,7.00,18.50,90.00,8.50,20.50,128.50
12,74.50,114.50,29.50,44.00,188.00,53.50,39.50,17.00,139.00,1.50,41.00,28.50,79.50,71.50,81.00,0.00,51.50,36.00,27.00,27.00,77.50,138.00,12.00,115.00,106.00,161.00,15.50,0.00,141.50,32.50,54.50,27.50,0.50,74.50,71.50,85.50,136.00,7.50,33.00,104.50,8.50,20.50,134.00
13,74.50,127.50,29.50,55.50,205.00,53.50,48.50,17.00,149.00,3.50,49.50,34.50,83.00,73.50,94.50,0.00,63.00,36.50,40.00,36.50,88.50,153.00,12.00,115.00,117.50,175.50,15.50,0.00,141.50,32.50,61.00,27.50,8.50,74.50,88.00,85.50,141.50,7.50,39.00,120.00,8.50,20.50,134.00
14,74.50,137.00,35.00,67.50,222.50,53.50,53.00,21.00,156.50,6.50,53.00,34.50,95.00,73.50,101.50,0.00,75.00,36.50,54.50,42.50,102.50,171.50,14.50,125.50,126.50,185.50,15.50,0.00,142.50,32.50,67.00,27.50,15.50,75.50,88.00,85.50,152.00,7.50,40.00,133.00,8.50,20.50,134.00
15,74.50,142.00,40.00,79.50,239.00,54.00,67.00,27.50,163.50,8.50,55.00,34.50,106.00,73.50,101.50,0.00,83.50,36.50,70.50,42.50,117.00,185.50,25.50,142.00,131.00,194.50,15.50,0.00,151.50,32.50,73.00,34.00,15.50,75.50,88.00,94.00,155.50,7.50,53.50,151.50,8.50,20.50,147.00
16,74.50,158.50,50.50,86.00,250.50,62.50,78.50,31.00,173.00,8.50,61.50,36.50,112.50,73.50,101.50,4.00,85.00,36.50,89.00,42.50,125.50,195.00,33.00,155.50,131.00,201.50,15.50,0.00,155.50,34.50,81.50,38.50,15.50,75.50,97.00,110.50,157.00,7.50,71.50,171.00,8.50,20.50,153.50
17,74.50,180.00,66.00,89.50,256.00,72.00,85.50,32.50,180.00,11.00,67.50,41.00,115.50,73.50,101.50,4.00,90.50,43.50,108.00,42.50,138.50,198.00,38.00,166.00,131.00,212.50,15.50,0.00,155.50,34.50,91.00,43.00,15.50,75.50,102.50,122.50,157.00,7.50,87.00,193.00,18.50,20.50,164.00
18,74.50,193.00,79.00,92.50,262.50,76.50,89.00,41.50,180.00,20.00,76.50,41.00,132.00,82.50,101.50,4.00,94.00,51.00,128.50,56.00,149.00,200.50,44.50,179.50,131.00,220.50,23.50,0.00,158.00,34.50,107.00,52.00,15.50,75.50,107.00,139.00,157.00,9.50,94.50,206.50,24.50,20.50,176.00
19,74.50,207.00,93.50,104.50,271.50,89.50,101.00,52.50,186.50,32.00,86.00,41.00,144.50,84.50,101.50,4.00,102.50,61.00,150.00,71.00,165.50,200.50,49.50,190.00,132.50,229.00,33.50,0.00,158.50,34.50,119.00,54.00,15.50,75.50,113.50,154.00,164.50,9.50,98.50,225.50,37.00,20.50,187.00
20,88.50,224.00,108.00,115.50,279.50,99.00,108.50,68.00,191.00,41.00,93.50,41.00,153.00,95.00,101.50,4.00,104.50,71.50,169.00,81.50,178.50,200.50,56.50,194.00,145.00,233.50,47.50,4.00,170.00,34.50,128.50,62.00,15.50,75.50,119.50,163.50,177.50,9.50,102.00,245.50,46.50,20.50,196.50
21,99.00,232.00,123.00,120.50,286.50,109.00,121.00,86.50,200.50,52.50,100.50,41.00,165.50,107.00,101.50,4.00,109.00,78.00,184.00,90.50,192.00,200.50,63.00,194.00,161.50,243.50,58.50,7.50,180.50,34.50,135.00,72.50,15.50,75.50,123.00,179.00,198.50,9.50,111.50,269.00,51.50,20.50,207.50
22,104.00,237.00,134.00,126.00,292.00,111.00,131.00,102.50,206.00,63.50,108.50,41.00,179.50,114.50,106.00,4.00,119.00,78.00,201.50,104.50,205.50,200.50,64.50,194.00,172.00,254.00,68.50,7.50,191.00,46.50,145.50,85.50,15.50,75.50,128.50,191.00,215.00,12.00,115.50,289.50,51.50,23.00,215.00
23,118.50,249.50,147.00,130.00,301.50,114.50,141.00,121.00,206.50,80.00,115.00,48.00,195.50,114.50,117.50,4.00,128.50,78.00,219.00,121.50,218.50,205.00,65.00,195.50,186.50,266.00,75.00,7.50,202.50,58.00,160.50,95.00,22.50,76.00,135.00,203.00,230.00,15.00,120.00,309.50,58.00,23.00,230.50
24,130.50,260.50,155.00,140.50,315.50,122.50,151.50,136.50,214.50,97.50,131.50,58.00,210.50,114.50,133.50,4.00,140.00,78.00,235.00,139.00,225.50,217.50,81.00,210.50,187.00,282.00,88.00,7.50,209.50,67.50,171.50,100.50,22.50,76.00,145.00,216.50,247.50,19.00,126.00,328.50,69.00,27.00,250.50
25,136.50,278.50,157.50,153.00,329.50,123.50,154.00,151.00,219.00,107.00,147.50,70.00,219.00,117.50,144.50,4.00,154.00,87.00,249.50,148.50,232.00,233.00,93.50,225.50,187.00,295.00,95.50,7.50,215.50,84.50,177.00,111.00,22.50,76.00,153.50,233.50,265.50,19.50,127.50,346.00,77.00,31.50,266.00
26,150.50,295.00,157.50,165.50,344.00,123.50,154.00,166.50,222.50,108.50,165.00,82.00,222.50,124.50,153.00,14.50,166.50,94.00,262.50,162.50,232.00,248.50,112.00,234.00,188.00,306.50,102.00,7.50,218.00,95.00,191.00,115.00,33.50,76.00,158.50,253.00,280.50,20.00,128.00,366.00,81.50,31.50,277.00
27,157.50,308.50,159.00,178.50,359.50,123.50,154.00,179.50,228.50,108.50,181.50,92.50,222.50,137.00,168.00,30.00,179.00,100.50,272.50,172.00,232.50,260.50,115.00,240.50,197.00,314.50,106.50,7.50,218.50,99.50,203.50,120.50,52.50,76.00,161.00,270.50,296.00,30.00,137.50,385.50,82.00,31.50,295.00
28,166.00,321.50,159.00,188.00,376.00,126.50,154.00,198.00,234.00,108.50,198.00,98.00,222.50,155.00,185.50,47.50,191.00,104.50,286.50,179.50,247.50,267.50,119.00,248.00,197.00,320.50,116.00,7.50,221.00,110.00,221.00,139.00,67.50,86.50,164.00,287.00,313.00,39.00,146.00,405.00,86.00,39.00,312.50
29,183.50,335.50,159.00,197.50,390.50,126.50,154.00,215.50,245.50,108.50,214.00,103.00,226.00,170.50,204.00,63.00,203.50,113.00,290.00,185.00,262.00,278.50,120.50,248.50,197.00,327.50,120.00,9.00,230.50,118.50,236.50,155.50,78.50,99.50,168.00,307.00,330.50,47.50,155.00,424.00,92.00,47.00,324.00
30,198.00,349.00,159.00,210.50,405.00,126.50,154.00,229.50,259.50,117.00,227.00,105.00,237.00,190.00,223.00,82.50,214.50,114.00,294.00,194.50,275.50,284.00,120.50,248.50,197.00,347.00,133.50,12.00,244.50,121.00,255.50,165.00,96.00,111.50,173.50,320.50,355.50,66.50,164.50,442.50,92.00,49.50,339.50
31,216.00,359.50,159.00,221.50,421.50,126.50,154.00,241.00,274.50,127.00,237.00,107.00,251.00,208.50,246.00,99.50,219.50,125.50,313.00,209.00,289.00,284.00,121.50,249.50,197.00,355.50,151.50,15.50,262.00,121.00,273.00,171.50,111.50,120.50,182.50,338.50,379.50,88.00,173.50,459.00,97.00,49.50,356.00
32,234.00,365.00,159.00,234.50,435.50,126.50,160.50,250.00,284.50,137.50,246.00,118.50,261.50,225.50,267.00,115.00,220.00,136.50,324.00,218.00,303.50,289.00,122.50,249.50,204.50,357.00,160.50,21.00,279.50,121.00,291.00,184.00,122.00,126.00,187.50,358.50,397.00,106.00,184.50,473.50,107.00,49.50,368.50
33,253.50,367.50,159.00,246.50,446.50,129.50,165.50,263.50,293.00,145.00,262.00,128.50,267.50,238.50,286.50,131.00,220.00,143.50,343.00,218.00,317.50,301.50,129.00,256.00,222.50,365.50,168.00,26.00,295.50,127.50,304.00,202.50,129.50,139.00,193.00,375.00,416.00,119.50,189.50,488.50,122.00,49.50,381.00
34,272.00,371.50,163.50,262.50,459.00,129.50,165.50,279.00,302.50,154.50,280.00,144.00,268.00,249.50,303.50,152.50,236.00,154.50,360.00,218.00,332.00,315.00,142.00,264.00,237.50,378.00,183.50,39.00,313.50,136.50,318.00,214.00,137.50,147.00,204.50,388.50,435.00,142.00,191.00,502.00,135.50,63.00,389.00
35,290.00,373.50,170.00,272.00,476.50,129.50,168.00,295.00,312.00,162.50,291.50,155.50,268.50,263.00,319.50,170.50,252.50,171.50,379.00,228.00,345.50,325.50,160.50,268.00,259.00,397.50,195.00,53.50,322.50,140.00,338.50,227.50,154.50,153.00,220.50,402.50,454.50,164.00,204.50,518.50,148.50,63.00,400.00
36,304.00,377.50,174.50,287.00,488.50,129.50,168.00,310.50,316.00,170.00,310.00,170.50,270.00,274.00,334.50,184.50,269.50,193.50,398.50,237.50,354.50,333.50,174.00,274.00,281.50,417.50,207.50,78.00,329.00,143.50,352.50,235.50,168.50,153.00,239.00,417.50,476.00,186.00,215.50,536.00,151.50,63.00,415.00
37,322.00,383.50,191.00,299.50,502.00,140.50,168.00,324.00,319.00,178.00,330.00,185.50,276.50,286.00,345.50,200.00,277.00,214.50,414.00,237.50,366.50,346.00,186.50,290.50,303.50,435.00,224.00,97.50,332.00,151.00,361.00,244.00,181.50,153.00,253.00,439.00,497.00,203.50,229.00,557.00,151.50,63.00,427.00
38,340.00,389.50,202.00,311.00,515.50,147.00,168.00,340.00,331.50,188.00,349.50,197.50,287.00,304.50,359.50,218.00,284.00,234.50,431.50,237.50,376.50,358.50,191.50,307.00,323.00,451.50,239.50,121.50,333.00,155.50,367.50,259.00,193.50,153.00,261.00,453.00,514.50,217.50,247.00,576.50,158.50,63.00,436.50
39,355.00,395.50,214.00,321.00,534.50,147.00,168.00,351.00,352.00,196.00,366.00,211.50,298.00,324.00,374.50,237.50,294.00,252.00,449.50,237.50,388.50,370.50,203.00,328.50,341.50,469.50,255.50,142.50,342.00,168.00,375.00,268.00,204.00,153.00,261.00,471.00,538.00,233.50,269.50,597.50,158.50,63.00,446.00
40,369.50,404.50,223.50,328.00,545.50,147.00,168.00,364.50,363.50,216.50,382.50,224.50,305.50,343.50,391.00,256.50,309.50,269.00,467.00,251.00,399.00,386.50,209.00,349.50,357.00,485.50,270.50,161.00,346.50,185.50,383.00,276.00,215.50,153.00,265.00,490.50,557.50,251.50,291.00,615.00,160.00,63.00,456.00
41,386.00,413.00,233.00,328.00,557.00,147.00,170.50,377.50,381.00,235.50,403.00,237.00,305.50,361.50,408.00,274.50,325.00,287.00,483.50,265.50,412.50,406.00,211.00,371.50,374.50,501.50,280.00,178.50,346.50,199.50,396.50,289.50,229.50,153.00,271.50,507.00,576.50,270.50,314.00,633.00,165.50,66.00,469.50
