# All climatologies for cumulative degree days > 25, 1991-2020
# Cumulative degree days starting March 1 from ACIS, expressed in Julian Day
#
julian_day,GULKANA_AIRPORT,TANANA_AIRPORT,BETHEL_AIRPORT,ANCHORAGE_MERRILL_FIELD,EAGLE,BIG_DELTA_AIRPORT,KOTZEBUE_AIRPORT,SITKA_AIRPORT,MCGRATH_AP,TALKEETNA_AIRPORT,KENAI_AIRPORT,NORTH_POLE,NOME_AIRPORT,BETTLES_AIRPORT,NORTHWAY_AIRPORT,NENANA_MUNICIPAL_AIRPORT,CHICKEN,FAIRBANKS_INTL_AP,MCKINLEY_PARK
60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
