# AUKE_BAY
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 2016
#
d_since_march1,Tavg_F,dd
0,32.10,7.10
1,32.14,7.14
2,31.41,6.41
3,30.05,5.05
4,29.90,4.90
5,29.86,4.86
6,30.09,5.09
7,30.78,5.78
8,32.12,7.12
9,32.26,7.26
10,32.09,7.09
11,31.45,6.45
12,32.09,7.09
13,32.60,7.60
14,32.66,7.66
15,33.26,8.26
16,33.79,8.79
17,33.97,8.97
18,34.18,9.18
19,34.09,9.09
20,35.32,10.32
21,35.19,10.19
22,35.41,10.41
23,35.78,10.78
24,36.61,11.61
25,37.38,12.38
26,37.19,12.19
27,37.25,12.25
28,37.08,12.08
29,37.57,12.57
30,37.67,12.67
31,36.70,11.70
32,36.97,11.97
33,37.14,12.14
34,37.64,12.64
35,38.62,13.62
36,38.62,13.62
37,39.53,14.53
38,40.45,15.45
39,39.95,14.95
40,40.40,15.40
41,40.17,15.17
42,41.04,16.04
43,41.62,16.62
44,41.52,16.52
45,41.50,16.50
46,42.41,17.41
47,42.43,17.43
48,42.24,17.24
49,42.72,17.72
50,43.34,18.34
51,43.64,18.64
52,44.57,19.57
53,44.22,19.22
54,44.86,19.86
55,45.53,20.53
56,45.42,20.42
57,45.34,20.34
58,45.60,20.60
59,44.93,19.93
60,45.24,20.24
61,45.78,20.78
62,46.47,21.47
63,46.60,21.60
64,45.79,20.79
65,45.91,20.91
66,46.67,21.67
67,46.95,21.95
68,47.07,22.07
69,48.14,23.14
70,49.07,24.07
71,49.50,24.50
72,49.16,24.16
73,49.86,24.86
74,50.40,25.40
75,49.59,24.59
76,50.02,25.02
77,50.77,25.77
78,51.07,26.07
79,51.50,26.50
80,51.95,26.95
81,52.05,27.05
82,52.40,27.40
83,52.28,27.28
84,53.17,28.17
85,52.34,27.34
86,53.69,28.69
87,53.14,28.14
88,53.78,28.78
89,54.08,29.08
90,53.60,28.60
91,54.16,29.16
92,53.52,28.52
93,53.79,28.79
94,53.67,28.67
95,54.53,29.53
96,54.38,29.38
97,54.62,29.62
98,55.16,30.16
99,55.21,30.21
100,54.93,29.93
101,55.90,30.90
102,54.93,29.93
103,55.05,30.05
104,55.34,30.34
105,55.66,30.66
106,56.03,31.03
107,56.90,31.90
108,56.67,31.67
109,55.98,30.98
110,56.03,31.03
111,57.28,32.28
112,56.67,31.67
113,57.88,32.88
114,57.43,32.43
115,58.16,33.16
116,58.00,33.00
117,57.21,32.21
118,57.26,32.26
119,57.95,32.95
120,57.70,32.70
121,56.60,31.60
