# BETHEL_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,11.57,0.00
1,13.25,0.00
2,13.80,0.00
3,15.17,0.00
4,16.37,0.00
5,16.23,0.00
6,15.35,0.00
7,13.72,0.00
8,12.87,0.00
9,11.90,0.00
10,11.57,0.00
11,12.33,0.00
12,12.68,0.00
13,11.32,0.00
14,10.07,0.00
15,12.30,0.00
16,14.43,0.00
17,12.77,0.00
18,14.02,0.00
19,15.05,0.00
20,15.30,0.00
21,15.03,0.00
22,16.58,0.00
23,17.73,0.00
24,16.88,0.00
25,15.72,0.00
26,16.45,0.00
27,16.95,0.00
28,17.10,0.00
29,16.22,0.00
30,18.18,0.00
31,20.63,0.00
32,21.87,0.00
33,24.35,0.00
34,23.53,0.00
35,22.18,0.00
36,22.23,0.00
37,23.65,0.00
38,24.38,0.00
39,26.10,1.10
40,25.92,0.92
41,24.23,0.00
42,26.08,1.08
43,26.80,1.80
44,28.67,3.67
45,27.66,2.66
46,28.37,3.37
47,29.28,4.28
48,30.70,5.70
49,30.42,5.42
50,31.47,6.47
51,33.60,8.60
52,34.33,9.33
53,33.88,8.88
54,34.55,9.55
55,35.35,10.35
56,35.85,10.85
57,34.80,9.80
58,35.50,10.50
59,36.87,11.87
60,37.50,12.50
61,36.15,11.15
62,36.50,11.50
63,35.30,10.30
64,35.37,10.37
65,37.97,12.97
66,38.78,13.78
67,38.03,13.03
68,37.67,12.67
69,39.63,14.63
70,41.07,16.07
71,41.20,16.20
72,41.55,16.55
73,42.23,17.23
74,42.88,17.88
75,43.90,18.90
76,44.20,19.20
77,44.07,19.07
78,43.08,18.08
79,43.88,18.88
80,44.53,19.53
81,45.92,20.92
82,45.75,20.75
83,46.25,21.25
84,46.75,21.75
85,46.92,21.92
86,46.82,21.82
87,47.65,22.65
88,49.27,24.27
89,50.20,25.20
90,50.38,25.38
91,50.53,25.53
92,50.87,25.87
93,51.00,26.00
94,51.75,26.75
95,52.17,27.17
96,53.05,28.05
97,52.90,27.90
98,50.97,25.97
99,50.30,25.30
100,50.80,25.80
101,51.03,26.03
102,51.92,26.92
103,52.39,27.39
104,53.73,28.73
105,53.68,28.68
106,53.62,28.62
107,55.36,30.36
108,55.30,30.30
109,54.63,29.63
110,53.93,28.93
111,53.73,28.73
112,54.35,29.35
113,54.93,29.93
114,54.62,29.62
115,54.55,29.55
116,55.53,30.53
117,54.53,29.53
118,54.38,29.38
119,54.43,29.43
120,54.67,29.67
121,54.88,29.88
