# BIG_DELTA_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 1992, 1993, 1997, 1991
#
d_since_march1,Tavg_F,dd
0,7.92,0.00
1,9.06,0.00
2,8.40,0.00
3,9.58,0.00
4,10.08,0.00
5,9.98,0.00
6,10.37,0.00
7,10.19,0.00
8,11.12,0.00
9,10.21,0.00
10,11.00,0.00
11,11.00,0.00
12,10.19,0.00
13,10.79,0.00
14,11.10,0.00
15,13.00,0.00
16,12.06,0.00
17,13.12,0.00
18,12.56,0.00
19,14.92,0.00
20,15.31,0.00
21,15.98,0.00
22,19.31,0.00
23,20.48,0.00
24,21.15,0.00
25,19.81,0.00
26,17.56,0.00
27,20.44,0.00
28,21.37,0.00
29,21.90,0.00
30,22.56,0.00
31,24.90,0.00
32,24.40,0.00
33,25.37,0.37
34,26.44,1.44
35,28.63,3.63
36,27.62,2.62
37,27.06,2.06
38,27.17,2.17
39,28.85,3.85
40,29.92,4.92
41,30.63,5.63
42,30.85,5.85
43,31.08,6.08
44,32.42,7.42
45,33.10,8.10
46,32.33,7.33
47,33.54,8.54
48,36.77,11.77
49,37.04,12.04
50,38.96,13.96
51,38.50,13.50
52,39.77,14.77
53,40.13,15.13
54,39.71,14.71
55,39.15,14.15
56,40.19,15.19
57,41.31,16.31
58,40.35,15.35
59,41.62,16.62
60,41.58,16.58
61,41.37,16.37
62,40.67,15.67
63,41.69,16.69
64,41.60,16.60
65,41.71,16.71
66,43.29,18.29
67,44.38,19.38
68,45.52,20.52
69,45.92,20.92
70,47.15,22.15
71,47.02,22.02
72,47.56,22.56
73,47.17,22.17
74,47.67,22.67
75,48.10,23.10
76,48.44,23.44
77,47.69,22.69
78,48.65,23.65
79,50.50,25.50
80,51.27,26.27
81,51.79,26.79
82,52.37,27.37
83,52.38,27.38
84,54.06,29.06
85,53.71,28.71
86,54.58,29.58
87,53.38,28.38
88,53.25,28.25
89,54.75,29.75
90,55.37,30.37
91,54.63,29.63
92,53.62,28.62
93,53.69,28.69
94,54.15,29.15
95,54.42,29.42
96,55.54,30.54
97,56.15,31.15
98,57.10,32.10
99,57.94,32.94
100,58.27,33.27
101,58.35,33.35
102,57.17,32.17
103,55.92,30.92
104,56.56,31.56
105,58.13,33.13
106,59.38,34.38
107,59.52,34.52
108,60.27,35.27
109,59.98,34.98
110,59.92,34.92
111,60.42,35.42
112,60.06,35.06
113,59.56,34.56
114,59.10,34.10
115,60.75,35.75
116,60.81,35.81
117,59.08,34.08
118,59.21,34.21
119,60.12,35.12
120,61.06,36.06
121,60.83,35.83
