# HAINES_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 1991, 1993, 1994, 1995, 1996, 1997, 1998
#
d_since_march1,Tavg_F,dd
0,30.09,5.09
1,29.99,4.99
2,29.05,4.05
3,28.11,3.11
4,26.48,1.48
5,27.83,2.83
6,28.17,3.17
7,28.61,3.61
8,30.52,5.52
9,30.33,5.33
10,29.93,4.93
11,29.52,4.52
12,29.63,4.63
13,29.35,4.35
14,29.85,4.85
15,31.13,6.13
16,32.04,7.04
17,31.26,6.26
18,32.15,7.15
19,32.54,7.54
20,33.09,8.09
21,33.54,8.54
22,35.04,10.04
23,35.02,10.02
24,36.17,11.17
25,36.41,11.41
26,36.02,11.02
27,35.98,10.98
28,36.74,11.74
29,36.89,11.89
30,36.52,11.52
31,36.57,11.57
32,36.20,11.20
33,36.26,11.26
34,36.37,11.37
35,36.30,11.30
36,38.00,13.00
37,39.11,14.11
38,39.57,14.57
39,38.98,13.98
40,39.41,14.41
41,40.43,15.43
42,40.57,15.57
43,41.50,16.50
44,40.89,15.89
45,40.89,15.89
46,41.63,16.63
47,41.85,16.85
48,41.59,16.59
49,42.26,17.26
50,43.13,18.13
51,43.02,18.02
52,43.04,18.04
53,43.63,18.63
54,44.07,19.07
55,45.00,20.00
56,44.85,19.85
57,45.33,20.33
58,44.41,19.41
59,45.00,20.00
60,45.39,20.39
61,45.85,20.85
62,46.24,21.24
63,45.71,20.71
64,45.53,20.53
65,46.35,21.35
66,46.43,21.43
67,47.04,22.04
68,48.17,23.17
69,48.96,23.96
70,49.91,24.91
71,50.22,25.22
72,49.67,24.67
73,50.35,25.35
74,49.59,24.59
75,50.33,25.33
76,50.09,25.09
77,50.52,25.52
78,51.04,26.04
79,51.63,26.63
80,52.04,27.04
81,51.47,26.47
82,51.96,26.96
83,52.11,27.11
84,52.61,27.61
85,52.52,27.52
86,52.37,27.37
87,53.13,28.13
88,54.54,29.54
89,54.09,29.09
90,53.33,28.33
91,52.98,27.98
92,53.04,28.04
93,53.80,28.80
94,53.24,28.24
95,53.67,28.67
96,54.24,29.24
97,55.87,30.87
98,53.96,28.96
99,55.21,30.21
100,56.00,31.00
101,55.02,30.02
102,55.65,30.65
103,56.00,31.00
104,55.46,30.46
105,56.48,31.48
106,58.17,33.17
107,57.41,32.41
108,56.59,31.59
109,56.00,31.00
110,56.98,31.98
111,56.98,31.98
112,56.80,31.80
113,56.59,31.59
114,57.02,32.02
115,57.78,32.78
116,56.85,31.85
117,57.41,32.41
118,58.37,33.37
119,57.70,32.70
120,57.22,32.22
121,57.24,32.24
