# ILIAMNA_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 1992, 1995
#
d_since_march1,Tavg_F,dd
0,20.11,0.00
1,21.07,0.00
2,21.46,0.00
3,21.14,0.00
4,21.96,0.00
5,22.52,0.00
6,23.84,0.00
7,23.39,0.00
8,21.00,0.00
9,21.25,0.00
10,21.36,0.00
11,20.36,0.00
12,22.41,0.00
13,21.66,0.00
14,20.79,0.00
15,21.67,0.00
16,22.05,0.00
17,21.43,0.00
18,19.77,0.00
19,21.14,0.00
20,22.82,0.00
21,23.41,0.00
22,24.38,0.00
23,25.89,0.89
24,25.84,0.84
25,24.88,0.00
26,24.57,0.00
27,26.39,1.39
28,25.68,0.68
29,23.88,0.00
30,26.59,1.59
31,28.41,3.41
32,29.12,4.12
33,30.41,5.41
34,30.95,5.95
35,31.21,6.21
36,29.27,4.27
37,29.48,4.48
38,30.95,5.95
39,31.09,6.09
40,32.80,7.80
41,32.52,7.52
42,32.50,7.50
43,33.27,8.27
44,34.18,9.18
45,34.70,9.70
46,33.91,8.91
47,34.62,9.62
48,36.04,11.04
49,36.38,11.38
50,36.16,11.16
51,36.88,11.88
52,38.34,13.34
53,38.75,13.75
54,39.12,14.12
55,39.39,14.39
56,40.05,15.05
57,39.88,14.88
58,39.46,14.46
59,40.50,15.50
60,39.82,14.82
61,40.34,15.34
62,39.80,14.80
63,40.46,15.46
64,41.20,16.20
65,40.80,15.80
66,42.00,17.00
67,42.02,17.02
68,41.66,16.66
69,42.59,17.59
70,43.20,18.20
71,43.95,18.95
72,43.71,18.71
73,44.38,19.38
74,44.71,19.71
75,44.20,19.20
76,45.09,20.09
77,44.70,19.70
78,44.50,19.50
79,44.93,19.93
80,46.20,21.20
81,46.70,21.70
82,47.16,22.16
83,47.21,22.21
84,47.29,22.29
85,46.68,21.68
86,47.77,22.77
87,48.86,23.86
88,49.14,24.14
89,50.32,25.32
90,50.14,25.14
91,49.18,24.18
92,50.07,25.07
93,50.80,25.80
94,50.23,25.23
95,50.64,25.64
96,50.21,25.21
97,50.54,25.54
98,50.71,25.71
99,49.16,24.16
100,49.43,24.43
101,50.66,25.66
102,50.46,25.46
103,51.00,26.00
104,51.66,26.66
105,53.09,28.09
106,53.84,28.84
107,54.09,29.09
108,53.98,28.98
109,52.62,27.62
110,53.04,28.04
111,53.11,28.11
112,53.47,28.47
113,53.35,28.35
114,53.68,28.68
115,53.94,28.94
116,54.21,29.21
117,54.41,29.41
118,54.89,29.89
119,54.71,29.71
120,55.34,30.34
121,53.85,28.85
