# KETCHIKAN_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,36.30,11.30
1,36.35,11.35
2,36.68,11.68
3,34.51,9.51
4,34.58,9.58
5,35.08,10.08
6,34.95,9.95
7,34.82,9.82
8,35.07,10.07
9,36.17,11.17
10,37.70,12.70
11,38.03,13.03
12,38.92,13.92
13,38.15,13.15
14,36.98,11.98
15,36.62,11.62
16,37.35,12.35
17,37.52,12.52
18,37.97,12.97
19,38.67,13.67
20,38.82,13.82
21,39.77,14.77
22,39.00,14.00
23,39.33,14.33
24,39.83,14.83
25,40.13,15.13
26,39.82,14.82
27,39.92,14.92
28,40.63,15.63
29,40.58,15.58
30,40.73,15.73
31,39.87,14.87
32,39.72,14.72
33,39.48,14.48
34,40.22,15.22
35,41.35,16.35
36,41.93,16.93
37,41.97,16.97
38,41.30,16.30
39,41.50,16.50
40,41.72,16.72
41,42.02,17.02
42,42.47,17.47
43,42.52,17.52
44,43.42,18.42
45,43.68,18.68
46,44.25,19.25
47,43.08,18.08
48,42.92,17.92
49,43.25,18.25
50,43.77,18.77
51,44.25,19.25
52,44.55,19.55
53,45.13,20.13
54,45.35,20.35
55,45.78,20.78
56,46.40,21.40
57,46.33,21.33
58,45.42,20.42
59,45.45,20.45
60,45.52,20.52
61,46.65,21.65
62,47.02,22.02
63,46.15,21.15
64,46.55,21.55
65,46.53,21.53
66,46.38,21.38
67,46.73,21.73
68,47.95,22.95
69,47.80,22.80
70,48.67,23.67
71,48.80,23.80
72,49.05,24.05
73,48.92,23.92
74,49.32,24.32
75,49.83,24.83
76,50.38,25.38
77,49.98,24.98
78,50.72,25.72
79,51.20,26.20
80,51.40,26.40
81,51.25,26.25
82,51.30,26.30
83,52.15,27.15
84,52.37,27.37
85,52.97,27.97
86,52.45,27.45
87,52.05,27.05
88,52.72,27.72
89,51.92,26.92
90,51.95,26.95
91,52.90,27.90
92,52.97,27.97
93,52.72,27.72
94,53.37,28.37
95,52.67,27.67
96,53.72,28.72
97,54.23,29.23
98,54.07,29.07
99,53.58,28.58
100,53.88,28.88
101,54.22,29.22
102,54.10,29.10
103,54.18,29.18
104,54.13,29.13
105,55.02,30.02
106,54.88,29.88
107,55.37,30.37
108,55.12,30.12
109,55.77,30.77
110,55.40,30.40
111,56.48,31.48
112,55.93,30.93
113,55.95,30.95
114,56.50,31.50
115,55.92,30.92
116,56.03,31.03
117,56.15,31.15
118,57.08,32.08
119,57.38,32.38
120,56.48,31.48
121,56.67,31.67
