# KODIAK_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,30.75,5.75
1,31.25,6.25
2,31.18,6.18
3,31.45,6.45
4,32.78,7.78
5,32.97,7.97
6,32.10,7.10
7,32.05,7.05
8,31.47,6.47
9,31.88,6.88
10,32.12,7.12
11,31.48,6.48
12,31.18,6.18
13,30.65,5.65
14,30.35,5.35
15,31.53,6.53
16,32.60,7.60
17,32.37,7.37
18,31.87,6.87
19,32.08,7.08
20,32.63,7.63
21,34.00,9.00
22,33.57,8.57
23,34.92,9.92
24,34.80,9.80
25,34.08,9.08
26,33.57,8.57
27,34.37,9.37
28,34.07,9.07
29,33.68,8.68
30,33.73,8.73
31,34.70,9.70
32,35.67,10.67
33,36.80,11.80
34,36.52,11.52
35,37.22,12.22
36,36.13,11.13
37,35.83,10.83
38,35.72,10.72
39,36.18,11.18
40,36.87,11.87
41,36.18,11.18
42,37.05,12.05
43,37.83,12.83
44,39.20,14.20
45,38.18,13.18
46,37.83,12.83
47,38.33,13.33
48,39.28,14.28
49,39.02,14.02
50,39.10,14.10
51,39.32,14.32
52,39.85,14.85
53,40.68,15.68
54,41.42,16.42
55,41.23,16.23
56,42.00,17.00
57,41.33,16.33
58,41.95,16.95
59,41.47,16.47
60,40.92,15.92
61,41.40,16.40
62,42.05,17.05
63,42.92,17.92
64,42.98,17.98
65,42.90,17.90
66,43.00,18.00
67,42.63,17.63
68,43.07,18.07
69,43.18,18.18
70,43.87,18.87
71,44.83,19.83
72,44.75,19.75
73,44.15,19.15
74,45.15,20.15
75,45.13,20.13
76,44.33,19.33
77,45.23,20.23
78,45.65,20.65
79,45.80,20.80
80,45.47,20.47
81,45.48,20.48
82,46.00,21.00
83,47.27,22.27
84,47.58,22.58
85,46.18,21.18
86,46.90,21.90
87,47.68,22.68
88,48.83,23.83
89,48.48,23.48
90,47.67,22.67
91,48.12,23.12
92,48.65,23.65
93,48.07,23.07
94,48.07,23.07
95,48.67,23.67
96,48.40,23.40
97,48.42,23.42
98,48.43,23.43
99,48.93,23.93
100,49.28,24.28
101,49.65,24.65
102,49.83,24.83
103,49.42,24.42
104,50.45,25.45
105,51.55,26.55
106,51.22,26.22
107,52.18,27.18
108,51.42,26.42
109,51.20,26.20
110,50.83,25.83
111,51.43,26.43
112,52.25,27.25
113,51.75,26.75
114,51.77,26.77
115,52.02,27.02
116,51.72,26.72
117,52.90,27.90
118,52.72,27.72
119,53.57,28.57
120,53.43,28.43
121,53.38,28.38
