# TALKEETNA_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,19.53,0.00
1,19.72,0.00
2,18.17,0.00
3,17.33,0.00
4,19.77,0.00
5,20.13,0.00
6,21.75,0.00
7,22.58,0.00
8,21.48,0.00
9,21.63,0.00
10,21.75,0.00
11,21.93,0.00
12,21.45,0.00
13,21.67,0.00
14,21.80,0.00
15,22.60,0.00
16,23.12,0.00
17,23.38,0.00
18,24.85,0.00
19,24.28,0.00
20,24.53,0.00
21,25.75,0.75
22,26.10,1.10
23,27.60,2.60
24,28.03,3.03
25,27.62,2.62
26,27.58,2.58
27,28.32,3.32
28,29.62,4.62
29,29.07,4.07
30,29.90,4.90
31,30.67,5.67
32,30.20,5.20
33,31.02,6.02
34,32.50,7.50
35,33.98,8.98
36,33.03,8.03
37,32.45,7.45
38,32.12,7.12
39,33.08,8.08
40,33.08,8.08
41,33.00,8.00
42,33.87,8.87
43,34.13,9.13
44,35.42,10.42
45,36.10,11.10
46,35.78,10.78
47,36.50,11.50
48,37.90,12.90
49,38.80,13.80
50,38.28,13.28
51,39.32,14.32
52,39.63,14.63
53,39.83,14.83
54,40.53,15.53
55,40.73,15.73
56,41.60,16.60
57,41.35,16.35
58,41.22,16.22
59,40.95,15.95
60,42.10,17.10
61,42.45,17.45
62,41.58,16.58
63,42.40,17.40
64,42.58,17.58
65,42.57,17.57
66,43.22,18.22
67,44.45,19.45
68,43.92,18.92
69,45.48,20.48
70,45.90,20.90
71,45.78,20.78
72,47.18,22.18
73,47.02,22.02
74,47.33,22.33
75,47.15,22.15
76,47.48,22.48
77,47.42,22.42
78,47.63,22.63
79,48.78,23.78
80,49.00,24.00
81,50.70,25.70
82,51.43,26.43
83,51.10,26.10
84,51.28,26.28
85,51.60,26.60
86,51.62,26.62
87,52.22,27.22
88,53.47,28.47
89,53.98,28.98
90,52.67,27.67
91,52.35,27.35
92,52.68,27.68
93,53.62,28.62
94,54.48,29.48
95,54.13,29.13
96,54.65,29.65
97,53.93,28.93
98,54.73,29.73
99,54.25,29.25
100,55.90,30.90
101,55.53,30.53
102,55.78,30.78
103,55.72,30.72
104,57.25,32.25
105,57.95,32.95
106,58.67,33.67
107,58.32,33.32
108,59.07,34.07
109,59.07,34.07
110,58.03,33.03
111,57.60,32.60
112,58.35,33.35
113,58.25,33.25
114,59.23,34.23
115,59.05,34.05
116,58.82,33.82
117,58.98,33.98
118,58.98,33.98
119,60.22,35.22
120,60.13,35.13
121,60.78,35.78
