# DUTCH_HARBOR
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1984, 1986, 1987, 1988, 1989, 1990, 2001, 2008, 2009, 2018, 2019, 2021
#
d_since_march1,1985,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2002,2003,2004,2005,2006,2007,2010,2011,2012,2013,2014,2015,2016,2017,2020,2022,2023,2024
0,6.00,14.50,0.00,6.00,0.00,16.50,15.50,8.00,7.50,6.00,7.00,7.50,15.50,14.50,11.50,8.00,12.50,0.00,10.50,7.50,0.00,13.00,16.50,12.50,4.00,13.00,11.50,9.00,5.00
1,12.50,30.00,2.00,9.50,0.00,33.50,30.00,17.35,15.00,8.50,16.00,17.00,33.00,29.00,22.00,18.50,21.85,2.50,24.00,7.50,7.00,26.50,35.50,25.00,6.50,20.00,23.50,20.00,17.00
2,23.00,42.50,11.00,17.50,0.00,52.50,46.00,34.85,24.50,16.50,26.50,25.50,47.50,42.50,33.00,29.00,28.35,3.50,33.00,7.50,18.00,40.50,53.00,40.00,13.50,21.50,35.00,30.50,31.50
3,29.00,53.50,22.00,23.00,0.00,67.50,57.50,47.85,40.00,23.50,36.00,36.50,61.00,53.00,44.00,39.27,35.35,3.50,40.00,15.00,32.50,55.00,69.00,55.00,24.00,27.00,45.00,46.00,44.50
4,39.41,67.00,31.50,33.50,0.00,81.50,68.50,56.85,56.50,30.50,47.50,48.00,71.00,61.50,57.00,51.77,41.85,4.00,46.00,31.00,45.00,67.50,81.50,64.00,39.00,37.00,54.50,66.50,55.00
5,49.91,81.50,41.50,40.00,2.50,91.50,81.50,66.85,72.00,39.50,58.00,60.00,84.00,70.00,69.50,62.77,46.85,4.00,53.00,42.50,57.00,79.50,100.00,67.00,54.50,52.00,67.50,86.00,67.00
6,59.41,91.50,55.00,45.50,15.00,107.00,92.50,77.85,86.50,51.50,70.50,72.50,95.00,76.00,79.00,72.27,55.85,6.50,62.00,47.50,66.50,91.50,120.00,74.00,68.50,69.50,80.00,101.00,74.50
7,64.91,102.50,60.50,51.00,27.50,122.00,103.50,86.85,100.00,64.50,82.00,83.50,105.00,79.00,91.00,81.67,56.85,8.00,73.00,51.50,74.50,102.00,132.00,82.00,76.50,84.00,90.00,114.50,81.00
8,67.91,117.00,69.50,56.00,38.00,133.00,115.50,92.35,113.00,76.00,91.19,94.50,114.50,88.50,104.50,95.67,56.85,8.00,81.50,60.00,82.50,111.00,141.50,91.00,85.00,93.19,103.00,129.00,90.19
9,70.91,125.45,71.50,67.00,49.00,142.50,125.50,95.85,124.50,82.00,99.19,104.50,126.00,99.00,120.50,104.12,56.85,8.00,90.50,63.00,95.00,118.00,147.50,99.50,93.00,96.69,117.50,145.50,98.64
10,74.91,137.45,71.50,77.00,57.50,149.50,133.50,102.85,138.00,82.00,109.19,114.50,137.00,111.00,131.50,119.62,56.85,9.00,103.50,63.00,104.50,120.00,151.00,110.50,99.50,99.19,125.00,160.00,98.64
