# ANCHORAGE_MERRILL_FIELD
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 1991, 1992, 1993, 1994, 1995, 1996, 1997
#
d_since_march1,Tavg_F,dd
0,20.46,0.00
1,21.98,0.00
2,22.74,0.00
3,21.83,0.00
4,22.78,0.00
5,21.65,0.00
6,22.13,0.00
7,23.30,0.00
8,23.04,0.00
9,23.09,0.00
10,22.35,0.00
11,23.26,0.00
12,22.93,0.00
13,24.04,0.00
14,23.11,0.00
15,26.48,1.48
16,25.24,0.24
17,25.48,0.48
18,26.98,1.98
19,26.46,1.46
20,27.43,2.43
21,28.00,3.00
22,29.22,4.22
23,30.50,5.50
24,30.72,5.72
25,29.57,4.57
26,29.22,4.22
27,29.91,4.91
28,30.76,5.76
29,30.15,5.15
30,30.43,5.43
31,31.55,6.55
32,32.91,7.91
33,33.50,8.50
34,34.41,9.41
35,34.78,9.78
36,34.35,9.35
37,34.70,9.70
38,34.20,9.20
39,34.99,9.99
40,35.22,10.22
41,35.54,10.54
42,36.15,11.15
43,36.70,11.70
44,37.61,12.61
45,38.07,13.07
46,38.41,13.41
47,39.48,14.48
48,40.07,15.07
49,40.67,15.67
50,41.13,16.13
51,41.33,16.33
52,41.28,16.28
53,41.39,16.39
54,42.15,17.15
55,42.80,17.80
56,43.15,18.15
57,44.59,19.59
58,43.98,18.98
59,45.30,20.30
60,45.26,20.26
61,44.43,19.43
62,44.39,19.39
63,45.04,20.04
64,45.41,20.41
65,44.87,19.87
66,46.39,21.39
67,47.13,22.13
68,46.18,21.18
69,47.72,22.72
70,47.54,22.54
71,48.57,23.57
72,49.00,24.00
73,48.74,23.74
74,49.43,24.43
75,50.04,25.04
76,50.11,25.11
77,50.41,25.41
78,50.24,25.24
79,50.41,25.41
80,51.24,26.24
81,51.43,26.43
82,52.39,27.39
83,52.07,27.07
84,52.24,27.24
85,52.70,27.70
86,52.67,27.67
87,54.30,29.30
88,54.46,29.46
89,55.54,30.54
90,54.35,29.35
91,53.91,28.91
92,53.78,28.78
93,54.68,29.68
94,54.72,29.72
95,55.43,30.43
96,55.43,30.43
97,55.15,30.15
98,56.30,31.30
99,55.13,30.13
100,56.13,31.13
101,56.61,31.61
102,55.78,30.78
103,55.91,30.91
104,57.24,32.24
105,57.72,32.72
106,58.57,33.57
107,59.83,34.83
108,59.74,34.74
109,59.52,34.52
110,58.26,33.26
111,57.85,32.85
112,57.93,32.93
113,58.13,33.13
114,58.48,33.48
115,59.33,34.33
116,59.52,34.52
117,59.39,34.39
118,59.63,34.63
119,59.50,34.50
120,60.70,35.70
121,60.13,35.13
