# BETHEL_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
julian_day,Tavg_F,dd
60,10.80,0.00
61,13.92,0.00
62,13.90,0.00
63,14.72,0.00
64,15.60,0.00
65,15.73,0.00
66,16.07,0.00
67,13.93,0.00
68,12.72,0.00
69,12.58,0.00
70,12.10,0.00
71,11.32,0.00
72,12.25,0.00
73,10.82,0.00
74,9.22,0.00
75,13.15,0.00
76,14.98,0.00
77,13.40,0.00
78,13.97,0.00
79,15.27,0.00
80,14.90,0.00
81,14.12,0.00
82,14.93,0.00
83,18.32,0.00
84,18.00,0.00
85,16.87,0.00
86,16.52,0.00
87,16.68,0.00
88,16.55,0.00
89,15.95,0.00
90,17.82,0.00
91,20.67,0.00
92,21.67,0.00
93,23.43,0.00
94,23.15,0.00
95,22.63,0.00
96,22.53,0.00
97,23.08,0.00
98,23.85,0.00
99,24.92,0.00
100,26.18,1.18
101,24.78,0.00
102,25.35,0.35
103,26.38,1.38
104,27.75,2.75
105,28.03,3.03
106,28.39,3.39
107,29.27,4.27
108,30.58,5.58
109,29.97,4.97
110,31.40,6.40
111,33.38,8.38
112,34.32,9.32
113,33.63,8.63
114,34.77,9.77
115,36.00,11.00
116,35.82,10.82
117,34.90,9.90
118,35.62,10.62
119,36.32,11.32
120,37.52,12.52
121,36.10,11.10
122,36.63,11.63
123,35.33,10.33
124,34.98,9.98
125,36.97,11.97
126,38.20,13.20
127,38.50,13.50
128,38.03,13.03
129,39.40,14.40
130,40.60,15.60
131,41.45,16.45
132,40.92,15.92
133,41.62,16.62
134,42.73,17.73
135,43.87,18.87
136,44.12,19.12
137,43.88,18.88
138,44.05,19.05
139,43.70,18.70
140,44.57,19.57
141,45.48,20.48
142,45.88,20.88
143,45.93,20.93
144,46.65,21.65
145,46.98,21.98
146,46.83,21.83
147,47.42,22.42
148,48.93,23.93
149,49.42,24.42
150,50.15,25.15
151,50.32,25.32
152,51.00,26.00
153,50.92,25.92
154,51.77,26.77
155,51.80,26.80
156,53.10,28.10
157,53.20,28.20
158,51.63,26.63
159,50.67,25.67
160,50.68,25.68
161,50.97,25.97
162,51.42,26.42
163,52.11,27.11
164,53.08,28.08
165,53.50,28.50
166,53.92,28.92
167,54.76,29.76
168,55.62,30.62
169,55.42,30.42
170,53.85,28.85
171,53.65,28.65
172,53.85,28.85
173,54.50,29.50
174,55.10,30.10
175,54.75,29.75
176,55.25,30.25
177,54.45,29.45
178,54.30,29.30
179,54.80,29.80
180,54.38,29.38
181,55.10,30.10
182,54.19,29.19
