# BIG_DELTA_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 1992, 1993, 1997, 1991
#
julian_day,Tavg_F,dd
60,6.79,0.00
61,8.23,0.00
62,9.42,0.00
63,8.77,0.00
64,11.02,0.00
65,9.40,0.00
66,9.85,0.00
67,10.48,0.00
68,11.19,0.00
69,10.40,0.00
70,11.40,0.00
71,9.79,0.00
72,9.98,0.00
73,10.27,0.00
74,10.27,0.00
75,13.60,0.00
76,13.83,0.00
77,13.35,0.00
78,13.27,0.00
79,13.19,0.00
80,14.83,0.00
81,15.29,0.00
82,18.83,0.00
83,19.29,0.00
84,22.54,0.00
85,20.71,0.00
86,18.23,0.00
87,19.65,0.00
88,21.25,0.00
89,20.94,0.00
90,22.33,0.00
91,24.44,0.00
92,24.29,0.00
93,24.75,0.00
94,25.94,0.94
95,27.62,2.62
96,28.96,3.96
97,27.10,2.10
98,27.13,2.13
99,28.46,3.46
100,29.37,4.37
101,30.56,5.56
102,30.27,5.27
103,30.87,5.87
104,31.71,6.71
105,33.29,8.29
106,32.98,7.98
107,33.06,8.06
108,35.85,10.85
109,36.75,11.75
110,37.90,12.90
111,39.27,14.27
112,39.58,14.58
113,40.25,15.25
114,39.98,14.98
115,39.69,14.69
116,39.94,14.94
117,41.13,16.13
118,40.13,15.13
119,41.48,16.48
120,41.81,16.81
121,41.58,16.58
122,40.67,15.67
123,41.02,16.02
124,41.10,16.10
125,41.90,16.90
126,42.90,17.90
127,43.92,18.92
128,45.75,20.75
129,46.10,21.10
130,46.48,21.48
131,46.25,21.25
132,47.56,22.56
133,47.35,22.35
134,47.83,22.83
135,48.42,23.42
136,48.33,23.33
137,48.15,23.15
138,48.21,23.21
139,50.38,25.38
140,50.94,25.94
141,51.62,26.62
142,51.81,26.81
143,52.65,27.65
144,53.67,28.67
145,54.62,29.62
146,54.77,29.77
147,53.23,28.23
148,52.90,27.90
149,54.04,29.04
150,55.12,30.12
151,54.31,29.31
152,54.08,29.08
153,53.37,28.37
154,54.29,29.29
155,54.04,29.04
156,55.46,30.46
157,55.94,30.94
158,56.83,31.83
159,57.81,32.81
160,58.77,33.77
161,57.75,32.75
162,57.31,32.31
163,56.73,31.73
164,56.15,31.15
165,58.17,33.17
166,58.86,33.86
167,59.60,34.60
168,59.37,34.37
169,59.63,34.63
170,60.12,35.12
171,60.44,35.44
172,60.10,35.10
173,59.58,34.58
174,59.04,34.04
175,60.42,35.42
176,60.85,35.85
177,59.58,34.58
178,59.38,34.38
179,60.69,35.69
180,61.04,36.04
181,61.48,36.48
182,55.93,30.93
