# CHICKEN
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 1991, 1992, 1993, 1994, 1995, 1996, 1997, 2002, 2003
#
d_since_march1,Tavg_F,dd
0,-7.17,0.00
1,-7.14,0.00
2,-7.52,0.00
3,-7.62,0.00
4,-6.07,0.00
5,-5.50,0.00
6,-3.36,0.00
7,-0.79,0.00
8,0.62,0.00
9,0.43,0.00
10,-0.71,0.00
11,0.62,0.00
12,2.79,0.00
13,0.79,0.00
14,0.88,0.00
15,1.79,0.00
16,4.62,0.00
17,2.12,0.00
18,3.26,0.00
19,4.07,0.00
20,5.07,0.00
21,7.07,0.00
22,9.07,0.00
23,10.67,0.00
24,12.19,0.00
25,12.93,0.00
26,11.90,0.00
27,12.95,0.00
28,14.50,0.00
29,16.10,0.00
30,16.95,0.00
31,17.10,0.00
32,18.52,0.00
33,17.71,0.00
34,17.12,0.00
35,19.45,0.00
36,21.95,0.00
37,22.21,0.00
38,21.74,0.00
39,22.64,0.00
40,22.14,0.00
41,23.33,0.00
42,25.64,0.64
43,25.74,0.74
44,25.19,0.19
45,26.71,1.71
46,26.36,1.36
47,26.74,1.74
48,28.67,3.67
49,29.45,4.45
50,31.60,6.60
51,31.71,6.71
52,33.48,8.48
53,34.17,9.17
54,34.52,9.52
55,34.10,9.10
56,33.50,8.50
57,34.33,9.33
58,35.98,10.98
59,37.04,12.04
60,36.90,11.90
61,37.19,12.19
62,37.95,12.95
63,37.36,12.36
64,38.13,13.13
65,37.69,12.69
66,38.95,13.95
67,39.57,14.57
68,40.29,15.29
69,40.79,15.79
70,41.50,16.50
71,42.14,17.14
72,42.14,17.14
73,42.17,17.17
74,41.55,16.55
75,42.76,17.76
76,44.38,19.38
77,44.06,19.06
78,43.21,18.21
79,44.93,19.93
80,45.36,20.36
81,46.19,21.19
82,48.64,23.64
83,47.45,22.45
84,48.81,23.81
85,49.90,24.90
86,48.26,23.26
87,49.48,24.48
88,48.36,23.36
89,48.86,23.86
90,50.19,25.19
91,51.88,26.88
92,49.25,24.25
93,49.31,24.31
94,51.71,26.71
95,49.93,24.93
96,50.60,25.60
97,51.88,26.88
98,52.79,27.79
99,52.19,27.19
100,53.67,28.67
101,54.17,29.17
102,53.67,28.67
103,52.79,27.79
104,51.07,26.07
105,52.75,27.75
106,52.93,27.93
107,54.52,29.52
108,54.55,29.55
109,55.48,30.48
110,54.69,29.69
111,55.88,30.88
112,57.76,32.76
113,55.55,30.55
114,55.57,30.57
115,54.52,29.52
116,55.17,30.17
117,55.31,30.31
118,55.00,30.00
119,54.74,29.74
120,53.13,28.13
121,52.42,27.42
