# CORDOVA_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,29.33,4.33
1,27.82,2.82
2,27.88,2.88
3,27.23,2.23
4,28.70,3.70
5,28.88,3.88
6,28.60,3.60
7,28.45,3.45
8,29.12,4.12
9,28.67,3.67
10,28.65,3.65
11,28.80,3.80
12,28.67,3.67
13,29.78,4.78
14,30.32,5.32
15,31.55,6.55
16,30.32,5.32
17,31.32,6.32
18,31.67,6.67
19,30.37,5.37
20,31.07,6.07
21,31.82,6.82
22,33.00,8.00
23,34.18,9.18
24,33.57,8.57
25,33.65,8.65
26,34.08,9.08
27,34.02,9.02
28,34.53,9.53
29,33.63,8.63
30,33.93,8.93
31,33.60,8.60
32,34.07,9.07
33,35.08,10.08
34,35.55,10.55
35,36.57,11.57
36,36.15,11.15
37,36.07,11.07
38,35.90,10.90
39,35.98,10.98
40,35.60,10.60
41,36.47,11.47
42,36.50,11.50
43,36.67,11.67
44,37.40,12.40
45,38.35,13.35
46,37.87,12.87
47,38.45,13.45
48,38.62,13.62
49,38.15,13.15
50,38.90,13.90
51,39.52,14.52
52,40.35,15.35
53,40.60,15.60
54,40.70,15.70
55,41.20,16.20
56,41.90,16.90
57,41.68,16.68
58,41.47,16.47
59,41.40,16.40
60,41.93,16.93
61,42.38,17.38
62,41.93,16.93
63,42.77,17.77
64,42.23,17.23
65,41.73,16.73
66,42.23,17.23
67,43.13,18.13
68,43.02,18.02
69,44.47,19.47
70,44.13,19.13
71,44.23,19.23
72,44.85,19.85
73,44.58,19.58
74,45.50,20.50
75,44.95,19.95
76,44.43,19.43
77,44.43,19.43
78,45.85,20.85
79,45.88,20.88
80,46.53,21.53
81,46.90,21.90
82,47.15,22.15
83,47.68,22.68
84,47.92,22.92
85,48.15,23.15
86,48.20,23.20
87,48.67,23.67
88,49.67,24.67
89,49.05,24.05
90,48.51,23.51
91,48.12,23.12
92,48.35,23.35
93,48.65,23.65
94,49.93,24.93
95,49.87,24.87
96,49.37,24.37
97,49.80,24.80
98,49.05,24.05
99,49.87,24.87
100,51.13,26.13
101,50.87,25.87
102,50.02,25.02
103,50.32,25.32
104,50.63,25.63
105,51.50,26.50
106,52.77,27.77
107,52.78,27.78
108,52.40,27.40
109,51.28,26.28
110,51.32,26.32
111,52.23,27.23
112,52.58,27.58
113,52.68,27.68
114,52.68,27.68
115,52.73,27.73
116,53.03,28.03
117,52.97,27.97
118,53.17,28.17
119,53.97,28.97
120,53.27,28.27
121,53.93,28.93
