# EAGLE
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 2009, 2002
#
julian_day,Tavg_F,dd
60,0.17,0.00
61,-0.18,0.00
62,0.64,0.00
63,-0.48,0.00
64,0.83,0.00
65,0.64,0.00
66,2.39,0.00
67,4.82,0.00
68,4.14,0.00
69,3.77,0.00
70,2.38,0.00
71,2.10,0.00
72,3.50,0.00
73,3.86,0.00
74,5.43,0.00
75,4.98,0.00
76,8.39,0.00
77,7.89,0.00
78,8.86,0.00
79,9.39,0.00
80,9.00,0.00
81,9.16,0.00
82,11.99,0.00
83,13.65,0.00
84,14.09,0.00
85,14.29,0.00
86,15.32,0.00
87,15.27,0.00
88,16.66,0.00
89,17.64,0.00
90,19.21,0.00
91,19.75,0.00
92,20.11,0.00
93,19.29,0.00
94,19.77,0.00
95,21.46,0.00
96,23.79,0.00
97,25.45,0.45
98,25.70,0.70
99,25.54,0.54
100,24.30,0.00
101,27.16,2.16
102,27.27,2.27
103,26.86,1.86
104,26.62,1.62
105,26.52,1.52
106,28.54,3.54
107,29.91,4.91
108,30.55,5.55
109,31.43,6.43
110,33.18,8.18
111,34.47,9.47
112,36.98,11.98
113,38.54,13.54
114,38.66,13.66
115,37.73,12.73
116,36.98,11.98
117,38.00,13.00
118,38.04,13.04
119,38.30,13.30
120,39.08,14.08
121,40.21,15.21
122,40.20,15.20
123,39.54,14.54
124,39.16,14.16
125,39.59,14.59
126,40.14,15.14
127,41.76,16.76
128,42.40,17.40
129,43.93,18.93
130,45.44,20.44
131,46.27,21.27
132,45.36,20.36
133,46.75,21.75
134,46.79,21.79
135,46.02,21.02
136,46.38,21.38
137,47.36,22.36
138,46.75,21.75
139,47.64,22.64
140,48.25,23.25
141,48.64,23.64
142,49.84,24.84
143,50.96,25.96
144,51.02,26.02
145,53.91,28.91
146,54.48,29.48
147,53.41,28.41
148,53.45,28.45
149,52.68,27.68
150,54.48,29.48
151,54.55,29.55
152,54.02,29.02
153,52.66,27.66
154,53.96,28.96
155,54.27,29.27
156,55.31,30.31
157,56.02,31.02
158,56.34,31.34
159,56.57,31.57
160,57.34,32.34
161,57.96,32.96
162,58.27,33.27
163,57.52,32.52
164,57.00,32.00
165,58.27,33.27
166,58.86,33.86
167,60.09,35.09
168,59.62,34.62
169,59.68,34.68
170,59.80,34.80
171,60.88,35.88
172,61.39,36.39
173,62.05,37.05
174,60.25,35.25
175,59.62,34.62
176,60.46,35.46
177,61.21,36.21
178,60.34,35.34
179,61.59,36.59
180,60.38,35.38
181,62.41,37.41
182,62.06,37.06
