# FAIRBANKS_INTL_AP
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
julian_day,Tavg_F,dd
60,2.55,0.00
61,3.43,0.00
62,3.62,0.00
63,4.70,0.00
64,5.48,0.00
65,5.67,0.00
66,7.25,0.00
67,8.07,0.00
68,7.58,0.00
69,6.30,0.00
70,7.10,0.00
71,5.58,0.00
72,6.38,0.00
73,7.72,0.00
74,8.33,0.00
75,9.57,0.00
76,10.52,0.00
77,10.10,0.00
78,10.45,0.00
79,11.00,0.00
80,12.32,0.00
81,13.58,0.00
82,15.33,0.00
83,16.23,0.00
84,19.87,0.00
85,17.12,0.00
86,16.10,0.00
87,17.97,0.00
88,18.18,0.00
89,17.52,0.00
90,20.37,0.00
91,22.75,0.00
92,22.85,0.00
93,22.37,0.00
94,25.40,0.40
95,26.27,1.27
96,27.43,2.43
97,27.92,2.92
98,26.60,1.60
99,28.22,3.22
100,29.77,4.77
101,29.95,4.95
102,29.75,4.75
103,30.77,5.77
104,31.28,6.28
105,32.75,7.75
106,32.43,7.43
107,34.07,9.07
108,35.75,10.75
109,36.15,11.15
110,37.67,12.67
111,39.47,14.47
112,40.57,15.57
113,41.17,16.17
114,41.10,16.10
115,40.10,15.10
116,41.12,16.12
117,41.72,16.72
118,41.55,16.55
119,42.38,17.38
120,43.22,18.22
121,42.57,17.57
122,42.63,17.63
123,42.35,17.35
124,42.45,17.45
125,43.17,18.17
126,43.33,18.33
127,44.63,19.63
128,46.50,21.50
129,47.45,22.45
130,47.28,22.28
131,48.07,23.07
132,48.90,23.90
133,48.58,23.58
134,49.70,24.70
135,50.13,25.13
136,50.88,25.88
137,49.85,24.85
138,50.57,25.57
139,51.37,26.37
140,52.38,27.38
141,52.82,27.82
142,53.68,28.68
143,54.62,29.62
144,55.23,30.23
145,55.75,30.75
146,56.75,31.75
147,55.82,30.82
148,55.70,30.70
149,56.62,31.62
150,57.12,32.12
151,56.73,31.73
152,56.42,31.42
153,57.05,32.05
154,57.15,32.15
155,57.92,32.92
156,58.63,33.63
157,58.58,33.58
158,58.77,33.77
159,60.22,35.22
160,59.70,34.70
161,59.77,34.77
162,59.20,34.20
163,59.83,34.83
164,60.25,35.25
165,61.35,36.35
166,60.92,35.92
167,61.47,36.47
168,61.85,36.85
169,61.88,36.88
170,62.60,37.60
171,62.90,37.90
172,63.40,38.40
173,62.73,37.73
174,62.55,37.55
175,62.63,37.63
176,63.15,38.15
177,62.92,37.92
178,62.75,37.75
179,63.23,38.23
180,64.33,39.33
181,64.27,39.27
182,58.94,33.94
