# GULKANA_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 1995
#
d_since_march1,Tavg_F,dd
0,10.47,0.00
1,9.16,0.00
2,8.55,0.00
3,8.64,0.00
4,9.28,0.00
5,8.88,0.00
6,9.53,0.00
7,11.48,0.00
8,13.60,0.00
9,12.48,0.00
10,12.50,0.00
11,12.29,0.00
12,13.34,0.00
13,13.28,0.00
14,12.41,0.00
15,13.40,0.00
16,14.19,0.00
17,14.21,0.00
18,15.81,0.00
19,15.12,0.00
20,14.34,0.00
21,15.86,0.00
22,19.17,0.00
23,21.76,0.00
24,21.90,0.00
25,20.91,0.00
26,21.59,0.00
27,22.59,0.00
28,23.91,0.00
29,22.81,0.00
30,23.88,0.00
31,24.28,0.00
32,24.38,0.00
33,24.38,0.00
34,25.65,0.65
35,27.69,2.69
36,28.00,3.00
37,27.86,2.86
38,28.38,3.38
39,28.24,3.24
40,28.83,3.83
41,29.26,4.26
42,28.98,3.98
43,29.93,4.93
44,31.81,6.81
45,32.76,7.76
46,32.57,7.57
47,33.21,8.21
48,35.43,10.43
49,35.40,10.40
50,36.10,11.10
51,36.28,11.28
52,36.72,11.72
53,37.57,12.57
54,37.67,12.67
55,38.60,13.60
56,38.84,13.84
57,39.62,14.62
58,39.00,14.00
59,39.41,14.41
60,39.55,14.55
61,39.88,14.88
62,39.67,14.67
63,40.79,15.79
64,40.24,15.24
65,40.57,15.57
66,41.22,16.22
67,42.43,17.43
68,42.66,17.66
69,42.71,17.71
70,43.43,18.43
71,43.36,18.36
72,44.88,19.88
73,43.84,18.84
74,44.71,19.71
75,44.93,19.93
76,44.57,19.57
77,45.36,20.36
78,46.19,21.19
79,46.69,21.69
80,47.47,22.47
81,47.97,22.97
82,49.26,24.26
83,48.66,23.66
84,49.48,24.48
85,49.29,24.29
86,50.14,25.14
87,50.81,25.81
88,51.33,26.33
89,51.53,26.53
90,51.84,26.84
91,51.55,26.55
92,50.93,25.93
93,51.47,26.47
94,51.95,26.95
95,51.90,26.90
96,52.48,27.48
97,52.70,27.70
98,52.86,27.86
99,52.74,27.74
100,53.47,28.47
101,54.14,29.14
102,53.60,28.60
103,53.12,28.12
104,53.67,28.67
105,55.33,30.33
106,56.48,31.48
107,55.95,30.95
108,57.28,32.28
109,56.59,31.59
110,56.53,31.53
111,56.47,31.47
112,55.81,30.81
113,56.90,31.90
114,57.00,32.00
115,57.86,32.86
116,56.40,31.40
117,55.98,30.98
118,56.79,31.79
119,56.83,31.83
120,58.22,33.22
121,58.10,33.10
