# JUNEAU_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,31.32,6.32
1,31.07,6.07
2,30.27,5.27
3,28.92,3.92
4,28.83,3.83
5,29.50,4.50
6,29.72,4.72
7,30.68,5.68
8,31.47,6.47
9,31.75,6.75
10,31.53,6.53
11,31.57,6.57
12,32.47,7.47
13,31.87,6.87
14,32.30,7.30
15,32.57,7.57
16,33.12,8.12
17,32.75,7.75
18,33.15,8.15
19,33.22,8.22
20,34.07,9.07
21,34.93,9.93
22,34.47,9.47
23,35.10,10.10
24,35.85,10.85
25,36.90,11.90
26,36.45,11.45
27,36.93,11.93
28,36.80,11.80
29,37.25,12.25
30,36.87,11.87
31,35.73,10.73
32,36.33,11.33
33,36.38,11.38
34,37.15,12.15
35,37.78,12.78
36,38.37,13.37
37,39.63,14.63
38,38.98,13.98
39,38.85,13.85
40,39.02,14.02
41,39.17,14.17
42,40.12,15.12
43,40.60,15.60
44,40.12,15.12
45,40.85,15.85
46,41.13,16.13
47,41.28,16.28
48,41.25,16.25
49,42.02,17.02
50,42.52,17.52
51,42.90,17.90
52,43.37,18.37
53,43.20,18.20
54,43.78,18.78
55,44.65,19.65
56,44.62,19.62
57,44.40,19.40
58,44.45,19.45
59,44.20,19.20
60,44.52,19.52
61,44.95,19.95
62,45.85,20.85
63,45.02,20.02
64,44.95,19.95
65,44.65,19.65
66,45.53,20.53
67,45.70,20.70
68,46.53,21.53
69,46.97,21.97
70,47.95,22.95
71,48.22,23.22
72,48.13,23.13
73,48.87,23.87
74,48.68,23.68
75,48.88,23.88
76,49.35,24.35
77,49.97,24.97
78,49.52,24.52
79,49.83,24.83
80,50.83,25.83
81,51.28,26.28
82,50.93,25.93
83,50.92,25.92
84,51.53,26.53
85,51.80,26.80
86,52.00,27.00
87,52.42,27.42
88,52.93,27.93
89,52.88,27.88
90,52.55,27.55
91,52.10,27.10
92,52.12,27.12
93,52.33,27.33
94,52.37,27.37
95,52.80,27.80
96,52.80,27.80
97,53.22,28.22
98,53.25,28.25
99,53.38,28.38
100,53.90,28.90
101,54.27,29.27
102,53.83,28.83
103,54.35,29.35
104,54.08,29.08
105,54.05,29.05
106,55.45,30.45
107,55.42,30.42
108,55.02,30.02
109,55.48,30.48
110,55.63,30.63
111,56.10,31.10
112,55.62,30.62
113,56.45,31.45
114,56.58,31.58
115,56.70,31.70
116,56.12,31.12
117,55.95,30.95
118,56.60,31.60
119,56.55,31.55
120,56.53,31.53
121,56.18,31.18
