# KENAI_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
julian_day,Tavg_F,dd
60,20.09,0.00
61,19.57,0.00
62,20.18,0.00
63,18.93,0.00
64,20.08,0.00
65,21.10,0.00
66,22.67,0.00
67,22.65,0.00
68,21.87,0.00
69,21.42,0.00
70,21.97,0.00
71,21.65,0.00
72,21.43,0.00
73,21.67,0.00
74,21.52,0.00
75,23.37,0.00
76,23.53,0.00
77,23.70,0.00
78,24.00,0.00
79,22.62,0.00
80,23.93,0.00
81,24.08,0.00
82,26.17,1.17
83,26.57,1.57
84,29.43,4.43
85,29.13,4.13
86,28.22,3.22
87,28.08,3.08
88,28.37,3.37
89,28.27,3.27
90,29.23,4.23
91,29.50,4.50
92,31.07,6.07
93,31.48,6.48
94,31.58,6.58
95,33.03,8.03
96,33.67,8.67
97,32.77,7.77
98,31.78,6.78
99,33.42,8.42
100,33.75,8.75
101,33.58,8.58
102,33.50,8.50
103,33.62,8.62
104,34.78,9.78
105,35.27,10.27
106,36.18,11.18
107,36.72,11.72
108,37.80,12.80
109,38.07,13.07
110,38.15,13.15
111,38.58,13.58
112,39.05,14.05
113,40.37,15.37
114,40.36,15.36
115,40.43,15.43
116,41.80,16.80
117,41.25,16.25
118,41.20,16.20
119,41.97,16.97
120,41.50,16.50
121,41.95,16.95
122,41.81,16.81
123,41.48,16.48
124,41.23,16.23
125,41.98,16.98
126,42.83,17.83
127,43.38,18.38
128,42.95,17.95
129,44.28,19.28
130,44.37,19.37
131,44.63,19.63
132,44.62,19.62
133,44.77,19.77
134,45.20,20.20
135,45.07,20.07
136,45.82,20.82
137,45.02,20.02
138,46.05,21.05
139,45.37,20.37
140,47.25,22.25
141,47.30,22.30
142,47.33,22.33
143,48.07,23.07
144,48.50,23.50
145,47.85,22.85
146,47.92,22.92
147,49.02,24.02
148,49.98,24.98
149,49.83,24.83
150,50.30,25.30
151,49.35,24.35
152,49.82,24.82
153,49.75,24.75
154,50.17,25.17
155,51.10,26.10
156,51.38,26.38
157,50.67,25.67
158,51.12,26.12
159,50.70,25.70
160,51.33,26.33
161,51.62,26.62
162,51.28,26.28
163,51.10,26.10
164,51.38,26.38
165,52.03,27.03
166,52.38,27.38
167,52.47,27.47
168,53.23,28.23
169,53.22,28.22
170,53.52,28.52
171,52.78,27.78
172,52.77,27.77
173,53.50,28.50
174,52.72,27.72
175,53.63,28.63
176,53.97,28.97
177,54.27,29.27
178,54.50,29.50
179,54.95,29.95
180,54.87,29.87
181,54.58,29.58
182,54.62,29.62
