# MCGRATH_AP
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
julian_day,Tavg_F,dd
60,4.73,0.00
61,5.20,0.00
62,6.18,0.00
63,7.15,0.00
64,9.28,0.00
65,8.08,0.00
66,8.83,0.00
67,9.33,0.00
68,8.72,0.00
69,7.22,0.00
70,8.80,0.00
71,8.83,0.00
72,8.37,0.00
73,8.27,0.00
74,8.57,0.00
75,9.40,0.00
76,12.75,0.00
77,10.35,0.00
78,10.68,0.00
79,11.37,0.00
80,12.50,0.00
81,13.48,0.00
82,13.60,0.00
83,16.92,0.00
84,17.68,0.00
85,17.20,0.00
86,15.18,0.00
87,15.38,0.00
88,17.23,0.00
89,16.53,0.00
90,19.58,0.00
91,22.63,0.00
92,23.15,0.00
93,24.77,0.00
94,23.72,0.00
95,24.55,0.00
96,25.27,0.27
97,25.00,0.00
98,24.95,0.00
99,26.00,1.00
100,27.73,2.73
101,27.03,2.03
102,27.67,2.67
103,29.47,4.47
104,30.03,5.03
105,29.97,4.97
106,30.28,5.28
107,31.35,6.35
108,34.00,9.00
109,34.13,9.13
110,34.90,9.90
111,36.87,11.87
112,37.48,12.48
113,37.88,12.88
114,38.48,13.48
115,38.68,13.68
116,39.03,14.03
117,38.93,13.93
118,39.00,14.00
119,39.60,14.60
120,40.17,15.17
121,39.82,14.82
122,39.87,14.87
123,39.60,14.60
124,39.85,14.85
125,40.70,15.70
126,41.63,16.63
127,42.65,17.65
128,43.58,18.58
129,44.40,19.40
130,44.75,19.75
131,45.85,20.85
132,46.82,21.82
133,46.07,21.07
134,47.43,22.43
135,48.27,23.27
136,48.53,23.53
137,49.03,24.03
138,49.05,24.05
139,49.37,24.37
140,49.68,24.68
141,50.20,25.20
142,51.37,26.37
143,51.45,26.45
144,52.40,27.40
145,52.93,27.93
146,52.52,27.52
147,52.95,27.95
148,53.70,28.70
149,54.43,29.43
150,55.20,30.20
151,54.73,29.73
152,54.37,29.37
153,54.57,29.57
154,55.65,30.65
155,55.28,30.28
156,56.30,31.30
157,57.63,32.63
158,56.97,31.97
159,56.18,31.18
160,55.82,30.82
161,55.88,30.88
162,56.48,31.48
163,55.92,30.92
164,57.53,32.53
165,58.10,33.10
166,58.18,33.18
167,59.28,34.28
168,60.02,35.02
169,59.48,34.48
170,60.10,35.10
171,60.05,35.05
172,59.27,34.27
173,59.18,34.18
174,59.68,34.68
175,59.95,34.95
176,59.52,34.52
177,59.90,34.90
178,60.50,35.50
179,61.00,36.00
180,60.88,35.88
181,61.07,36.07
182,59.00,34.00
