# NENANA_MUN_AP
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 2003
#
julian_day,Tavg_F,dd
60,0.80,0.00
61,1.33,0.00
62,2.90,0.00
63,5.39,0.00
64,7.96,0.00
65,7.05,0.00
66,6.22,0.00
67,7.89,0.00
68,7.04,0.00
69,4.69,0.00
70,6.36,0.00
71,6.36,0.00
72,7.26,0.00
73,9.71,0.00
74,8.05,0.00
75,10.64,0.00
76,9.79,0.00
77,11.62,0.00
78,10.50,0.00
79,10.74,0.00
80,12.19,0.00
81,14.67,0.00
82,16.48,0.00
83,17.33,0.00
84,19.17,0.00
85,17.10,0.00
86,13.81,0.00
87,13.76,0.00
88,14.36,0.00
89,15.14,0.00
90,19.43,0.00
91,21.10,0.00
92,20.31,0.00
93,21.02,0.00
94,24.61,0.00
95,25.57,0.57
96,25.88,0.88
97,25.04,0.04
98,24.38,0.00
99,25.69,0.69
100,27.12,2.12
101,28.81,3.81
102,27.57,2.57
103,29.98,4.98
104,30.50,5.50
105,31.05,6.05
106,31.33,6.33
107,32.38,7.38
108,33.17,8.17
109,34.06,9.06
110,36.02,11.02
111,37.21,12.21
112,38.48,13.48
113,38.62,13.62
114,38.57,13.57
115,38.10,13.10
116,38.88,13.88
117,38.71,13.71
118,39.43,14.43
119,40.83,15.83
120,41.90,16.90
121,40.95,15.95
122,40.57,15.57
123,40.93,15.93
124,42.14,17.14
125,41.60,16.60
126,42.18,17.18
127,43.48,18.48
128,45.31,20.31
129,45.24,20.24
130,46.40,21.40
131,46.50,21.50
132,47.76,22.76
133,47.86,22.86
134,49.19,24.19
135,49.69,24.69
136,50.79,25.79
137,49.74,24.74
138,49.19,24.19
139,50.83,25.83
140,52.48,27.48
141,52.60,27.60
142,53.50,28.50
143,54.43,29.43
144,54.74,29.74
145,55.67,30.67
146,55.50,30.50
147,53.40,28.40
148,53.69,28.69
149,54.38,29.38
150,56.38,31.38
151,55.89,30.89
152,55.95,30.95
153,56.05,31.05
154,55.31,30.31
155,54.95,29.95
156,56.38,31.38
157,57.52,32.52
158,58.29,33.29
159,59.07,34.07
160,58.76,33.76
161,58.33,33.33
162,57.26,32.26
163,58.29,33.29
164,59.05,34.05
165,59.76,34.76
166,60.29,35.29
167,61.40,36.40
168,61.26,36.26
169,61.83,36.83
170,61.36,36.36
171,61.00,36.00
172,61.60,36.60
173,60.71,35.71
174,61.33,36.33
175,61.57,36.57
176,62.21,37.21
177,62.07,37.07
178,60.62,35.62
179,60.64,35.64
180,62.21,37.21
181,61.69,36.69
182,57.67,32.67
