# NORTHWAY_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,1.05,0.00
1,2.12,0.00
2,1.08,0.00
3,1.83,0.00
4,1.03,0.00
5,1.07,0.00
6,2.48,0.00
7,2.32,0.00
8,4.02,0.00
9,2.55,0.00
10,3.50,0.00
11,3.18,0.00
12,3.85,0.00
13,2.85,0.00
14,4.02,0.00
15,6.53,0.00
16,6.52,0.00
17,6.88,0.00
18,7.05,0.00
19,7.80,0.00
20,8.90,0.00
21,10.20,0.00
22,13.65,0.00
23,14.67,0.00
24,14.98,0.00
25,16.10,0.00
26,15.73,0.00
27,16.98,0.00
28,16.85,0.00
29,17.53,0.00
30,18.90,0.00
31,20.53,0.00
32,20.88,0.00
33,20.03,0.00
34,21.70,0.00
35,22.85,0.00
36,23.22,0.00
37,23.87,0.00
38,24.80,0.00
39,25.30,0.30
40,26.18,1.18
41,28.08,3.08
42,28.20,3.20
43,28.05,3.05
44,28.92,3.92
45,29.68,4.68
46,29.62,4.62
47,31.08,6.08
48,32.67,7.67
49,34.53,9.53
50,34.92,9.92
51,35.08,10.08
52,35.82,10.82
53,37.02,12.02
54,36.90,11.90
55,37.83,12.83
56,38.87,13.87
57,39.80,14.80
58,39.22,14.22
59,39.40,14.40
60,39.43,14.43
61,39.18,14.18
62,38.95,13.95
63,39.72,14.72
64,39.83,14.83
65,40.98,15.98
66,41.17,16.17
67,42.23,17.23
68,42.75,17.75
69,43.53,18.53
70,44.23,19.23
71,44.17,19.17
72,45.93,20.93
73,45.33,20.33
74,46.15,21.15
75,46.42,21.42
76,46.75,21.75
77,46.40,21.40
78,46.38,21.38
79,47.77,22.77
80,48.88,23.88
81,50.05,25.05
82,51.15,26.15
83,51.12,26.12
84,51.72,26.72
85,51.72,26.72
86,52.00,27.00
87,51.77,26.77
88,51.73,26.73
89,52.98,27.98
90,52.53,27.53
91,52.08,27.08
92,51.97,26.97
93,52.23,27.23
94,52.68,27.68
95,52.87,27.87
96,54.28,29.28
97,53.52,28.52
98,54.43,29.43
99,54.20,29.20
100,55.65,30.65
101,56.33,31.33
102,56.17,31.17
103,55.90,30.90
104,55.57,30.57
105,56.00,31.00
106,56.85,31.85
107,57.45,32.45
108,57.62,32.62
109,57.90,32.90
110,58.33,33.33
111,58.87,33.87
112,58.92,33.92
113,59.07,34.07
114,57.65,32.65
115,58.50,33.50
116,58.75,33.75
117,58.03,33.03
118,58.27,33.27
119,59.23,34.23
120,59.72,34.72
121,59.53,34.53
