# NORTH_POLE
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 2008, 2007
#
julian_day,Tavg_F,dd
60,5.21,0.00
61,6.29,0.00
62,6.27,0.00
63,7.30,0.00
64,6.46,0.00
65,7.54,0.00
66,8.79,0.00
67,9.45,0.00
68,9.46,0.00
69,7.29,0.00
70,8.73,0.00
71,7.43,0.00
72,8.96,0.00
73,10.80,0.00
74,10.96,0.00
75,12.18,0.00
76,13.38,0.00
77,12.75,0.00
78,11.96,0.00
79,12.34,0.00
80,14.27,0.00
81,15.21,0.00
82,17.45,0.00
83,17.76,0.00
84,22.52,0.00
85,20.10,0.00
86,18.86,0.00
87,20.14,0.00
88,19.59,0.00
89,18.73,0.00
90,21.62,0.00
91,22.84,0.00
92,22.38,0.00
93,22.27,0.00
94,25.45,0.45
95,26.38,1.38
96,27.89,2.89
97,28.36,3.36
98,27.42,2.42
99,28.46,3.46
100,29.55,4.55
101,30.73,5.73
102,29.80,4.80
103,30.80,5.80
104,31.71,6.71
105,32.29,7.29
106,32.36,7.36
107,34.02,9.02
108,35.66,10.66
109,35.83,10.83
110,36.95,11.95
111,38.07,13.07
112,39.50,14.50
113,39.84,14.84
114,39.04,14.04
115,39.07,14.07
116,39.82,14.82
117,41.12,16.12
118,41.20,16.20
119,41.39,16.39
120,42.27,17.27
121,41.42,16.42
122,40.68,15.68
123,40.19,15.19
124,40.16,15.16
125,41.20,16.20
126,41.71,16.71
127,43.34,18.34
128,44.82,19.82
129,46.08,21.08
130,46.46,21.46
131,45.96,20.96
132,47.45,22.45
133,47.55,22.55
134,47.80,22.80
135,47.97,22.97
136,48.74,23.74
137,48.05,23.05
138,48.52,23.52
139,49.66,24.66
140,50.61,25.61
141,50.67,25.67
142,51.82,26.82
143,52.88,27.88
144,52.79,27.79
145,53.55,28.55
146,54.29,29.29
147,53.68,28.68
148,53.91,28.91
149,54.55,29.55
150,54.54,29.54
151,54.95,29.95
152,54.09,29.09
153,54.54,29.54
154,54.79,29.79
155,55.45,30.45
156,56.29,31.29
157,56.77,31.77
158,57.12,32.12
159,58.55,33.55
160,57.52,32.52
161,58.04,33.04
162,57.36,32.36
163,57.79,32.79
164,57.70,32.70
165,59.27,34.27
166,58.43,33.43
167,59.39,34.39
168,59.25,34.25
169,60.16,35.16
170,60.30,35.30
171,60.87,35.87
172,61.23,36.23
173,60.45,35.45
174,60.67,35.67
175,60.70,35.70
176,61.29,36.29
177,61.69,36.69
178,60.91,35.91
179,61.58,36.58
180,62.36,37.36
181,61.23,36.23
182,59.57,34.57
