# SITKA_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
julian_day,Tavg_F,dd
60,36.55,11.55
61,36.65,11.65
62,36.08,11.08
63,35.02,10.02
64,35.00,10.00
65,35.27,10.27
66,35.18,10.18
67,35.42,10.42
68,35.88,10.88
69,36.35,11.35
70,36.95,11.95
71,37.33,12.33
72,37.27,12.27
73,36.88,11.88
74,36.47,11.47
75,36.96,11.96
76,37.45,12.45
77,37.22,12.22
78,37.75,12.75
79,38.63,13.63
80,38.95,13.95
81,39.28,14.28
82,38.87,13.87
83,39.12,14.12
84,39.67,14.67
85,39.80,14.80
86,39.43,14.43
87,39.62,14.62
88,40.78,15.78
89,39.88,14.88
90,39.22,14.22
91,39.60,14.60
92,38.92,13.92
93,39.43,14.43
94,40.53,15.53
95,41.42,16.42
96,41.62,16.62
97,40.91,15.91
98,40.88,15.88
99,40.52,15.52
100,41.15,16.15
101,41.08,16.08
102,41.57,16.57
103,42.02,17.02
104,42.17,17.17
105,42.98,17.98
106,43.57,18.57
107,43.30,18.30
108,42.57,17.57
109,43.50,18.50
110,43.67,18.67
111,43.50,18.50
112,44.80,19.80
113,45.33,20.33
114,44.93,19.93
115,45.10,20.10
116,45.60,20.60
117,45.03,20.03
118,45.23,20.23
119,45.03,20.03
120,44.73,19.73
121,45.87,20.87
122,46.33,21.33
123,45.63,20.63
124,45.90,20.90
125,45.42,20.42
126,45.78,20.78
127,45.90,20.90
128,46.30,21.30
129,46.67,21.67
130,47.00,22.00
131,47.82,22.82
132,48.10,23.10
133,48.40,23.40
134,47.48,22.48
135,47.62,22.62
136,47.95,22.95
137,47.98,22.98
138,48.62,23.62
139,48.67,23.67
140,49.25,24.25
141,49.65,24.65
142,49.80,24.80
143,49.50,24.50
144,49.85,24.85
145,50.38,25.38
146,49.83,24.83
147,49.75,24.75
148,51.37,26.37
149,50.02,25.02
150,50.35,25.35
151,50.42,25.42
152,50.88,25.88
153,50.75,25.75
154,51.53,26.53
155,51.85,26.85
156,51.57,26.57
157,51.75,26.75
158,51.57,26.57
159,51.72,26.72
160,52.17,27.17
161,52.55,27.55
162,51.87,26.87
163,52.55,27.55
164,52.80,27.80
165,52.98,27.98
166,52.77,27.77
167,53.15,28.15
168,53.15,28.15
169,52.92,27.92
170,53.63,28.63
171,54.02,29.02
172,54.23,29.23
173,53.92,28.92
174,54.25,29.25
175,55.17,30.17
176,54.10,29.10
177,53.82,28.82
178,54.50,29.50
179,55.22,30.22
180,54.72,29.72
181,55.43,30.43
182,53.81,28.81
