# TALKEETNA_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
julian_day,Tavg_F,dd
60,19.34,0.00
61,19.48,0.00
62,18.72,0.00
63,17.92,0.00
64,19.42,0.00
65,19.85,0.00
66,21.15,0.00
67,21.93,0.00
68,21.58,0.00
69,21.10,0.00
70,22.18,0.00
71,21.50,0.00
72,21.88,0.00
73,21.38,0.00
74,21.17,0.00
75,23.03,0.00
76,24.22,0.00
77,23.13,0.00
78,24.50,0.00
79,23.45,0.00
80,24.25,0.00
81,25.38,0.38
82,26.37,1.37
83,26.70,1.70
84,28.85,3.85
85,27.95,2.95
86,27.92,2.92
87,28.08,3.08
88,29.47,4.47
89,29.05,4.05
90,29.35,4.35
91,30.48,5.48
92,30.00,5.00
93,30.82,5.82
94,32.17,7.17
95,33.78,8.78
96,33.55,8.55
97,32.93,7.93
98,31.98,6.98
99,32.80,7.80
100,33.32,8.32
101,33.27,8.27
102,33.17,8.17
103,34.07,9.07
104,34.28,9.28
105,35.35,10.35
106,36.18,11.18
107,36.73,11.73
108,37.40,12.40
109,38.53,13.53
110,38.32,13.32
111,39.20,14.20
112,39.48,14.48
113,39.85,14.85
114,40.50,15.50
115,40.67,15.67
116,41.55,16.55
117,41.72,16.72
118,41.12,16.12
119,40.95,15.95
120,41.83,16.83
121,42.25,17.25
122,42.20,17.20
123,41.98,16.98
124,42.40,17.40
125,42.30,17.30
126,42.70,17.70
127,44.17,19.17
128,44.47,19.47
129,45.30,20.30
130,45.68,20.68
131,45.80,20.80
132,46.23,21.23
133,47.02,22.02
134,47.55,22.55
135,46.97,21.97
136,48.03,23.03
137,47.50,22.50
138,47.50,22.50
139,48.45,23.45
140,49.07,24.07
141,50.27,25.27
142,51.33,26.33
143,51.05,26.05
144,51.37,26.37
145,51.72,26.72
146,51.33,26.33
147,51.95,26.95
148,53.37,28.37
149,53.43,28.43
150,52.85,27.85
151,52.48,27.48
152,52.50,27.50
153,53.23,28.23
154,54.85,29.85
155,53.82,28.82
156,54.52,29.52
157,54.23,29.23
158,54.55,29.55
159,54.53,29.53
160,55.53,30.53
161,55.82,30.82
162,55.73,30.73
163,55.70,30.70
164,56.48,31.48
165,58.12,33.12
166,58.45,33.45
167,58.23,33.23
168,58.73,33.73
169,59.13,34.13
170,58.58,33.58
171,57.63,32.63
172,57.58,32.58
173,58.35,33.35
174,58.88,33.88
175,59.73,34.73
176,58.50,33.50
177,59.10,34.10
178,59.03,34.03
179,60.55,35.55
180,60.15,35.15
181,60.28,35.28
182,59.00,34.00
