# TANANA_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# Excluded years (more than 5 days of missing data): 1995
#
d_since_march1,Tavg_F,dd
0,0.74,0.00
1,0.41,0.00
2,2.22,0.00
3,1.97,0.00
4,2.47,0.00
5,4.45,0.00
6,4.64,0.00
7,4.84,0.00
8,4.81,0.00
9,3.59,0.00
10,4.12,0.00
11,4.34,0.00
12,6.21,0.00
13,6.53,0.00
14,7.55,0.00
15,6.22,0.00
16,6.71,0.00
17,7.10,0.00
18,7.62,0.00
19,8.95,0.00
20,9.99,0.00
21,11.40,0.00
22,13.61,0.00
23,13.28,0.00
24,15.52,0.00
25,12.17,0.00
26,10.12,0.00
27,10.12,0.00
28,12.43,0.00
29,14.66,0.00
30,15.79,0.00
31,17.60,0.00
32,17.41,0.00
33,17.83,0.00
34,19.81,0.00
35,21.02,0.00
36,21.55,0.00
37,21.90,0.00
38,21.95,0.00
39,23.33,0.00
40,25.14,0.14
41,23.97,0.00
42,23.83,0.00
43,24.84,0.00
44,27.66,2.66
45,26.98,1.98
46,27.17,2.17
47,27.84,2.84
48,30.09,5.09
49,31.48,6.48
50,33.03,8.03
51,33.93,8.93
52,35.03,10.03
53,35.86,10.86
54,36.31,11.31
55,35.24,10.24
56,36.72,11.72
57,37.67,12.67
58,37.60,12.60
59,38.97,13.97
60,39.52,14.52
61,38.38,13.38
62,37.86,12.86
63,38.07,13.07
64,37.88,12.88
65,39.38,14.38
66,41.05,16.05
67,42.12,17.12
68,42.16,17.16
69,43.93,18.93
70,44.93,19.93
71,44.90,19.90
72,45.74,20.74
73,44.95,19.95
74,45.43,20.43
75,47.02,22.02
76,47.22,22.22
77,47.24,22.24
78,47.57,22.57
79,49.24,24.24
80,49.62,24.62
81,51.09,26.09
82,50.86,25.86
83,52.45,27.45
84,51.97,26.97
85,53.07,28.07
86,53.69,28.69
87,53.28,28.28
88,52.52,27.52
89,54.45,29.45
90,54.66,29.66
91,54.24,29.24
92,53.69,28.69
93,54.55,29.55
94,54.71,29.71
95,55.52,30.52
96,56.78,31.78
97,56.84,31.84
98,57.66,32.66
99,57.24,32.24
100,56.14,31.14
101,57.14,32.14
102,57.31,32.31
103,57.64,32.64
104,59.00,34.00
105,59.10,34.10
106,58.64,33.64
107,60.24,35.24
108,60.67,35.67
109,60.36,35.36
110,60.40,35.40
111,60.62,35.62
112,60.55,35.55
113,60.21,35.21
114,60.03,35.03
115,60.59,35.59
116,60.91,35.91
117,60.31,35.31
118,59.86,34.86
119,60.79,35.79
120,61.50,36.50
121,61.88,36.88
