# YAKUTAT_AIRPORT
# 1991-2020 climatology of T_avg and DD25 for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,dd
0,30.87,5.87
1,29.60,4.60
2,28.48,3.48
3,27.95,2.95
4,28.52,3.52
5,28.62,3.62
6,29.12,4.12
7,29.87,4.87
8,29.85,4.85
9,30.35,5.35
10,30.47,5.47
11,30.45,5.45
12,31.05,6.05
13,30.50,5.50
14,31.28,6.28
15,31.82,6.82
16,31.45,6.45
17,31.08,6.08
18,31.62,6.62
19,32.02,7.02
20,32.70,7.70
21,33.17,8.17
22,33.22,8.22
23,33.65,8.65
24,33.95,8.95
25,34.43,9.43
26,34.63,9.63
27,34.47,9.47
28,34.53,9.53
29,34.15,9.15
30,33.52,8.52
31,33.58,8.58
32,33.82,8.82
33,34.68,9.68
34,34.97,9.97
35,36.13,11.13
36,36.50,11.50
37,36.78,11.78
38,35.95,10.95
39,35.95,10.95
40,36.12,11.12
41,37.12,12.12
42,37.70,12.70
43,37.85,12.85
44,37.73,12.73
45,38.68,13.68
46,38.43,13.43
47,37.90,12.90
48,38.40,13.40
49,39.17,14.17
50,39.37,14.37
51,39.83,14.83
52,40.65,15.65
53,41.05,16.05
54,41.20,16.20
55,42.02,17.02
56,41.63,16.63
57,41.37,16.37
58,41.13,16.13
59,41.02,16.02
60,41.55,16.55
61,42.48,17.48
62,42.78,17.78
63,42.40,17.40
64,41.52,16.52
65,41.47,16.47
66,42.25,17.25
67,42.98,17.98
68,43.43,18.43
69,43.82,18.82
70,43.78,18.78
71,44.42,19.42
72,44.08,19.08
73,44.50,19.50
74,45.00,20.00
75,44.70,19.70
76,44.43,19.43
77,45.03,20.03
78,45.82,20.82
79,45.77,20.77
80,46.15,21.15
81,47.10,22.10
82,46.78,21.78
83,47.10,22.10
84,48.32,23.32
85,47.82,22.82
86,47.18,22.18
87,47.48,22.48
88,49.23,24.23
89,49.05,24.05
90,48.28,23.28
91,48.08,23.08
92,48.23,23.23
93,48.73,23.73
94,49.20,24.20
95,49.77,24.77
96,49.68,24.68
97,50.12,25.12
98,49.65,24.65
99,48.83,23.83
100,50.68,25.68
101,51.58,26.58
102,50.58,25.58
103,50.95,25.95
104,51.27,26.27
105,51.42,26.42
106,52.35,27.35
107,52.62,27.62
108,52.42,27.42
109,52.38,27.38
110,52.17,27.17
111,52.58,27.58
112,52.32,27.32
113,52.92,27.92
114,52.78,27.78
115,52.75,27.75
116,53.18,28.18
117,53.10,28.10
118,53.22,28.22
119,53.83,28.83
120,53.82,28.82
121,53.85,28.85
