# ANCHORAGE_MERRILL_FIELD
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997
#
d_since_march1,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,0.00,1.50,0.00,1.00,10.00,7.00,1.00,0.00,0.00,0.00,0.00,5.50,0.00,0.00,0.00,3.50,0.50,9.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00
1,0.00,0.00,1.50,0.00,4.50,10.00,14.50,1.00,0.00,0.00,2.00,0.00,14.00,0.00,0.00,0.50,3.50,2.50,16.50,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00
2,0.00,0.00,10.00,0.00,4.50,26.00,23.00,4.00,0.00,0.00,6.00,0.00,23.50,0.00,0.00,0.50,3.50,11.50,19.50,0.00,0.00,2.50,0.00,0.00,11.50,0.00,0.00
3,0.00,0.00,20.50,0.00,4.50,34.00,29.00,6.00,0.00,0.00,21.00,0.00,24.00,0.00,0.00,2.00,11.50,22.50,19.50,0.00,0.00,2.50,0.00,0.00,25.00,0.00,0.00
4,0.00,0.00,23.50,11.50,4.50,41.00,30.00,13.00,1.50,0.00,34.50,2.50,29.00,0.00,0.00,4.00,16.50,33.50,24.00,0.00,0.00,2.50,0.00,0.00,32.00,0.00,0.00
5,0.00,0.00,25.00,18.00,4.50,44.00,30.00,17.00,5.00,0.00,47.00,2.50,29.00,0.00,0.00,7.00,16.50,46.50,31.50,0.00,0.00,7.50,0.00,0.00,32.00,0.00,3.00
6,0.00,0.00,25.00,29.50,4.50,45.50,30.00,26.50,5.00,0.00,58.50,2.50,29.00,0.00,0.00,13.50,16.50,60.50,37.50,0.00,0.00,10.50,0.00,0.00,32.00,0.00,7.00
7,0.00,0.00,25.00,39.00,4.50,46.00,30.00,38.50,5.00,0.00,72.00,2.50,29.00,0.00,0.00,25.50,16.50,63.00,44.50,0.00,0.00,17.50,0.00,0.00,32.00,3.50,7.00
8,0.00,0.00,25.00,50.00,4.50,46.00,30.00,53.00,5.00,0.00,88.00,3.00,29.00,0.00,0.00,37.50,16.50,63.00,52.50,0.00,6.50,29.00,0.00,0.00,38.00,8.00,7.00
9,0.50,0.00,25.00,63.50,4.50,46.00,39.50,65.00,5.00,0.00,99.50,6.00,29.00,0.00,0.00,45.00,19.50,63.00,59.00,0.00,8.50,42.00,0.00,1.50,46.50,14.00,7.00
10,0.50,0.00,25.00,77.00,4.50,46.00,44.50,81.50,5.00,0.00,106.00,13.50,29.00,0.00,0.00,48.50,30.00,63.00,59.00,0.00,8.50,54.50,0.00,1.50,57.50,14.00,7.00
11,4.50,5.00,32.50,91.50,4.50,46.00,49.00,96.50,5.00,0.00,111.00,18.00,29.00,0.00,0.00,48.50,38.00,63.00,70.50,0.00,10.50,61.00,0.00,1.50,67.00,14.00,9.50
12,6.50,12.50,41.50,102.00,4.50,46.00,51.00,108.50,5.00,0.00,113.50,21.00,29.00,0.00,0.00,48.50,46.50,63.00,79.50,0.00,19.50,70.00,0.00,1.50,68.00,14.00,12.00
